pid,property_name,city,state,website,top_guess_conventional,top_guess_floor_plans,top_guess_models,top_guess_rentcafe_spa,top_guess_other
4880,Clairmont Reserve,Decatur,GA,www.clairmontreserve.com,https://www.clairmontreserve.com/decatur/clairmont-reserve/conventional/,https://www.clairmontreserve.com/floor-plans/,https://www.clairmontreserve.com/models,https://www.clairmontreserve.com/apartments/ga/decatur/floor-plans#/,https://www.clairmontreserve.com/Floor-plans.aspx
72935,Broadstone Los Feliz,Los Angeles,CA,https://broadstonelosfeliz.com/,https://broadstonelosfeliz.com/los-angeles/broadstone-los-feliz/conventional/,https://broadstonelosfeliz.com/floor-plans/,https://broadstonelosfeliz.com/models,https://broadstonelosfeliz.com/apartments/ca/los-angeles/floor-plans#/,https://broadstonelosfeliz.com/Floor-plans.aspx
4776,Artisan at Downtown Chandler,Chandler,AZ,https://www.liveatartisanatdowntownchandler.com/,https://www.liveatartisanatdowntownchandler.com/chandler/artisan-at-downtown-chandler/conventional/,https://www.liveatartisanatdowntownchandler.com/floor-plans/,https://www.liveatartisanatdowntownchandler.com/models,https://www.liveatartisanatdowntownchandler.com/apartments/az/chandler/floor-plans#/,https://www.liveatartisanatdowntownchandler.com/Floor-plans.aspx
73112,Somerset Place,Chicago,IL,www.somersetplace-apartments.com,https://www.somersetplace-apartments.com/chicago/somerset-place/conventional/,https://www.somersetplace-apartments.com/floor-plans/,https://www.somersetplace-apartments.com/models,https://www.somersetplace-apartments.com/apartments/il/chicago/floor-plans#/,https://www.somersetplace-apartments.com/Floor-plans.aspx
47977,The Palazzo,Tulsa,OK,http://www.palazzotulsa.com/,http://www.palazzotulsa.com/tulsa/the-palazzo/conventional/,http://www.palazzotulsa.com/floor-plans/,http://www.palazzotulsa.com/models,http://www.palazzotulsa.com/apartments/ok/tulsa/floor-plans#/,http://www.palazzotulsa.com/Floor-plans.aspx
47984,River Pointe,North Little Rock,AR,https://www.riverpointeliving.com/,https://www.riverpointeliving.com/north-little-rock/river-pointe/conventional/,https://www.riverpointeliving.com/floor-plans/,https://www.riverpointeliving.com/models,https://www.riverpointeliving.com/apartments/ar/north-little-rock/floor-plans#/,https://www.riverpointeliving.com/Floor-plans.aspx
48389,Village Gate Apartments,Fayetteville,NC,http://www.villagegatenc.com/,http://www.villagegatenc.com/fayetteville/village-gate-apartments/conventional/,http://www.villagegatenc.com/floor-plans/,http://www.villagegatenc.com/models,http://www.villagegatenc.com/apartments/nc/fayetteville/floor-plans#/,http://www.villagegatenc.com/Floor-plans.aspx
72391,Lumina,Conshohocken,PA,https://liveatlumina.com/,https://liveatlumina.com/conshohocken/lumina/conventional/,https://liveatlumina.com/floor-plans/,https://liveatlumina.com/models,https://liveatlumina.com/apartments/pa/conshohocken/floor-plans#/,https://liveatlumina.com/Floor-plans.aspx
72766,Fox Ridge,Royersford,PA,https://www.liveatfoxridge.com/?utm_source=GBP&utm_medium=organic&utm_knock=gbp,https://www.liveatfoxridge.com/royersford/fox-ridge/conventional/,https://www.liveatfoxridge.com/floor-plans/,https://www.liveatfoxridge.com/models,https://www.liveatfoxridge.com/apartments/pa/royersford/floor-plans#/,https://www.liveatfoxridge.com/Floor-plans.aspx
48075,Edgefield,Portsmouth,VA,https://www.edgefieldaptsva.com/,https://www.edgefieldaptsva.com/portsmouth/edgefield/conventional/,https://www.edgefieldaptsva.com/floor-plans/,https://www.edgefieldaptsva.com/models,https://www.edgefieldaptsva.com/apartments/va/portsmouth/floor-plans#/,https://www.edgefieldaptsva.com/Floor-plans.aspx
47945,5400 South,Tulsa,OK,https://www.5400southlc.com/,https://www.5400southlc.com/tulsa/5400-south/conventional/,https://www.5400southlc.com/floor-plans/,https://www.5400southlc.com/models,https://www.5400southlc.com/apartments/ok/tulsa/floor-plans#/,https://www.5400southlc.com/Floor-plans.aspx
