apartmentid,name,address,city,state,zip,website
10338,Prairie Oaks,930 W Prairie St,Denton,TX,76201,https://www.ptbproperties.com/prairie-oaks
1074,Estates on Main,5312 Gatehouse Dr,Columbus,OH,43213,www.estatesonmain.com
10854,Biltmore,2300 Misty Ridge Cir,Arlington,TX,76011,https://www.liveatthebiltmore.com/?utm_knock=g#section-1
19486,Arbor Woods Apartments,1800 S 330th St,Federal Way,WA,98003,https://www.iconre.org/arborwoods
19154,Conway Club,1900 S Conway Rd,Orlando,FL,32812,www.conwayclub.com
19927,Country,1486 Broadway,Chula Vista,CA,91911,https://www.countryapts.com/
19955,Brookside,4611 SE Brookside Dr,Milwaukie,OR,97222,https://www.brooksidejohnsoncreek.com/
19712,Steel Lake Plaza,2201 S 312th St,Federal Way,WA,98003,https://steellakeplazaapts.com/
20698,Royal Village,1435 Elder Ave,San Diego,CA,92154,http://www.royalvillageapts.com/
20507,The Crossing at Henderson Mill,3340 Lansbury Village Dr,Atlanta,GA,30341,http://www.hendersonmill.com/
21586,Renaissance Uptown,1000 S Denver Ave.,Tulsa,OK,74119,http://www.renaissanceuptown.com/
217343,Eagle Harbor II,220 Marsh Landing,Carrollton,VA,23314,https://www.liveeagleharbor.com/
220532,Fremont Villas,121 N 15th St,Las Vegas,NV,89101,https://www.plentyofplaces.com/fremont-villas
224569,Beaumont Cove,3147 S 108th E Ave,Tulsa,OK,74146,https://www.beaumontcove.net/
222969,Joshua Tree,476 E Lassen Ave,Chico,CA,95973,https://www.joshuatreechico.com/
227551,Coulee Ridge East,3009 43rd Ave NE,Bismarck,ND,58503,https://www.immapartments.com/coulee-ridge
228767,Edgewater Village,115 W Edgewater Dr,Greensburg,IN,47240,https://www.edgewatervillage.com/
230573,Lofts at St. Michael's,6720 W 29th St,Greeley,CO,80634,https://www.stmichaelslofts.com/
229968,Crosstown of Sun Prairie,651 Schiller St,Sun Prairie,WI,53590,https://www.axiomproperties.com/communities/crosstown-of-sun-prairie
230574,Northdale,2717 5th St NW,Minot,ND,58703,https://www.immapartments.com/northdale
23572,Somerset La Costa,2939 Unicornio St,Carlsbad,CA,92009,https://www.riveroaksmgmt.com/vacancies-sommerset-la-costa
235903,Villages of Sugar Road,5228 S Sugar Rd,Edinburg,TX,78539,https://www.villagessugarroad.com/
236195,Walnut Crossing,3300 Union Deposit Rd,Harrisburg,PA,17109,https://parkrunmgt.com/listing/walnut-crossing/#
236771,505 West University,505 W University Pkwy,Baltimore,MD,21210,https://www.realestatedimensions.com/505-w-university-pkwy
238178,Boulder Creek,1915 NE Terre View Dr,Pullman,WA,99163,https://www.summerhillapts.net/boulder-creek-apartments
241195,The Falls of Columbia,136 E Old Plank Rd,Columbia,MO,65203,https://www.thefallsofcolumbia.net/
240745,The Allure at Jefferson I,4660 Monroe Way,Fredericksburg,VA,22407,https://www.liveallureva.com/
241145,Fourth & Selden,3730 4th St,Detroit,MI,48201,https://www.midtownwestdetroit.com/single-family
23978,Pacific Palms,2045 S Haster St,Anaheim,CA,92802,www.pacificpalmsapartmenthomes.com
24251,Milano Apartments,12224 NE 8th St,Bellevue,WA,98005,https://www.milanoapts.com/milano-apartments
245398,Bellevue Towers,2400 Market St,Harrisburg,PA,17103,https://www.sspropertiesinvestment.com/vacancies/
251357,Riverland,420 SW 27th Ave,Fort Lauderdale,FL,33312,https://liveatriverland.com/
1340,Waterway Crossing,685 Burcale Rd,Myrtle Beach,SC,29579,https://www.boltpm.com/waterway-crossing
25353,Pease Parkside,1302 W 24th St,Austin,TX,78705,https://www.gbatx.com/properties/pease-parkside-apartments
255309,Kōz on Interstate,5460 N Interstate Ave,Portland,OR,97217,https://www.kozoninterstate.com/
255762,Stockyard Lofts,215 Willow Ave,Knoxville,TN,37915,https://www.stockyardlofts.com/
256938,The Guild,816 Porter Ave,Eau Claire,WI,54701,https://www.pablogroupproperties.com/the-guild
257370,Arden,1050 E Washington Ave,Madison,WI,53703,https://www.ardeninmadison.com/
259733,Rosa,1655 C St,Vancouver,WA,98663,https://ekoliving.life/properties/rosa/
263779,Opera House,1305 Harris Ave,Bellingham,WA,98225,https://operahouseapts.com/
