apartmentid,name,address,city,state,zip,website
11342,The Village Lakes,5605 Village Glen Dr,Dallas,TX,75206,https://www.thevillagedallas.com/properties/the-village-lakes/
10291,The Mirage Apartments,504 Dudley Cir,Arlington,TX,76010,https://liveatthemirage.com/
19939,Haven at South Mountain,1630 E Baseline Rd,Phoenix,AZ,85042,https://www.havenatsouthmountainapts.com/
21597,Arrive West Linn,4001 Robin Pl,West Linn,OR,97068,https://arrivewestlinn.com/
218757,The Village Drey,5630 Village Glen Dr,Dallas,TX,75206,https://www.thevillagedallas.com/properties/the-village-drey/
223037,River House,891 Ingleside Ave,Columbus,OH,43215,https://riverhousecolumbus.com/
22382,4418 Spruce Street,4418 Spruce St,Philadelphia,PA,19104,https://www.livecampusapts.com/property/4418-spruce-street/?search-parameters=1&start_date=0&end_date=9999999999&price_min=0&price_max=10000
225321,Residences at La Colombe d'Or,3411 Yoakum Blvd,Houston,TX,77006,https://livelacolombedor.com/
227941,Spring River I,1600 N Sycamore Ave,Roswell,NM,88201,http://www.springriverapartments.com/
234732,Chase at Overlook Ridge,11 Overlook Ridge Dr,Revere,MA,2151,https://thechaseatoverlookridge.com/
245323,Ravel and Royale I,10511 Strathmore Hall St,North Bethesda,MD,20852,https://www.ravelandroyale.com/
244705,Devine District,2712 Lee St,Columbia,SC,29205,https://devinedistrict.com/
247218,Industry Tallahassee,440 N Monroe St,Tallahassee,FL,32301,https://industry-tallahassee.com/
247383,Vanguard at 16 Tech,1410 Breedlove Ln,Indianapolis,IN,46202,https://www.vanguardat16tech.com/
246996,TruNorth at Bulverde II & III,17715 Overlook Loop,San Antonio,TX,78259,https://trunorthatbulverde.com/
246614,French Mill I,29 French Mill Run,Cuyahoga Falls,OH,44223,http://www.frenchmill.com
251384,Griffin 441,4465 Griffin Rd,Davie,FL,33314,https://griffin441.com/
253100,Aspire Gulch,805 Division St,Nashville,TN,37203,https://www.aspiregulch.com/
13942,Iron Horse Flats,1930 W Rundberg Ln,Austin,TX,78758,https://ironhorseflats.com/
253447,Brickline at the Mercantile,901 Farnam St,Omaha,NE,68102,https://bricklineatthemercantile.com/
253393,The Lindley,1331 Columbia St,San Diego,CA,92101,https://www.livethelindley.com/
254168,X at Sloans,1516 Xavier St,Denver,CO,80204,http://www.xatsloans.com/
254859,The Brooke on Bagley,2420 Bagley St,Detroit,MI,48216,http://www.thebrookedetroit.com/
256493,Triton Cay I,5801 Lakehurst Dr,Orlando,FL,32819,https://www.tritoncayorlando.com/
259101,Markana Uptown,6500 Americas Pkwy,Albuquerque,NM,87110,https://markanauptown.com/
263900,Tempo,4455 Condor Dr,Hilliard,OH,43026,https://tempotruepointe.com/
26513,Arrive Oak Brook Heights,201 W Oakley Dr NW,Westmont,IL,60559,https://www.arriveoakbrookheights.com/
269966,Inspire Missouri City,9944 Hwy 6,Missouri City,TX,77459,https://www.inspiremissouricity.com/
268954,The Villages at Sunnybrook,2421 Brightcreek Fls Trl,Raleigh,NC,27610,https://www.thevillagesatsunnybrook.com/?utm_source=GoogleLocalListing&utm_medium=ogranic&utm_campaign=GMB
271324,Wentworth Park,7450 GA-21,Port Wentworth,GA,31407,https://livewentworthpark.com/
273398,The Quinn,125 S Standridge Blvd,Anna,TX,75409,https://thequinnanna.com/
275305,Aria at Ella,20525 Ella Blvd,Spring,TX,77388,https://www.ariaatella.com/
278340,Anthem Everett,484 2nd St,Everett,MA,2149,https://anthemeverett.com/
280564,Grant Row Lofts,14121 Grant St,Thornton,CO,80023,https://www.grantrowlofts.com/
282258,Mystic Point,180 Exton Rd,Somers Point,NJ,8244,https://www.frginc.com/apartment/mystic-point/
283179,Promenade Flats,1330 Meeting St,Evansville,IN,47715,https://promenade-flats.com/
285973,Birchway Spring Cypress,19101 Kuykendahl Rd,Spring,TX,77379,https://www.birchwayspringcypress.com/
15014,Wildwood Park,5550 Columbia Pike,Arlington,VA,22204,http://www.rentdittmar.com/apartment-communities/wildwood-park
290191,LEO Jamestown,100 Galatians Dr,Greer,SC,29651,https://www.leojamestown.com/
291351,Charlotte Exchange,5120 77 Center Dr,Charlotte,NC,28217,https://cltexchange.com/
292977,LEO at Cartersville,100 Bethel Pl,Cartersville,GA,30121,https://www.leocartersville.com/
297795,Ava Oakwood,6000 Ava Ave,Gainesville,GA,30504,https://avaoakwood.com/
30171,The Henry at Rosenberg,3419 Fountains Dr,Rosenberg,TX,77471,https://www.thehenryatrosenberg.com/
30775,Tremezzo on the Lake,1007 W 1st St,Tempe,AZ,85281,https://www.tremezzoonthelake.com/
31255,Arrive Chadds Ford,7000 Johnson Farm Ln,Chadds Ford,PA,19317,https://www.arrivechaddsford.com/
32065,Carlisle Park Apartments,525 3rd St,Carlisle,PA,17013,http://www.rentcarlislepark.com/
33764,Haven at Birkdale Village,16725 Birkdale Commons Pkwy,Huntersville,NC,28078,https://havenbirkdalevillage.com/
15705,Arrive North Bethesda,5901 Montrose Rd,North Bethesda,MD,20852,https://www.arrivenorthbethesda.com/
37536,Arrive Bellevue,111 Old Hickory Blvd,Nashville,TN,37221,https://www.arrivebellevue.com/
38843,Park Court,28 S Water St,Womelsdorf,PA,19567,https://www.rentparkcourtapts.com/
41667,Wilmington Commons,455 Racine Dr,Wilmington,NC,28403,https://www.wilmingtoncommons.com/
44185,Flats on 12,2101 Harvey Mitchell Pkwy S,College Station,TX,77840,https://www.flatson12.com/?utm_knock=gmb
16437,Broadcast Center Apartments,7660 Beverly Blvd,Los Angeles,CA,90036,http://www.broadcastcenterapts.com/apartments/floorplan.do?lid=en_US&pid=1917
16380,Center Place,50 Park Row W,Providence,RI,2903,https://www.centerplaceprovidence.com/
