apartmentid,name,address,city,state,zip,website
10988,Woodlyn,123 S Wilson Crk Blvd,McKinney,TX,75069,https://woodlynapartments.com/
11611,Skyline at Kessler,2511 Wedglea Dr,Dallas,TX,75211,https://www.skylineatkessler.com/
12355,THIRTY377,3377 Blackburn St,Dallas,TX,75204,https://www.udr.com/dallas-apartments/uptown-dallas/thirty377/
21311,Cortland Research Park,4405 Waterford Valley Dr,Durham,NC,27713,www.cortland.com/research-park
218177,Mill & Main,501 SE Main St,Minneapolis,MN,55414,www.millandmain.com
226991,Preserve at Travis Creek I & II,5604 Southwest Pkwy,Austin,TX,78735,www.thepreserveattraviscreek.com
228582,1274 at Towson,1274 E Joppa Rd,Towson,MD,21286,https://www.udr.com/baltimore-apartments/towson/1274-at-towson/
230081,Vitruvian West II,3737 Vitruvian Way,Addison,TX,75001,www.vitruvianwest.com
23542,Trailpoint at The Woodlands,2301 S Millbend Dr,The Woodlands,TX,77380,http://www.liveattrailpoint.com/
237736,Cortland Reunion,7995 Haven Wy,Kissimmee,FL,34747,https://cortland.com/apartments/cortland-reunion/
24366,Bay Terrace,3204 Casa De Campo Way,San Mateo,CA,94403,http://www.udr.com/san-francisco-bay-area-apartments/san-mateo/bay-terrace/
246152,Oxford at Lake View,3300 S Garrison Rd,Corinth,TX,76210,http://www.oxfordlakeview.com/
252891,Bellrock Market Station,24002 Colonial Pkwy,Katy,TX,77493,https://www.livebellrock.com/apartments/tx/katy/bellrock-market-station/
252935,Cortland Bull City,600 Willard St,Durham,NC,27701,https://cortland.com/apartments/cortland-bull-city/?utm_source=gmb_site&utm_medium=organic
13898,Cortland West Houston,15000 Park Row,Houston,TX,77084,https://cortland.com/apartments/cortland-west-houston/
255134,Cortland Royal Palm Beach,11200 Nicole Dr,Royal Palm Beach,FL,33414,https://cortland.com/apartments/the-villas-at-tuttle-royale/
256603,Wyldewood Gosling,23223 Gosling Rd,Spring,TX,77389,https://wyldewoodgosling.com/
255636,Prose at Ascend,12905 W Indian School Rd,Avondale,AZ,85392,https://proseascend.com/
256584,The Station at Millrace,77 W 500 S,Provo,UT,84601,https://thestationatmillrace.com/
256748,Encore Motif,23233 Western Centre Dr,Katy,TX,77494,https://encoremotif.com/
25550,Cortland at Raven,3606 E Baseline Rd,Phoenix,AZ,85042,https://cortland.com/apartments/cortland-at-raven/
257349,Lenox 7th,4910 E 7th St,Austin,TX,78702,https://lenox7th.com
