apartmentid,name,address,city,state,zip,website
11743,Arbor Park,503 Brown Trail,Hurst,TX,76053,https://www.livearborparkapts.com/
20067,Cayman,12900 E Loop 1604 N,Universal City,TX,78148,https://www.caymanluxuryliving.com/
1971,Park West End,5300 Glenside Dr,Richmond,VA,23228,https://www.parkwestend.com/
19743,Elan 41,4100 SW Edmunds St,Seattle,WA,98116,http://www.elan41apts.com/
19582,Bella Fiore,2881 N Rancho Dr,Las Vegas,NV,89130,https://www.bellafioreliving.com/
20505,Indie Glendale Collection,1435 Stanley Ave,Glendale,CA,91206,https://www.indieglendale.com/?utm_knock=g
2132,Sherwood Acres,12757 Coursey Blvd,Baton Rouge,LA,70816,www.sherwoodacresapts.com
219528,Portrait at Hance Park I,1313 N 2nd St,Phoenix,AZ,85004,https://portraitathancepark.com/
220109,Melrose Station Apartments,902 Valley Rd,Elkins Park,PA,19027,https://www.fmgnj.com/apartments/pa/elkins-park/melrose-station/floor-plans
222197,The Mariner I,4000 S Lake Dr,Saint Francis,WI,53235,https://www.themarinerapts.com/
22393,21 Kristin,21 Kristin Dr,Schaumburg,IL,60195,https://www.21kristinapts.com/
22552,La Vina Apartments,4601 Gerrilyn Way,Livermore,CA,94550,https://www.lavinaapts.com/
225398,Remington Cove I,15430 Founders Ln,Apple Valley,MN,55124,http://www.remingtoncoveapts.com/
226967,Central Park Apartments,11 Fir St,Park Forest,IL,60466,https://www.aptscentralpark.com/
227981,Sixth & Alder,3118 6th Ave,Tacoma,WA,98406,https://www.6thandalderapartments.com
226992,Forest Ridge,790 S Basswood Dr,Bloomington,IN,47403,https://www.forestridgebloomington.com/forest-ridge-bloomington-in/
231970,The Parkview,16551 Victory Blvd,Los Angeles,CA,91406,www.parkviewapartmentliving.com
234066,Wynbrook West Apartments,400 Dutch Neck Rd,East Windsor,NJ,8520,http://www.kriegmanandsmith.com/nj/hightstown/wynbrook-west-apartments/
