apartmentid,name,address,city,state,zip,website
12345,Villas at Parkside,4000 Parkside Center Blvd,Farmers Branch,TX,75244,https://www.rentanapt.com/apartments/tx/farmers-branch/villas-at-parkside/?utm_source=GMB&utm_medium=organic
12368,Ballantyne,2801 Denton Tap Rd,Lewisville,TX,75067,www.rentanapt.com/ballantyne
19785,Cottonwood Creek Apartments,3149 E Desert Inn Rd,Las Vegas,NV,89121,www.cottonwoodcreekapartments.com
19245,Tenzen,4117 124th Ave SE,Bellevue,WA,98006,http://www.tenzenapartments.com/
19851,One Superior Place,1 W Superior St,Chicago,IL,60654,https://onesuperiorplace.com/
218296,Park 7,201 Wimberly St,Fort Worth,TX,76107,https://park7tx.com/
21370,Collins Junction,4727 200th St SW,Lynnwood,WA,98036,www.collinsjunction.com
219898,The Julian at South Pointe I,1300 Lowe Rd,Mansfield,TX,76063,https://julianatsouthpointe.com/
227791,Delwyn,20 St Asaphs Rd,Bala Cynwyd,PA,19004,https://delwynapartments.com/
228863,Prose Rancho Belago,14147 Darwin Dr,Moreno Valley,CA,92555,https://proseranchobelago.com/
230593,Town Center at Berry Farms I,6001 Hughes Crossing,Franklin,TN,37064,https://towncenteratberryfarms.com/
229374,Avoca,1405 Avoca Ridge Dr,Louisville,KY,40223,https://www.avocaapartments.com/
13072,Boynton Place,10492 Boynton Pl,Boynton Beach,FL,33437,https://www.robbinspropertyllc.com/apartments/fl/boynton-beach/boynton-place-apartments/
12398,Courtney Park,4470 S Lemay Ave,Fort Collins,CO,80525,https://www.courtneyparkapthomes.com/
233583,Canal Overlook Apartments,430 Indiana Ave,Indianapolis,IN,46202,http://liveatcanal.com/
23281,Mill Bridge,1045 Sanger Ave,New Braunfels,TX,78130,https://www.millbridgeapartments.com/
234956,Nove at Knox,3031 Oliver St,Dallas,TX,75205,https://noveatknox.com/
236112,La Joya Bay Resort II,1514 Ennis Joslin Rd,Corpus Christi,TX,78412,https://www.lajoyabyazali.com/floorplans/
23760,Ashton Glen,8850 Golden Oak Dr,Manassas,VA,20109,http://www.ashtonglen.com/
236586,Colton Creek Apartments,2014 Avalon Pkwy,McDonough,GA,30253,www.ColtonCreekApartments.com
236188,Monticello Lee,620 Jefferson St,Alexandria,VA,22314,https://monticellolee.com/
237520,81 Arch,81 Arch St,Hartford,CT,6103,https://81arch.com/
242360,Oaks Vernon,5400 Vernon Ave S,Edina,MN,55436,http://www.oaksvernon.com/
243907,Tall Oaks Apartments,2330 N Oliver St,Wichita,KS,67220,http://www.talloaksapt.com/
24482,Soma Residences,1045 Mission St,San Francisco,CA,94103,http://www.somaresidences.com/
