apartmentid,name,address,city,state,zip,website
1165,Tustin View,2002 & 2010 N Ponderosa St,Santa Ana,CA,92705,https://www.allenproperties.net/tustin-view-santa-ana-ca/
222727,Farnham Park,3333 Turtle Creek Dr,Port Arthur,TX,77642,http://www.farnhamparkapartments.com/
231155,Oak Bend Commons,6680 Oak Bend Commons Way,Canal Winchester,OH,43110,www.oakbendcommons.com
12566,High Point Crossing,524 Richmond Hill Rd W,Augusta,GA,30906,https://www.highpointcrossingapts.com/index.php
25372,Terraza La Jolla,5165 Luigi Terrace,San Diego,CA,92122,https://www.elanterrazalajolla.com/
27161,Huntington Gardens,4901 Heil Ave,Huntington Beach,CA,92649,https://www.allenproperties.net/huntington-gardens-huntington-beach-ca/
15361,Hidden Springs,5220 Pearblossom Dr,Riverside,CA,92507,https://www.allenproperties.net/hidden-springs-riverside-ca/floorplans
16101,Park Place Townhomes,1005 S Gilbert St,Hemet,CA,92543,https://www.allenproperties.net/parkplacetownhomes-hemet-ca
36855,Olentangy Village,2907 N High St,Columbus,OH,43202,http://www.olentangyvillage.com/
42918,601 Albany Street,601 Albany St,Boston,MA,2118,https://www.601albanyapartments.com/
42977,Elms at Stoney Run,7581 Stoney Run Dr,Hanover,MD,21076,https://stoneyrunelmsliving.com/home#
47180,Manchester Lake Townhouses,2208 Mandalay Dr,Richmond,VA,23224,http://www.manchesterlake.com/
1748,Cedars 94,2220 E Franklin Ave,Minneapolis,MN,55404,www.mycedars94home.com
17161,Monterey Villas,7000 La Praix St,Highland,CA,92346,https://www.allenproperties.net/monterey-villas-highland-ca/
1767,Waverly Place,1900 Waverly Pl Ln,North Charleston,SC,29418,http://www.waverlyplace-apts.com/
17541,Greentree Gardens,2618 Flint Way,San Bernardino,CA,92408,https://www.allenproperties.net/greentree-gardens-san-bernardino-ca/
62903,M Station,6215 Forest Way Dr,Charlotte,NC,28212,http://www.mstationapts.com/
65566,Bridge Park,6741 Longshore St,Dublin,OH,43017,http://www.bridgeparkliving.com/
65356,The Quaye at Wellington,1090 Quaye Lake Cir,Wellington,FL,33411,http://www.quayewellington.com/
18194,Parke Place Townhomes,44 New Zealand Rd,Seabrook,NH,3874,https://www.forestproperties.net/property/availabilities/parke-place-village
7187,Fairways on Green Valley,1851 N Green Valley Pkwy,Henderson,NV,89074,www.fairwaysongreenvalleylv.com
78373,Fenway Apartments,7112 Fenway Dr,Westminster,CA,92683,https://www.allenproperties.net/fenway-apartments-westminster-ca/
