apartmentid,name,address,city,state,zip,website
107,Villas at Pinecrest,2019 S Semoran Blvd,Orlando,FL,32822,http://villasatpinecrest.pmiflorida.com
12133,Ashford,2116 Marsh Ln,Carrollton,TX,75006,https://livebh.com/apartments/ashford/?utm_source=vanity&utm_medium=redirect&utm_campaign=liveatashford&original_referrer=liveatashford.com
11593,Apollo,404 E 9th St,Dallas,TX,75203,https://www.theapollodallas.com/
119144,Windsor Burnet,10301 Burnet Rd,Austin,TX,78758,https://www.windsorburnet.com/
19995,BellCentre,308 108th Ave NE,Bellevue,WA,98004,https://www.essexapartmenthomes.com/apartments/bellevue/bellcentre
20050,Carmel Creek,11724 Carmel Creek Rd,San Diego,CA,92130,https://www.essexapartmenthomes.com/apartments/san-diego/carmel-creek?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch
21149,Pinnacle at MacArthur Place,31 E Macarthur Cres,Santa Ana,CA,92707,https://www.essexapartmenthomes.com/apartments/santa-ana/pinnacle-at-macarthur-place
20943,Bremerton Park,6313 W 75th St,Prairie Village,KS,66204,https://www.bremertonparkapts.com/
21381,Summit Park Village,8563 Lake Murray Blvd,San Diego,CA,92119,https://www.essexapartmenthomes.com/apartments/summit-park-village
217796,Old Shell Lofts,1706 Old Shell Rd,Mobile,AL,36604,https://themobilelofts.com/apartments/al/mobile/the-old-shell-lofts/
218359,Old Farm,2500 Old Farm Rd,Houston,TX,77063,https://livebh.com/apartments/old-farm/?utm_source=realpage&utm_medium=referral&utm_campaign=cta
2190,Marisol Vista,1280 102nd Ave N,St Petersburg,FL,33716,https://livebh.com/apartments/marisol-vista-apartment-homes/?utm_source=realpage&utm_medium=referral&utm_campaign=cta
222150,Tuscany Villas,2824 5th Street W,West Fargo,ND,58078,https://www.tuscanyvillaswf.com/
22143,Bainbridge Park,6900 Foxthorn,Canton,MI,48187,https://www.bainbridgeparkapartments.com/
220581,Hampshire Village,1319 Merrimac Dr,Hyattsville,MD,20783,http://hampshirevillage.com/
22351,Willamette Falls Court,2220 Gilman Dr,Oregon City,OR,97045,https://www.willamettefallsprinceton.com/
22530,Fountain Park,4550 SW Murray Blvd,Beaverton,OR,97005,https://www.fountainparkbeaverton.com/
226350,1250 Lakeside,1250 Lakeside Dr,Sunnyvale,CA,94085,https://www.essexapartmenthomes.com/apartments/sunnyvale/1250-lakeside
22592,Chelsea by the Bay,1823 S Kent Des Moines Rd,Des Moines,WA,98198,http://www.chelseabythebay.com/
225099,Desert Horizon,16636 N 58th St,Scottsdale,AZ,85254,https://arizona.weidner.com/apartments/az/scottsdale/desert-horizon/?utm_source=google&utm_medium=organic&utm_campaign=gmb
228755,Cascade Woods,18607 SW Mapleoak Ln,Aloha,OR,97003,http://www.cascadewoodsprinceton.com/
226378,Chatwell Club,9175 Chatwell Club Ln,Davison,MI,48423,http://www.chatwellclub-apts.com/
227366,Stazione:25,2715 25th Ave S,Seattle,WA,98144,https://www.stazione25.com/
2282,City View,25200 Carlos Bee Blvd,Hayward,CA,94542,https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view
229748,Chestnut Street,143 Chestnut St,Santa Cruz,CA,95060,https://www.essexapartmenthomes.com/apartments/chestnut-street
231263,Park at Meadow Ridge,2495 Meadow Ridge Ln,Montgomery,AL,36117,https://www.parkatmeadowridge.com/
23143,Mira Monte,10360 Maya Linda Rd,San Diego,CA,92126,https://www.essexapartmenthomes.com/apartments/mira-monte?sc_camp=2648D1300BEC431BB11EB86F02F52DBD&utm_source=googlesearch
23151,Carlton Heights Villa,9705 Carlton Hills Blvd,Santee,CA,92071,https://www.carltonheightsvillasapts.com/
232548,Penstock Quarter I,5001 Libbie Mill E Blvd,Richmond,VA,23230,https://www.penstockquarter.com/
230951,70 Columbus,70 Christopher Columbus Dr,Jersey City,NJ,7302,https://ironstate.com/property/70-columbus/
12586,Avondale at Warner Center,22222 Victory Blvd,Woodland Hills,CA,91367,https://www.essexapartmenthomes.com/apartments/woodland-hills/avondale-at-warner-center
12380,McDermott Place,8900 Independence Pkwy,Plano,TX,75025,https://www.mcdermottplace.com/
12963,The Blake LA,733 N Kings Rd,Los Angeles,CA,90069,https://www.essexapartmenthomes.com/apartments/the-blake-la
12985,Meadowood,1733 Cochran St,Simi Valley,CA,93065,https://www.essexapartmenthomes.com/california/ventura-county-apartments/simi-valley-apartments/meadowood
232998,The Highlands of Chevy Chase,5480 Wisconsin Ave,Chevy Chase,MD,20815,https://www.thehighlandsofchevychase.com
23570,Heritage Park,555 E Washington Ave,Sunnyvale,CA,94086,http://www.liveatheritageparkapts.com/
238157,Morningside Atlanta by Windsor II,1845 Piedmont Ave NE,Atlanta,GA,30324,https://www.morningsidebywindsor.com
24098,Windsor Coral Springs,6150 Wiles Rd,Coral Springs,FL,33067,https://www.windsorcoralsprings.com/
2405,Foster's Landing,700 Bounty Dr,Foster City,CA,94404,https://www.essexapartmenthomes.com/apartments/foster-city/fosters-landing
239782,The Woods At Blue Heron Pines,1000 Bally Bunion Dr,Egg Harbor City,NJ,8215,https://www.woodsatblueheron.net/
241643,Jade at North Hills,N72W12727 Good Hope Rd,Menomonee Falls,WI,53051,https://www.movetojade.com/
241981,Hills At Sandy Station,132 E Sego Lily Dr,Sandy,UT,84070,www.hillsatsandystation.com
