apartmentid,name,address,city,state,zip,website
10993,Hillside Community,1020 Raleigh Dr,Carrollton,TX,75007,http://www.hillsidecarrollton.com
10496,Grayson Park,1319 N Nursery Rd,Irving,TX,75061,https://liveatgraysonpark.com/
11348,Barrett Creek,6525 Glenview Dr,North Richland Hills,TX,76180,https://www.barrettcreekapts.com/
11307,Creek on Park Place,2001 Park Pl Blvd,Bedford,TX,76021,https://www.liveatcreekonparkplace.com/
11089,Village Green of Bear Creek,1800 Fuller Wiser Rd,Euless,TX,76039,http://www.villagegreenofbearcreekapts.com/home/
11524,Casa De Arroyo,8360 W Spring Valley Rd,Dallas,TX,75240,http://www.casadearroyoapts.com
11793,The Laney,7474 Skillman St,Dallas,TX,75231,https://livethelaney.com/
11745,316Fry,316 Fry St,Denton,TX,76201,https://www.316fry.com/316-fry-denton-tx/
19357,Newport Village Apartments,1827 W Gowan Rd,North Las Vegas,NV,89032,https://newportvillageaptslv.com/?utm_knock=g
20977,Cobblestone,15449 N 25th Ave,Phoenix,AZ,85023,https://www.cobblestonephx.com/
21323,Windfern Pointe,9515 W Gulf Bank Rd,Houston,TX,77040,http://windfernpointe.com/
2196,Hickory Highlands,100 Hickory Highlands Dr,Antioch,TN,37013,https://www.hickoryhighlandsapts.com/
218597,Valley Oak,2300 Oakdale Rd,Modesto,CA,95355,http://www.valleyoakwelcomehome.com/
222652,Turtle Dove I,3516 Matilda St,Dallas,TX,75206,https://liveatturtledove.com/
220734,Kendrick,7324 Skillman St,Dallas,TX,75231,https://www.liveatthekendrick.com/
231586,Cameron Kinney,2400 E Cary St,Richmond,VA,23223,https://theriverlofts.com/floor-plans
12880,Rockridge Park,850 Harvest Time Ln,Houston,TX,77060,https://www.villaserenacommunities.com/rockridge-park/
12743,Riley,8631 Fairhaven St,San Antonio,TX,78229,https://www.myrileyapts.com/
12377,Metropolitan at Cityplace,2802 N Carroll Ave,Dallas,TX,75204,https://www.metropolitancityplace.com/
12959,Oak Bend,915 Baker Dr,Tomball,TX,77375,https://www.oakbendapt.com/
233188,The Mansions at Sunset Ridge,1440 Carrollton Pkwy,Carrollton,TX,75010,www.mansionsatsunsetridge.com
25166,Triangle Park,5011 S Alston Ave,Durham,NC,27713,https://www.triangleparkapts.com/
253118,Tamarac Village II,9141 W Commercial Blvd,Tamarac,FL,33351,https://www.tamaracvillage.com/
13327,Briar Park,10401 Old Bammel N Houston Rd,Houston,TX,77086,https://www.ariseequity.com/briar-park#contact
26278,The Park at Morella,4300 Flat Shoals Rd,Union City,GA,30291,www.theparkatmorella.com
