apartmentid,name,address,city,state,zip,website
10182,Lakewood on the Trail,101 N Brookside Dr,Dallas,TX,75214,https://texas.weidner.com/apartments/tx/dallas/lakewood-on-the-trail-0/
1154,Deer Crest,2200 W 10th Ave,Broomfield,CO,80020,www.deercrestapartments.com
10629,The Oakley,501 Green Oaks Ct,Arlington,TX,76006,https://livebh.com/apartments/the-oakley-apartment-homes/
10344,La Vita on Lovers Lane,6603 E Lovers Ln,Dallas,TX,75214,http://www.lavitaonloversln.com/
10929,Highland Park Apartments,5836 Highland Park Dr,Fort Worth,TX,76132,www.hpluxuryapts.com
10141,Wymberly Crossing,3001 S Carrier Pkwy,Grand Prairie,TX,75052,https://www.wymberlycrossing.com/
1113,Retreat at Shawnee,11128 W 76th Terrace,Shawnee,KS,66214,https://www.retreatofshawnee.com/
10979,The Hudson,6715 Buenos Aires Dr,North Richland Hills,TX,76180,https://www.thehudsontx.com/
10324,Dove Park,1400 N Park Blvd,Grapevine,TX,76051,https://www.doveparkapts.com/
1084,Black Hawk,3010 Simcoe Dr,Fort Wayne,IN,46815,https://www.theblackhawkapartments.com/
11992,MAA Worthington,2808 McKinney Ave,Dallas,TX,75204,https://www.maac.com/texas/dallas/maa-worthington/
12260,Essence at North Dallas,4200 Horizon N Pkwy,Dallas,TX,75287,https://www.essencenorthdallas.com/#
12162,Vista Springs,265 E Corporate Dr,Lewisville,TX,75067,https://www.vistaspringsapts.com/
12124,Carrington Park,3001 Communications Pkwy,Plano,TX,75093,http://www.livecarringtonpark.com/
12318,The Enclave at Stonebrook,8083 Stonebrook Pkwy,Frisco,TX,75034,www.enclaveatstonebrook.net
11805,Woodland Hills,3541 W Northgate Dr,Irving,TX,75062,http://www.thewoodlandhills411.com/
119798,829 Garfield,829 Garfield Ave,Jersey City,NJ,7305,https://www.829garfield.com/
11762,Estelle Creek North,4023 Block Dr,Irving,TX,75038,https://www.estellecreek.com/
11968,SaddleBrook,5353 Keller Springs Rd,Dallas,TX,75248,www.saddlebrookapts.com
1179,Retreat at Mill Creek,8714 Pflumm Ct,Lenexa,KS,66215,www.retreatmillcreek.com
120193,Parks Residential - Richardson,2220 N Glenville Dr,Richardson,TX,75082,https://www.parksrichardson.com/
11777,Water Ridge,4600 W Pioneer Dr,Irving,TX,75061,https://www.waterridgeapartments.com/
118979,Eve East Village,433 E 13th St,New York,NY,10009,https://eve.nyc
120156,The Bond,6180 E Lake Sammamish Pkwy NE,Redmond,WA,98052,https://www.thebondredmond.com/
118750,The Berkman,217 14th Ave SW,Rochester,MN,55902,http://theberkman.com/
19565,The Hudson by Trion Living,10695 SW Murdock St,Tigard,OR,97224,https://trionliving.com/apartments/thehudson/
1994,Perimeter Lakes,6146 Perimeter Lakes Dr,Dublin,OH,43017,https://www.perimeterlakesapts.com/
19535,Windsor Court,614 Cedar Ln #2,Knoxville,TN,37912,https://www.livewindsorcourt.com/
19924,Maybeck at the Bend,13830 SW Chinn Ln,Tigard,OR,97224,https://www.maybeckapartments.com/
19777,Glen at North Creek,12115 Meridian Ave S,Everett,WA,98208,https://www.glenatnorthcreek.com/?utm_source=GMB&utm_medium=organic
19369,Foothill Courtyards,1360 Foothill Dr,Vista,CA,92084,http://www.foothillcourtyard.com/
1973,Rosslyn Heights,1800 N Quinn St,Arlington,VA,22209,http://www.rosslynheights.com/
19727,Breckenridge,11000 16th Ave SE,Everett,WA,98208,https://washington.weidner.com/apartments/wa/everett/breckenridge-1/
19175,Sanford Landing,1800 W 1st St,Sanford,FL,32771,https://www.sanfordlanding.com/
19610,Pacific Harbors,5150 E Sahara Ave,Las Vegas,NV,89142,www.pacificharborssunrise.com
19897,The Pointe at Clearwater,2554 Oak Trail S,Clearwater,FL,33764,https://www.thepointeatclearwater.com/
19530,The Hampton,103 Weatherstone Dr,Fayetteville,NC,28311,https://www.brazosthehampton.com/
1985,Town Walk at Hamden Hills,100 Town Walk Dr,Hamden,CT,6518,https://www.townwalkhamden.com/
