apartmentid,name,address,city,state,zip,website
1085,Sound at Peninsula,4455 Confederate Point Rd,Jacksonville,FL,32210,https://www.livesoundatpeninsulajax.com/
11112,Rise West Arlington,3601 S Fielder Rd,Arlington,TX,76015,https://www.risewestarlington.com/
11543,Westwind Apartments,4300 Old Benbrook Rd,Fort Worth,TX,76116,http://www.leasewestwindapartments.com/
12190,Eaves North Dallas,4141 Horizon N Pkwy,Dallas,TX,75287,https://www.wimberlyapthome.com/
12182,The Reserve on Willow Lake,4101 S Hulen St,Fort Worth,TX,76109,https://thereservefortworth.com/
118445,Mara Pacific Beach Apartments,4275 Mission Bay Dr.,San Diego,CA,92109,https://www.equityapartments.com/san-diego/pacific-beach/mara-pacific-beach-apartments
11727,Rise Bedford Lake,1300 Shady Ln,Bedford,TX,76021,https://www.risebedfordlake.com/
12064,Riviera at West Village,3530 Travis St,Dallas,TX,75204,http://www.rivierawestvillage.com/
19650,Briarwood Terrace,1501 S Wolf Rd,Prospect Heights,IL,60070,http://www.briarwoodapartments.com/
19877,Advenir at Magnolia,210 Welcome Way,Fern Park,FL,32730,http://www.adveniratmagnolia.com/
19299,Phoenix Orlando,10801 Heather Ridge Cir,Orlando,FL,32817,https://www.livephoenixorlando.com/
19914,Rustic Oaks Apts.,15963 Le Claire Ave,Oak Forest,IL,60452,https://www.rusticoaksapartments.com/
19540,Chopaka,145 Newport Way NW,Issaquah,WA,98027,www.chopakaapartments.com
19517,Crystal Cove,3309 Sky Country Ln,Las Vegas,NV,89117,https://www.lewisapartments.com/crystal-cove-las-vegas-nv/
21303,Rosemeade,657 Worcester St,Southbridge,MA,1550,http://www.rosemeadema.com/
21092,Royale,3593 Buford Hwy NE,Atlanta,GA,30329,https://royale.prospectportal.com/
21293,Beach Villas,11555 Beach Blvd,Jacksonville,FL,32246,www.beachvillasapts.com
20672,Quiet Waters Landing,1293 Thom Ct,Annapolis,MD,21403,https://www.quietwaterslanding.com/
20959,Dove Valley Apartment Homes,7550 S Blackhawk St,Englewood,CO,80112,https://www.dovevalleyapts.com/
20683,Alister Parx,12102 4th Ave W,Everett,WA,98204,https://www.alisterparx.com/
20770,Lexington Commons,5530 Colony Way,Bartlesville,OK,74006,www.lexingtoncommonsapts.com
20791,The Avenues of Kennesaw West,3900 George Busbee Pkwy NW,Kennesaw,GA,30144,www.theavenuesofkennesaw.com
21129,Rise Suncrest,6507 S Hardy Dr,Tempe,AZ,85283,www.risesuncrest.com
20551,Rise at the Preserve,1502 W Glendale Ave,Phoenix,AZ,85021,https://www.riseatthepreserve.com/?utm_source=google_business&utm_medium=profile&utm_campaign=google
218172,Alister Uptown,810 E 7th St,Charlotte,NC,28202,https://www.alisteruptowncharlotte.com/
220043,Gardens at Briarwood,3580 Buford Hwy,Brookhaven,GA,30329,https://gardensatbriarwood.prospectportal.com/
219998,Arlington Square,207 SE 2nd Pl,Gainesville,FL,32601,https://arlingtonsquare.org/
220156,AMLI at Escena,6401 Escena Blvd,Irving,TX,75039,https://www.amli.com/apartments/dallas/las-colinas-apartments/amli-at-escena
220088,Ashbrooke,415 NE Delaware Ave,Ankeny,IA,50021,http://www.ashbrookeapts.com/
218956,Coronado Villas,9225 E Tanque Verde Rd,Tucson,AZ,85749,https://coronadovillas.tokolaproperties.com/
22337,Park Wood,7300 Parkwood Cir,Dublin,CA,94568,https://www.parkwoodluxury.com/
223507,The West Living,6620 W National Ave,West Allis,WI,53214,https://mandelgroup.com/apartments/the-west-living/
22297,Chestnut Park,901 W Silver Sands Dr,San Antonio,TX,78216,https://www.mychestnutparkapartments.com/
225072,Meridian 2250 at Eisenhower Station,2250 Dock Ln,Alexandria,VA,22314,https://www.meridian2250.com/?switch_cls[id]=64695&utm_source=google%20-%20entrataseo&utm_medium=organic&utm_campaign=gmb&utm_content=website%20click
226174,Lakeview Townhomes and Villas,4811 Likins Cir,Wichita Falls,TX,76308,https://npmainc.com/listing/lakeview-townhomes/
225952,Seranado Fountain,100 S Seranado St,Orange,CA,92869,http://www.seranadofountainapartments.com/
227354,Sandstone,5101 Sanger Ave,Waco,TX,76710,https://www.sandstoneapartmenthomes.com/
228359,Milo,4109 E 10th Ave,Denver,CO,80220,https://www.equityapartments.com/denver/congress-park/milo-apartments
228073,Alister Montclair,11 Pine St,Montclair,NJ,7042,https://www.alistermontclair.com/
229671,Heather Glen,1650 West Chester Pike,West Chester,PA,19382,www.liveheatherglen.com
229616,93 East,2565 Shallowford Rd,Atlanta,GA,30345,https://93east.prospectportal.com/
228903,Fitchburg Square Apartments,2001 Greenway Cross,Fitchburg,WI,53713,http://www.fitchburgsquare.com/
230737,Emerald Downs,910 NE Providence Ct,Pullman,WA,99163,https://www.emerald-downs-apts.com/
229796,Terra Mar,93 Dune Lakes Cir,Santa Rosa Beach,FL,32459,http://terramarapts.com/
