apartmentid,name,address,city,state,zip,website
20140,Chatham Square,8150 Chatham Manor Blvd,Orlando,FL,32821,https://www.chathamsquareapartments.com/
244274,Cornerstone,2115 E Vinson Ave,Harlingen,TX,78550,http://www.cornerstoneaptsharlingen.com/
257593,Church & Henley,700 Henley St,Knoxville,TN,37902,https://www.churchandhenley.com/
274954,Hurston,50 Lago Mar Way,Jacksonville,FL,32258,https://www.hurstonjacksonville.com/
299847,Mirabella,4224 N McColl Rd,McAllen,TX,78504,https://www.mirabellamcallen.com/
3148,Aven,3207 Stones Throw Ln,Durham,NC,27713,https://www.avenliving.com
31341,Carrington Park,100 Carrington Park,Jonesboro,GA,30236,http://www.carringtonparkjonesboro.com/
33993,City Club Apartments MDA,63 E Lake St,Chicago,IL,60601,https://www.cityclubapartments.com/
15776,LaSalle Park,5443 16th Ave,Chillum,MD,20782,https://jalexrentals.com/property-detail/?propID=61&rmwebsvc_id=61&rmwebsvc_command=PropertyDetail.aspx&rmwebsvc_corpid=jalex&rmwebsvc_location=1&rmwebsvc_mode=javaScript&rmwebsvc_AvailabilityDate=11/18/2019&rmwebsvc_template=default
37157,Chamberlain I & II,39 Central Ave,Dayton,OH,45406,https://www.chamberlainapt.com/
38532,Glenbrook at Rocky Hill,100 Robinson Rd,Rocky Hill,CT,6067,www.glenbrook-apts.com
3902,Pelham Apartments,260 Pelham Rd,Greenville,SC,29615,https://pelhamgreenville.com/home
43551,Willow Trail,1700 Mindanao Dr,Jacksonville,FL,32246,https://www.willowtrailjax.com/contact-us/
42981,Alexander Pointe,2121 Burwick Ave,Orange Park,FL,32073,https://www.livealexanderpointefl.com/
4709,1020 at Winter Springs,1020 Chatham Pines,Winter Springs,FL,32708,https://www.1020atwinterspringsfl.com/
60145,Woodmont Mews,1345 Martin Ct,Bethlehem,PA,18018,https://www.woodmontmewsapartments.com/
60146,Woodmont Place at Palmer,100 Woodmont Cir,Easton,PA,18045,http://www.woodmontpalmer.com/Lehigh-Valley-PA-apartments.asp
65541,McKinney Square,6600 McKinney Ranch Pkwy,McKinney,TX,75070,https://www.mckinneysquareapartments.com/
77782,Atlantico at Miramar,12121 SW 43rd St,Miramar,FL,33025,http://www.atlanticomiramarfl.com/miramar-fl-apartments.asp
77794,Atlantico at Alton,13805 Emerson Street,Palm Beach Gardens,FL,33418,https://www.palmbeachgardensapartments.com/
