apartmentid,name,address,city,state,zip,website
1783,Madison at Largo,601 Rosery Rd NE,Largo,FL,33770,https://gscapts.com/apartments/florida/madison-at-largo/
13736,The Langston,2301 Godby Rd,Atlanta,GA,30349,https://thelangstonapt.com/?fbclid=IwAR2uEIPisZyXyAqyGBlftuomKvu-bD-YGOw_3kZ5CqLqiGIYRL0rLIJ-aZE
24360,Wildwood Manor Apartments,260 N Mathilda Ave,Sunnyvale,CA,94086,https://www.wildwoodmanorapts.com/
39953,Parker Towers,104-20 Queens Blvd,Queens,NY,11375,https://www.parkertowers.com/
9394,Sun Ridge Apartments,6608 South Fwy,Fort Worth,TX,76134,https://www.cethron.com/sunridge
97493,Meridia Brownstones,1901 Elizabeth Ave,Rahway,NJ,7065,https://www.meridiabrownstones.com/
74571,Stoney Park Place,56114 Stoney Pl Dr,Shelby Township,MI,48316,http://stoneyparkplace.com/
20988,Orange Terrace,698 Orange Ave,Long Beach,CA,90802,https://www.plentyofplaces.com/orange-terrace
220162,Overlook at Stone Spring,607 John Tyler Cir,Harrisonburg,VA,22801,www.overlookatstonespring.net
386,Redwood Hollow,600 Weakley Ln,Smyrna,TN,37167,https://www.morgan-properties.com/apartments/tn/smyrna/redwood-hollow/
1818,Ridgemont,20 Mason Dr,Chattanooga,TN,37415,http://www.ridgemontapartments.com/
22287,Easton,6033 De Zavala Rd,San Antonio,TX,78249,https://www.eastonluxuryliving.com/
286995,Kodiak LeGrande,668 La Grande Dr,Sunnyvale,CA,94087,http://www.kodiak-legrande.com/
257702,The Apartments at Kelton Station,901 Shipwright Loop,Williamsburg,VA,23188,https://www.keltonstationapts.com/
240743,Evergreen at River Oaks II,4650 Nelson Rd,Lake Charles,LA,70605,https://www.evergreenatriveroaks.com/?utm_source=bingPlaces&utm_medium=organic
274335,Maverick,7880 W Maule Ave,Las Vegas,NV,89113,https://www.mavericklv.com/
77588,The Byron On Peachtree,549 Peachtree St NE,Atlanta,GA,30308,https://www.thebyron.com/
6371,The Place at Barker Cypress -Enclave,1822 Barker Cypress Rd,Houston,TX,77084,https://theplaceatbarkercypress.com/
68348,Olume,1401 Mission St,San Francisco,CA,94103,http://liveolume.com/
78722,Derby,800 N 2nd St,Phoenix,AZ,85004,https://www.derbyphx.com/
22976,Sanctuary,2200 N Torrey Pines Dr,Las Vegas,NV,89108,https://www.lifeatsanctuary.com/
17069,Harbor Cliff,2170 S Harbor Blvd,Anaheim,CA,92802,https://www.rentharborcliff.com/
62738,111 Harbor Point,111 Towne St,Stamford,CT,6902,www.111harborpoint.com
