apartmentid,name,address,city,state,zip,website
225980,Harborview,819 D Ave,National City,CA,91950,www.harborview-apartments.com
16579,Zura Bay,111 73rd Ave N,St Petersburg,FL,33702,https://www.zurabay.com/
10898,Park West,7251 Crowley Rd,Fort Worth,TX,76134,https://www.parkwestfortworth.com/
38691,Summerlake,207 National Dr,Murfreesboro,TN,37128,http://www.summerlakeliving.com/
275096,Vivo Living Longmont,1900 Ken Pratt Blvd,Longmont,CO,80501,https://www.vivolivinglongmont.com/#
7572,Corsican,400 S Sunkist St,Anaheim,CA,92806,http://www.corsicanapartments.com/
12967,Luxor Gardens,1201 Heeney Ave,Johnstown,PA,15904,https://www.luxorgardens.com/
27360,Aspen Court,1641 N Kadota Ave,Casa Grande,AZ,85122,www.aspencourtapartmenthomes.com
27986,Center Park,1550 N Casa Grande Ave,Casa Grande,AZ,85122,www.centerparkapartments.com
49869,Colonial Arms,700 N 9th St,Opelika,AL,36801,https://www.colonialarmsopelika.com/
18288,Chestnut Lake,17721 Whitney Rd,Strongsville,OH,44136,https://www.chestnutlakeapartments.com/
18738,Grayton on Dean,420 N Dean Rd,Auburn,AL,36830,https://graytonondean.com/
73120,Bricks on 13th,2416 S 13th St,Temple,TX,76504,https://www.liveatthebricks.com/
14325,The Berkley,1809 W Rundberg Ln,Austin,TX,78758,https://www.theberkleyatx.com/
239679,3681 Pavillion Pointe,3681 N Decatur Rd,Decatur,GA,30032,http://www.3681pavilionpointe.com/
21553,Chase on Monroe,2163 Commerce Dr,Monroe,NC,28110,https://www.chaseonmonroeapts.com/
24306,Cypress Lake,555 Butterfield Rd,Houston,TX,77090,https://cypresslakeapartments.com/
224617,LAKEWOOD APARTMENT HOMES,119 Putter Dr,Sumter,SC,29150,https://www.lakewoodsumter.com/
3307,The Lake House at Martins Landing,1500 Harbor Landing,Roswell,GA,30076,https://www.lakehouseatmartinslanding.com/
3342,Sahara & Playa Palms,2300 W San Angelo St,Gilbert,AZ,85233,https://www.saharaandplayapalmsapts.com/
7595,La Ramada,2901 E Yorba Linda Blvd,Fullerton,CA,92831,http://www.laramadaapartments.com/
7951,Summer Ridge,5545 Summer Ridge Blvd,Kalamazoo,MI,49009,https://www.summerridgeapartments.com/
51982,Portside,100 Mariner's Cir,Sheffield Lake,OH,44054,www.liveportside.com
50589,Baypointe Manor,2701 13th Ave N,Texas City,TX,77590,https://www.baypointemanor.com/
22166,Regency Grove,1830 Bandera Rd,San Antonio,TX,78228,https://www.liveataspireapts.com/
27553,View@98,10611 E. 98th Terrace,Kansas City,MO,64134,https://www.viewhighlakeapts.com/
15395,Villa Anita,5757 Guhn Rd,Houston,TX,77040,https://www.villaanitaapthomes.com/
57540,Coral Cay Apartments,1234 Nile Dr,Corpus Christi,TX,78412,http://www.coralcayapartments.com/
5185,Regal Pointe,6111 Willowbend Blvd,Houston,TX,77096,https://www.regalpointetx.com/
9564,Villas Del Zocalo Phase 4,3232 Sumter Dr,Dallas,TX,75220,https://phasefour.villasdelzocalo.com/
38551,5 Oaks,18203 Westfield Pl Dr,Houston,TX,77090,https://www.liveatfiveoaks.com/
10787,The Reserve at Lake Highlands,11601 Audelia Rd,Dallas,TX,75243,https://www.reservelh.com/
71777,Regency Springs,103 S 4th St,Lafayette,IN,47901,www.regencyspringsapartmenthomes.com
8995,Blakely Apartment Homes,1908 Randy Snow Rd,Arlington,TX,76011,https://www.blakelyliving.com/
20152,La Mesa Village,7914 La Mesa Blvd,La Mesa,CA,91942,https://www.lamesavillage.rent/
25186,Retreat at Southpointe,200 Clarendon Pl,Fayetteville,GA,30215,https://www.retreatatsouthpointeapts.com/
27552,Laurel Glen,70 Sklar St,Ladera Ranch,CA,92694,www.laurelglen-apts.com
271966,Windswept Gardens,6320 Windswept Ln,Houston,TX,77057,https://www.windsweptgardens-galleria.com/
38936,Edgewater Point Apartments,221 Eisenhower Dr,Biloxi,MS,39531,https://edgewaterpointeapts.com/
43141,Aberdeen Place,2316 Hardy Pkwy,Grove City,OH,43123,http://liveaberdeenplace.com/#home
245519,Alexis,4604 Cypresswood Dr,Spring,TX,77379,http://alexismyhome.com/
233692,Residences,177 Market St,Westlake,OH,44145,https://www.crockerparkliving.com/
14138,Villas at Shadow Oaks,12148 Jollyville Rd,Austin,TX,78759,https://www.villasatshadowoaks.com/
1938,Longwood At Southern Hills,371 Wallace Rd,Nashville,TN,37211,www.longwoodsouthernhills.com
8556,The Ayva,4057 N Belt Line Rd,Irving,TX,75038,https://www.theayvaapts.com/
9186,Encore on Mustang,3037 Mustang Dr,Grapevine,TX,76051,https://www.encoreonmustangapts.com/
17546,Aspire Rialto,1369 N Willow Ave,Rialto,CA,92376,https://www.aspirerialto.com/
217564,Altitude,2769 Palmer Ave,Glenwood Springs,CO,81601,https://www.altitudeglenwoodsprings.com/
40171,Trails at City Park,2201 W Orem Dr,Houston,TX,77047,https://www.trailsatcitypark.com/
22591,Lakeview at The Bay,995 E Baseline Rd,Tempe,AZ,85283,http://www.lakeviewatthebayapartments.com/
217930,Reserve at City Place,1560 League Line Rd,Conroe,TX,77304,https://www.reserveatcityplace.com
21577,Spring Valley,37850 Spring Ln,Farmington Hills,MI,48331,https://www.springvalleyaparts.com/
9168,The Lake Lofts,2795 N Buckner Blvd,Dallas,TX,75228,https://www.thelakeloftsapts.com/
62354,Aria at Rollingbrook,1700 Rollingbrook Dr,Baytown,TX,77521,http://www.ariarollingbrook.com/
282994,Flats at the Cameron,1308 Mckie Dr,Austin,TX,78752,https://www.flatsatthecameron.com/
55323,Regency Court,1616 S Henderson St,Bloomington,IN,47401,http://www.regencycourt-apts.com/
6698,Flamingo Chateau,6570 W Flamingo Rd,Las Vegas,NV,89103,https://www.flamingochateau.com/
40361,Cypress Point,4760 E Butler Ave,Fresno,CA,93702,https://www.livecypresspoint.com/
97945,Cascades at Jordan Creek,8350 Cascade Ave,West Des Moines,IA,50266,http://www.cascadesatjordancreek.com/
33172,Stonebridge at City Park,11800 City Park Central Ln,Houston,TX,77047,https://www.livestonebridgecitypark.com/
262317,Reata West,1133 Boyd Rd,Azle,TX,76020,http://reatawest.com/
37510,South Wind,549 Southwinds Dr,Franklin,TN,37064,www.southwindapts.com
41323,Windscape,373 W Nees Ave,Fresno,CA,93711,https://www.windscapefresno.com/
3338,The Boardwalk,6400 Northwest Expy,Oklahoma City,OK,73132,http://www.theboardwalkapartments.info/
265114,32 Arcadia,3211 E Pinchot Ave,Phoenix,AZ,85018,https://www.32arcadia.com/
77168,Des Arboles,3209 Cross Keys Dr,Florissant,MO,63033,www.crosskeysapts.com
46967,Wasko Modern,2302 E Fort Lowell Rd,Tucson,AZ,85719,https://www.waskomodern.com/
14728,Vue,7607 Blessing Ave,Austin,TX,78752,www.vueaustin.com
283570,Beall Way,459 Trinity Trail,Denton,TX,76207,https://www.beallwaydenton.com/
246572,Alta North Central,777 E Stella Ln,Phoenix,AZ,85014,https://www.altanorthcentral.com/
63485,La Mariposa I,2930 Plum Creek Ln,Houston,TX,77087,https://www.lifeatlamariposa.com/
234350,Newport At Clear Lake,15900 Space Center Blvd,Houston,TX,77062,www.newportatclearlake.com
266339,Medley,10300 Cedar Ave,Cleveland,OH,44106,https://www.liveatmedley.com/
35323,North Creek,8680 N Cedar Ave,Fresno,CA,93720,http://northcreekapt.com/
9290,Rolling Meadows,1236 Dickens Ct,Arlington,TX,76015,https://www.rollingmeadowsapthomes.com/
266792,Bellaire,7030 Baker Blvd,Richland Hills,TX,76118,https://bellaire.appianwayapthomes.com/
11398,Eclipse Oak Lawn,2930 Kings Rd,Dallas,TX,75219,https://www.eclipsedallas.com/
296945,Seasons on Skyline I,6019 Wasatch Dr,Ogden,UT,84403,https://skyline.seasonsforrent.com/
223730,Aberdeen,2300 Wakarusa Dr,Lawrence,KS,66047,https://www.gbaberdeen.com/
