apartmentid,name,address,city,state,zip,website
298547,Allora Creekbend,7001 Clementine Trl,Fairburn,GA,30213,https://alloracreekbendapartments.com/
78910,Hawthorne at Friendly,900 Hobbs Rd,Greensboro,NC,27410,http://www.hawthorneatfriendly.com/
78700,Adley City Springs,6075 Roswell Rd,Sandy Springs,GA,30328,https://livebh.com/apartments/grand-oasis-apartment-homes/
5386,Bower Village,24006 108th Pl SE,Kent,WA,98030,https://www.bowervillage.com/
12985,Meadowood,1733 Cochran St,Simi Valley,CA,93065,https://www.essexapartmenthomes.com/california/ventura-county-apartments/simi-valley-apartments/meadowood
7763,Scottsdale 5th Ave,6405 E Indian School Rd,Scottsdale,AZ,85251,https://www.scottsdale5th.com/
267984,Tapestry Patterson Lane,2035 Tapestry Park Dr,Indian Land,SC,29707,https://tapestrypattersonlaneapartments.com/
98089,Watermark at Steele Crossing,150 E Dunbar Ln,Fayetteville,AR,72703,https://www.steelecrossingliving.com/
266700,FlatZ 520,45760 W Vlg Pkwy,Maricopa,AZ,85139,https://flatz520.com/
226350,1250 Lakeside,1250 Lakeside Dr,Sunnyvale,CA,94085,https://www.essexapartmenthomes.com/apartments/sunnyvale/1250-lakeside
77782,Atlantico at Miramar,12121 SW 43rd St,Miramar,FL,33025,http://www.atlanticomiramarfl.com/miramar-fl-apartments.asp
36382,MAA Eastside,1801 N Greenville Ave,Richardson,TX,75081,https://www.maac.com/texas/dallas/maa-eastside/
50114,Woodgrove Point,3318 Galbraith Rd,Cincinnati,OH,45239,https://rookwoodproperties.com/details/?propID=1&rmwebsvc_id=1&rmwebsvc_command=PropertyDetail.aspx&rmwebsvc_corpid=rookwood&rmwebsvc_location=1&rmwebsvc_mode=javascript&rmwebsvc_AvailabilityDate=8/21/2019&rmwebsvc_template=proplist
52140,MAA Wade Park,5443 Wade Park Blvd,Raleigh,NC,27607,https://www.maac.com/north-carolina/raleigh-cary/maa-wade-park/
