result_type,capture_timestamp_utc,capture_date,historical_run_date,denominator_scope,category,property_id,property_name,configured_address,website,probe_status,access_path,identity_name,identity_address,identity_match,identity_reason,evidence_urls,source_items,primary_evidence_rows,supplemental_evidence_rows,current_explicit_future_rows,current_available_now_rows,current_explicit_capture_date_rows,current_historical_embedded_rows,current_sentinel_future_rows,current_historical_sentinel_rows,current_available_state_no_date_rows,current_source_blank_rows,current_unavailable_rows,current_unparsed_rows,current_future_missed_by_adapter_alias_rows,current_explicit_future_preserved_by_adapter_rows,current_explicit_future_preserved_by_formatter_rows,current_explicit_future_lost_by_adapter_rows,current_explicit_future_lost_by_formatter_rows,current_formatter_capture_date_default_rows,current_capture_defaults_from_source_blank_rows,current_capture_defaults_from_available_now_rows,current_adapter_route_selection_loss_rows,current_adapter_key_alias_loss_rows,current_adapter_response_shape_loss_rows,current_diagnostic_alias_loss_after_unwrap_rows,current_diagnostic_capture_defaults_after_unwrap_rows,current_normalization_loss_rows,pipeline_outcomes_json,loss_classifications_json,pipeline_finding,trace_confidence,july_rows,july_capture_date_rows,july_blank_date_rows,finding,source_detail,error
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,2114,Townes at University,336 Blackhawk Rd,https://www.townesuniversity.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,TOWNES AT UNIVERSITY,336 Blackhawk Rd Charlotte NC 28213,true,structured_name_and_address_match,https://www.townesuniversity.com/;https://api.ws.realpage.com/v2/property/8175735/PropertyDetails;https://api.ws.realpage.com/v2/property/8175735/units?available=true&honordisplayorder=true,17,17,0,2,0,0,15,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":2,""HISTORICAL_SOURCE_DATE_PRESERVED"":15}","{""none"":17}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,4,4,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,marketing_property_id=8175735;details_http=200;units_http=200;units_response_shape=response.units,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,263789,Plum Tree,4200 S Washington St,https://www.plumtreeapt.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,Plum Tree,4200 South Washington Street Kaufman TX 75142,true,structured_name_and_address_match,https://www.plumtreeapt.com/;https://api.ws.realpage.com/v2/property/8648527/PropertyDetails;https://api.ws.realpage.com/v2/property/8648527/units?available=true&honordisplayorder=true,19,19,0,13,0,1,5,0,0,0,0,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_CAPTURE_DATE_PRESERVED"":1,""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":13,""HISTORICAL_SOURCE_DATE_PRESERVED"":5}","{""none"":19}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,14,14,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,marketing_property_id=8648527;details_http=200;units_http=200;units_response_shape=response.units,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,263081,Culebra Commons,7106 Culebra Commons,https://www.liveculebra.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,Culebra Commons,7106 Culebra Commons Rd San Antonio TX 78250,true,structured_name_and_address_match,https://www.liveculebra.com/;https://api.ws.realpage.com/v2/property/8420144/PropertyDetails;https://api.ws.realpage.com/v2/property/8420144/units?available=true&honordisplayorder=true,29,29,0,5,0,1,23,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_CAPTURE_DATE_PRESERVED"":1,""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":5,""HISTORICAL_SOURCE_DATE_PRESERVED"":23}","{""none"":29}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,12,12,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,marketing_property_id=8420144;details_http=200;units_http=200;units_response_shape=response.units,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,REALPAGE_OLL,72054,Cedar Glen,603 N Chippewa Ave,http://www.rentcedarglen.com/,PROBED_NO_CURRENT_INVENTORY,curl_cffi_current_live_public_widget_api,Cedar Glen Apartments,603 North Chippewa Avenue Anaheim CA 92801,true,structured_name_and_address_match,https://www.rentcedarglen.com/;https://api.ws.realpage.com/v2/property/221587/PropertyDetails;https://api.ws.realpage.com/v2/property/221587/units?available=true&honordisplayorder=true,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},CURRENT_NO_INVENTORY_NO_DATE_CONCLUSION,HIGH,14,14,0,CURRENT_SOURCE_HAS_NO_CURRENT_INVENTORY,marketing_property_id=221587;details_http=200;units_http=200;units_response_shape=NoneType,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,257301,SoNa Lofts,6675 W National Ave,https://sonalofts.prospectportal.com/,PROBED_DATA,curl_cffi_current_live,SoNa Lofts,6675 West National Ave West Allis 53214,true,structured_name_and_address_match,https://www.sonalofts.com/;https://www.sonalofts.com/west-allis/sona-lofts/conventional/,16,16,0,1,0,0,0,0,0,0,0,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":1,""SOURCE_UNAVAILABLE"":15}","{""none"":16}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,15,15,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,293343,Norden Range,1455 Pabst Rd,https://nordenrange.com/,FETCH_FAILED,curl_cffi_current_live,Just a moment...,,false,name_match=false;name_visible=true;address_match=false;address_visible=false,https://www.nordenrange.com/;https://www.nordenrange.com/oconomowoc/norden-range-apartments/conventional/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},PIPELINE_NOT_TRACED,LOW,15,15,0,LIVE_PROBE_FAILED_OR_EMPTY,Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,conventional_http=429;
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,67722,North End Vignette,1551 N Water St,https://thenorthendapartments.com/,FETCH_FAILED,curl_cffi_current_live,Just a moment...,,false,name_match=false;name_visible=false;address_match=false;address_visible=false,https://www.thenorthendapartments.com/;https://www.thenorthendapartments.com/milwaukee/north-end-phase-i-llc/conventional/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},PIPELINE_NOT_TRACED,LOW,15,15,0,LIVE_PROBE_FAILED_OR_EMPTY,Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,conventional_http=429;
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,25395,Beach Colony,2821 Camino Del Mar,http://www.beachcolonyapts.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,Beach Colony,2821 Camino Del Mar Del Mar CA 92014,true,structured_name_and_address_match,https://www.beachcolonyapts.com/;https://api.ws.realpage.com/v2/property/51634/PropertyDetails;https://api.ws.realpage.com/v2/property/51634/units?available=true&honordisplayorder=true,2,2,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":1,""HISTORICAL_SOURCE_DATE_PRESERVED"":1}","{""none"":2}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,4,4,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,marketing_property_id=51634;details_http=200;units_http=200;units_response_shape=response.units,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,15079,The Left Bank at River Oaks,5353 Memorial Dr,http://www.leftbankriveroaks.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,The Left Bank,5353 Memorial Drive Houston TX 77007,true,structured_name_and_address_match,https://www.leftbankriveroaks.com/;https://api.ws.realpage.com/v2/property/8171945/PropertyDetails;https://api.ws.realpage.com/v2/property/8171945/units?available=true&honordisplayorder=true,15,15,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_CAPTURE_DATE_PRESERVED"":5,""HISTORICAL_SOURCE_DATE_PRESERVED"":10}","{""none"":15}",NO_NATIVE_EXPLICIT_FUTURE_IN_CURRENT_SAMPLE,HIGH,9,9,0,CURRENT_SOURCE_PROBED_NO_EXPLICIT_FUTURE_IN_SAMPLE,marketing_property_id=8171945;details_http=200;units_http=200;units_response_shape=response.units,
local_current_live_no_rp_oracle_audit_not_canary,2026-08-01T10:06:26Z,2026-08-01,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,7886,Azure Place,3896 Chippewa Rd,https://www.azureplaceapts.com/,PROBED_DATA,curl_cffi_current_live_public_widget_api,Azure Place Apartments,3896 Chippewa Road Memphis TN 38118,true,structured_name_and_address_match,https://www.azureplaceapts.com/;https://api.ws.realpage.com/v2/property/9178700/PropertyDetails;https://api.ws.realpage.com/v2/property/9178700/units?available=true&honordisplayorder=true,95,95,0,22,0,1,65,0,0,0,0,0,7,0,22,22,0,0,0,0,0,0,0,0,0,0,0,"{""EXPLICIT_CAPTURE_DATE_PRESERVED"":1,""EXPLICIT_FUTURE_PRESERVED_END_TO_END"":22,""HISTORICAL_SOURCE_DATE_PRESERVED"":65,""UNPARSED_NATIVE_AVAILABILITY"":7}","{""none"":88,""unparsed_source_text"":7}",ALL_NATIVE_EXPLICIT_FUTURES_PRESERVED_END_TO_END,HIGH,12,12,0,CURRENT_SOURCE_HAS_EXPLICIT_FUTURE_WHILE_JULY_OUTPUT_WAS_CAPTURE_DATE,marketing_property_id=9178700;details_http=200;units_http=200;units_response_shape=response.units,
