result_type,capture_timestamp_utc,capture_date,family,adapter_variant,property_id,property_name,configured_address,website,historical_exact_tier_member,july_output_rows,july_scrape_date_rows,july_blank_date_rows,probe_status,access_path,identity_match,identity_reason,contamination_check,evidence_urls,native_rows,native_future_rows,native_available_now_rows,native_explicit_capture_date_rows,native_historical_date_rows,native_sentinel_date_rows,native_no_date_rows,future_preserved_rows,available_now_normalized_rows,scrape_date_default_rows,current_replay_matched_rows,current_replay_capture_date_rows,current_capture_defaults_from_source_no_date_rows,pipeline_outcomes_json,loss_classifications_json,source_detail,error,classification,classification_reason,proven_defect,scrape_date_only_output_alone_is_defect,defect_gate
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,AspenSquare,ASPENSQUARE_OPERATOR,4079,The View at Waters Edge,6175 Reflections Blvd,https://www.aspensquare.com/apartments/florida/lantana/the-view-at-waters-edge?utm_source=google&utm_medium=referral,True,31,31,0,PROBED_DATA,curl_cffi_current_live_public_knock_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.aspensquare.com/apartments/florida/lantana/the-view-at-waters-edge?utm_source=google&utm_medium=referral;https://doorway-api.knockrentals.com/v1/property/community/29111ea46f471c22;https://doorway-api.knockrentals.com/v1/property/2007449/units,33,15,0,0,16,2,0,15,0,0,31,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 15, ""HISTORICAL_SOURCE_DATE_PRESERVED"": 16, ""NATIVE_ROW_DROPPED"": 2}","{""adapter_row_selection_loss"": 2, ""none"": 31}",community_hash=29111ea46f471c22;numeric_property_id=2007449;community_http=200;units_http=200,,native_future_preserved,all 15 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,AspenSquare,ASPENSQUARE_OPERATOR,6526,Southwood Acres,342 Southwick Rd,https://www.aspensquare.com/apartments/massachusetts/westfield/southwood-acres,True,15,15,0,PROBED_DATA,curl_cffi_current_live_public_knock_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.aspensquare.com/apartments/massachusetts/westfield/southwood-acres;https://doorway-api.knockrentals.com/v1/property/community/ea457daade229111;https://doorway-api.knockrentals.com/v1/property/2007446/units,15,9,0,0,6,0,0,9,0,0,15,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 9, ""HISTORICAL_SOURCE_DATE_PRESERVED"": 6}","{""none"": 15}",community_hash=ea457daade229111;numeric_property_id=2007446;community_http=200;units_http=200,,native_future_preserved,all 9 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,AspenSquare,ASPENSQUARE_OPERATOR,16186,Edgewood Court,649 Prospect St,https://www.aspensquare.com/apartments/massachusetts/chicopee/edgewood-court,True,2,0,2,PROBED_DATA,curl_cffi_current_live_public_knock_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.aspensquare.com/apartments/massachusetts/chicopee/edgewood-court;https://doorway-api.knockrentals.com/v1/property/community/227f4f229111ea32;https://doorway-api.knockrentals.com/v1/property/2007402/units,1,0,0,0,1,0,0,0,0,0,1,0,0,"{""HISTORICAL_SOURCE_DATE_PRESERVED"": 1}","{""none"": 1}",community_hash=227f4f229111ea32;numeric_property_id=2007402;community_http=200;units_http=200,,ambiguous,"native sample has only historical, sentinel, unavailable, or same-day dates",False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,Entrata API,ENTRATA_API,67722,North End Vignette,1551 N Water St,https://thenorthendapartments.com/,True,15,15,0,PROBED_DATA,hyperbrowser_clean_residential_render_no_captcha,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.thenorthendapartments.com/;https://www.thenorthendapartments.com/milwaukee/north-end-phase-i-llc/conventional/,94,25,0,0,0,0,69,25,0,4,93,4,4,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 25, ""NATIVE_ROW_DROPPED"": 1, ""SOURCE_NO_DATE_NORMALIZED_TO_CAPTURE_DATE"": 4, ""SOURCE_NO_DATE_REMAINS_UNKNOWN"": 64}","{""adapter_row_selection_loss"": 1, ""none"": 89, ""source_no_date_capture_date_default"": 4}",Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,,native_future_preserved,all 25 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,Entrata API,ENTRATA_API,257301,SoNa Lofts,6675 W National Ave,https://sonalofts.prospectportal.com/,True,15,15,0,PROBED_DATA,hyperbrowser_clean_residential_render_no_captcha,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.sonalofts.com/;https://www.sonalofts.com/west-allis/sona-lofts/conventional/,16,1,0,0,0,0,0,1,0,0,16,0,0,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 1, ""SOURCE_UNAVAILABLE"": 15}","{""none"": 16}",Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,,native_future_preserved,all 1 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,Entrata API,ENTRATA_API,293343,Norden Range,1455 Pabst Rd,https://nordenrange.com/,True,15,15,0,PROBED_DATA,hyperbrowser_clean_residential_render_no_captcha,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.nordenrange.com/;https://www.nordenrange.com/oconomowoc/norden-range-apartments/conventional/,21,3,0,0,0,0,4,3,0,4,21,4,4,"{""EXPLICIT_FUTURE_PRESERVED_END_TO_END"": 3, ""SOURCE_NO_DATE_NORMALIZED_TO_CAPTURE_DATE"": 4, ""SOURCE_UNAVAILABLE"": 14}","{""none"": 17, ""source_no_date_capture_date_default"": 4}",Current visible SSR plan cards; historical July output came from the Entrata API floorplan tier.,,native_future_preserved,all 3 native future-date row(s) preserved by current replay,False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_API,7886,Azure Place,3896 Chippewa Rd,https://www.azureplaceapts.com/,True,12,12,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.azureplaceapts.com/;https://api.ws.realpage.com/v2/property/9178700/PropertyDetails;https://api.ws.realpage.com/v2/property/9178700/units?available=true&honordisplayorder=true,95,22,0,1,65,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_DROPPED_WITH_RESPONSE_ENVELOPE"": 22, ""NATIVE_ROW_DROPPED"": 73}","{""adapter_response_shape_loss"": 22, ""adapter_row_selection_loss"": 73}",marketing_property_id=9178700;details_http=200;units_http=200;units_response_shape=response.units,,native_future_lost/defaulted_to_scrape_date,22 of 22 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_API,15079,The Left Bank at River Oaks,5353 Memorial Dr,http://www.leftbankriveroaks.com/,True,9,9,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.leftbankriveroaks.com/;https://api.ws.realpage.com/v2/property/8171945/PropertyDetails;https://api.ws.realpage.com/v2/property/8171945/units?available=true&honordisplayorder=true,15,0,0,5,10,0,0,0,0,0,0,0,0,"{""NATIVE_ROW_DROPPED"": 15}","{""adapter_row_selection_loss"": 15}",marketing_property_id=8171945;details_http=200;units_http=200;units_response_shape=response.units,,ambiguous,"native sample has only historical, sentinel, unavailable, or same-day dates",False,False,not proven by scrape-date-only output alone
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_API,25395,Beach Colony,2821 Camino Del Mar,http://www.beachcolonyapts.com/,True,4,4,0,PROBED_DATA,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.beachcolonyapts.com/;https://api.ws.realpage.com/v2/property/51634/PropertyDetails;https://api.ws.realpage.com/v2/property/51634/units?available=true&honordisplayorder=true,2,1,0,0,1,0,0,0,0,0,0,0,0,"{""NATIVE_FUTURE_DROPPED_WITH_RESPONSE_ENVELOPE"": 1, ""NATIVE_ROW_DROPPED"": 1}","{""adapter_response_shape_loss"": 1, ""adapter_row_selection_loss"": 1}",marketing_property_id=51634;details_http=200;units_http=200;units_response_shape=response.units,,native_future_lost/defaulted_to_scrape_date,1 of 1 native future-date row(s) lost or rewritten by the current route/parser/formatter,True,False,native future date exists and current replay fails preservation
local_current_live_scrape_date_only_tier_audit_not_canary,2026-08-01T09:06:23Z,2026-08-01,OneSite / OneSite Workflow,ONESITE_API,76982,The Pointe at Texarkana,2700 Woodland Rd,http://www.pointetexarkana.com/,True,6,6,0,PROBED_NO_CURRENT_INVENTORY,curl_cffi_current_live_public_widget_api,True,structured_name_and_address_match,pass_exact_identity_no_conflicting_source,https://www.pointetexarkana.com/;https://api.ws.realpage.com/v2/property/1462282/PropertyDetails;https://api.ws.realpage.com/v2/property/1462282/units?available=true&honordisplayorder=true,0,0,0,0,0,0,0,0,0,0,0,0,0,{},{},marketing_property_id=1462282;details_http=200;units_http=200;units_response_shape=NoneType,,no_inventory,current exact native source returned no inventory,False,False,not proven by scrape-date-only output alone
