result_type,capture_time_utc,property_id,property_name,website,target_units,marketing_status,marketing_final_url,marketing_error,marketing_challenge_shell,marketing_pages_fetched,marketing_attempts,candidate_count,candidate_bases_json,candidate_scores_json,selection_reason,selected_portal_url,selected_portal_final_url,selected_portal_status,selected_portal_error,selected_portal_challenge_shell,selected_portal_attempts,selected_parser_units,selected_target_overlap_units,selected_target_overlap_ratio,selected_overlap_ids_json
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,1084,Black Hawk,https://www.theblackhawkapartments.com/,2,200,https://www.theblackhawkapartments.com/,,false,1,1,1,"[""https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments""]","[{""base"":""https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments"",""challenge_shell"":false,""error"":"""",""final_url"":""https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx"",""parsed_units"":9,""position"":0,""status"":200,""target_overlap_count"":2,""target_overlap_units"":[""2824"",""2950""],""url"":""https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx""}]",unique_max_target_unit_overlap,https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx,https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx,200,,false,1,9,2,1.0,"[""2824"",""2950""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,14397,Kennedy-Warren (South Wing),https://www.kennedywarren.com/,4,200,https://kennedywarren.com/,,false,1,1,1,"[""https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren""]","[{""base"":""https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren"",""challenge_shell"":false,""error"":"""",""final_url"":""https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx"",""parsed_units"":4,""position"":0,""status"":200,""target_overlap_count"":4,""target_overlap_units"":[""0921"",""0930"",""2307"",""2512""],""url"":""https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx""}]",unique_max_target_unit_overlap,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,200,,false,1,4,4,1.0,"[""0921"",""0930"",""2307"",""2512""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,16078,San Cervantes,https://www.mark-taylor.com/apartments/az/chandler/san-cervantes/,2,200,https://www.mark-taylor.com/apartments/az/chandler/san-cervantes/,,false,1,1,11,"[""https://azulapartmentsgilbert.securecafe.com/onlineleasing/azul2"",""https://borregoapartmentsgilbert.securecafe.com/onlineleasing/borrego"",""https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas"",""https://liveatspectra.securecafe.com/onlineleasing/spectra-on-7th-south"",""https://cactusforty2apts.securecafe.com/onlineleasing/cactus-forty-2"",""https://ascendatkierland.securecafe.com/onlineleasing/ascend1"",""https://elitenorthscottsdale.securecafe.com/onlineleasing/elite"",""https://broadstonewaterfront.securecafe.com/onlineleasing/broadstone-waterfront-new"",""https://elantoprasada.securecafe.com/onlineleasing/elanto-at-prasada"",""https://bellaencanta.securecafe.com/onlineleasing/apartmentsforrent"",""https://firstpointemanagementgroup.securecafe.com/onlineleasing/arts-district-apartments""]","[{""base"":""https://azulapartmentsgilbert.securecafe.com/onlineleasing/azul2"",""challenge_shell"":false,""error"":"""",""final_url"":""https://azulapartmentsgilbert.securecafe.com/onlineleasing/azul2/availableunits.aspx"",""parsed_units"":0,""position"":0,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://azulapartmentsgilbert.securecafe.com/onlineleasing/azul2/availableunits.aspx""},{""base"":""https://borregoapartmentsgilbert.securecafe.com/onlineleasing/borrego"",""challenge_shell"":false,""error"":"""",""final_url"":""https://borregoapartmentsgilbert.securecafe.com/onlineleasing/borrego/availableunits.aspx"",""parsed_units"":0,""position"":1,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://borregoapartmentsgilbert.securecafe.com/onlineleasing/borrego/availableunits.aspx""},{""base"":""https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas"",""challenge_shell"":false,""error"":"""",""final_url"":""https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx"",""parsed_units"":21,""position"":2,""status"":200,""target_overlap_count"":2,""target_overlap_units"":[""2001"",""2099""],""url"":""https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx""},{""base"":""https://liveatspectra.securecafe.com/onlineleasing/spectra-on-7th-south"",""challenge_shell"":false,""error"":"""",""final_url"":""https://liveatspectra.securecafe.com/onlineleasing/spectra-on-7th-south/availableunits.aspx"",""parsed_units"":30,""position"":3,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://liveatspectra.securecafe.com/onlineleasing/spectra-on-7th-south/availableunits.aspx""},{""base"":""https://cactusforty2apts.securecafe.com/onlineleasing/cactus-forty-2"",""challenge_shell"":false,""error"":"""",""final_url"":""https://cactusforty2apts.securecafe.com/onlineleasing/cactus-forty-2/availableunits.aspx"",""parsed_units"":12,""position"":4,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://cactusforty2apts.securecafe.com/onlineleasing/cactus-forty-2/availableunits.aspx""},{""base"":""https://ascendatkierland.securecafe.com/onlineleasing/ascend1"",""challenge_shell"":false,""error"":"""",""final_url"":""https://ascendatkierland.securecafe.com/onlineleasing/ascend1/availableunits.aspx"",""parsed_units"":14,""position"":5,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://ascendatkierland.securecafe.com/onlineleasing/ascend1/availableunits.aspx""},{""base"":""https://elitenorthscottsdale.securecafe.com/onlineleasing/elite"",""challenge_shell"":false,""error"":"""",""final_url"":""https://elitenorthscottsdale.securecafe.com/onlineleasing/elite/availableunits.aspx"",""parsed_units"":13,""position"":6,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://elitenorthscottsdale.securecafe.com/onlineleasing/elite/availableunits.aspx""},{""base"":""https://broadstonewaterfront.securecafe.com/onlineleasing/broadstone-waterfront-new"",""challenge_shell"":false,""error"":"""",""final_url"":""https://broadstonewaterfront.securecafe.com/onlineleasing/broadstone-waterfront-new/availableunits.aspx"",""parsed_units"":15,""position"":7,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://broadstonewaterfront.securecafe.com/onlineleasing/broadstone-waterfront-new/availableunits.aspx""},{""base"":""https://elantoprasada.securecafe.com/onlineleasing/elanto-at-prasada"",""challenge_shell"":false,""error"":"""",""final_url"":""https://elantoprasada.securecafe.com/onlineleasing/elanto-at-prasada/availableunits.aspx"",""parsed_units"":15,""position"":8,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://elantoprasada.securecafe.com/onlineleasing/elanto-at-prasada/availableunits.aspx""},{""base"":""https://bellaencanta.securecafe.com/onlineleasing/apartmentsforrent"",""challenge_shell"":false,""error"":"""",""final_url"":""https://bellaencanta.securecafe.com/onlineleasing/apartmentsforrent/availableunits.aspx"",""parsed_units"":13,""position"":9,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://bellaencanta.securecafe.com/onlineleasing/apartmentsforrent/availableunits.aspx""},{""base"":""https://firstpointemanagementgroup.securecafe.com/onlineleasing/arts-district-apartments"",""challenge_shell"":false,""error"":"""",""final_url"":""https://firstpointemanagementgroup.securecafe.com/onlineleasing/arts-district-apartments/availableunits.aspx"",""parsed_units"":24,""position"":10,""status"":200,""target_overlap_count"":0,""target_overlap_units"":[],""url"":""https://firstpointemanagementgroup.securecafe.com/onlineleasing/arts-district-apartments/availableunits.aspx""}]",unique_max_target_unit_overlap,https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx,https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx,200,,false,1,21,2,1.0,"[""2001"",""2099""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,161,Hickory Mill,https://www.morgan-properties.com/apartments/oh/hilliard/hickory-mill,3,200,https://www.morgan-properties.com/apartments/oh/hilliard/hickory-mill/,,false,1,1,1,"[""https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0""]","[{""base"":""https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0"",""challenge_shell"":false,""error"":"""",""final_url"":""https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx"",""parsed_units"":5,""position"":0,""status"":200,""target_overlap_count"":3,""target_overlap_units"":[""02572"",""05566"",""05585""],""url"":""https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx""}]",unique_max_target_unit_overlap,https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx,https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx,200,,false,1,5,3,1.0,"[""02572"",""05566"",""05585""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,12,200,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,,false,1,1,1,"[""https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes""]","[{""base"":""https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes"",""challenge_shell"":false,""error"":"""",""final_url"":""https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx"",""parsed_units"":44,""position"":0,""status"":200,""target_overlap_count"":12,""target_overlap_units"":[""652-2A"",""682-3A"",""690-3D"",""690-4D"",""694-2C"",""702-1C"",""706-2A"",""708-3B"",""732-2D"",""738-3D"",""738-4A"",""762-3A""],""url"":""https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx""}]",unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,,false,1,44,12,1.0,"[""652-2A"",""682-3A"",""690-3D"",""690-4D"",""694-2C"",""702-1C"",""706-2A"",""708-3B"",""732-2D"",""738-3D"",""738-4A"",""762-3A""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,18351,Maiden Bridge & Canongate Apartments,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,11,200,https://www.morgan-properties.com/apartments/pa/pittsburgh/maiden-bridge-and-canongate-apartments/,,false,1,1,1,"[""https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate""]","[{""base"":""https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate"",""challenge_shell"":false,""error"":"""",""final_url"":""https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx"",""parsed_units"":24,""position"":0,""status"":200,""target_overlap_count"":11,""target_overlap_units"":[""CG106"",""CG116"",""CG406"",""CG501"",""CG503"",""CG618"",""MB421"",""MB519"",""MB617"",""MB717"",""MB720""],""url"":""https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx""}]",unique_max_target_unit_overlap,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,https://maidenbridgecanongate.securecafe.com/onlineleasing/morgan-maiden-bridge-canongate/availableunits.aspx,200,,false,1,24,11,1.0,"[""CG106"",""CG116"",""CG406"",""CG501"",""CG503"",""CG618"",""MB421"",""MB519"",""MB617"",""MB717"",""MB720""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,217358,Webster Green Phase 1&2,http://www.webstergreen.com/,9,200,https://www.morgan-properties.com/apartments/ny/webster/webster-green/,,false,1,1,1,"[""https://webstergreen.securecafe.com/onlineleasing/webster-green""]","[{""base"":""https://webstergreen.securecafe.com/onlineleasing/webster-green"",""challenge_shell"":false,""error"":"""",""final_url"":""https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx"",""parsed_units"":10,""position"":0,""status"":200,""target_overlap_count"":8,""target_overlap_units"":[""1036TG-A"",""1058"",""1083"",""1132"",""1146"",""1148"",""1181"",""989""],""url"":""https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx""}]",unique_max_target_unit_overlap,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,https://webstergreen.securecafe.com/onlineleasing/webster-green/availableunits.aspx,200,,false,1,10,8,0.8888888888888888,"[""1036TG-A"",""1058"",""1083"",""1132"",""1146"",""1148"",""1181"",""989""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,222719,Penbrooke Meadows,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,8,200,https://www.morgan-properties.com/apartments/ny/penfield/penbrooke-meadows-apartments/,,false,1,1,1,"[""https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows""]","[{""base"":""https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows"",""challenge_shell"":false,""error"":"""",""final_url"":""https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx"",""parsed_units"":22,""position"":0,""status"":200,""target_overlap_count"":8,""target_overlap_units"":[""18"",""243"",""245"",""307"",""337"",""58"",""73"",""79""],""url"":""https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx""}]",unique_max_target_unit_overlap,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,https://penbrookemeadows.securecafe.com/onlineleasing/penbrooke-meadows/availableunits.aspx,200,,false,1,22,8,1.0,"[""18"",""243"",""245"",""307"",""337"",""58"",""73"",""79""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,224728,Oak Place,https://www.morgan-properties.com/apartments/ok/oklahoma-city/oak-place/,7,200,https://www.morgan-properties.com/apartments/ok/oklahoma-city/oak-place/,,false,1,1,2,"[""https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1"",""https://morgan-properties.securecafe.com/onlineleasing/oak-place1""]","[{""base"":""https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1"",""challenge_shell"":false,""error"":"""",""final_url"":""https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1/availableunits.aspx"",""parsed_units"":12,""position"":0,""status"":200,""target_overlap_count"":7,""target_overlap_units"":[""003"",""021"",""091"",""127"",""168"",""170"",""176""],""url"":""https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1/availableunits.aspx""},{""base"":""https://morgan-properties.securecafe.com/onlineleasing/oak-place1"",""challenge_shell"":false,""error"":"""",""final_url"":""https://morgan-properties.securecafe.com/onlineleasing/oak-place1/availableunits.aspx"",""parsed_units"":12,""position"":1,""status"":200,""target_overlap_count"":7,""target_overlap_units"":[""003"",""021"",""091"",""127"",""168"",""170"",""176""],""url"":""https://morgan-properties.securecafe.com/onlineleasing/oak-place1/availableunits.aspx""}]",target_overlap_tie_identical_inventory_first_published,https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1/availableunits.aspx,https://oakplaceapartments.securecafe.com/onlineleasing/oak-place1/availableunits.aspx,200,,false,1,12,7,1.0,"[""003"",""021"",""091"",""127"",""168"",""170"",""176""]"
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,227790,The Charles,https://thecharlesslc.com/,16,200,https://thecharlesslc.com/,,false,1,1,1,"[""https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1""]","[{""base"":""https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1"",""challenge_shell"":false,""error"":"""",""final_url"":""https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1/availableunits.aspx"",""parsed_units"":30,""position"":0,""status"":200,""target_overlap_count"":16,""target_overlap_units"":[""0227"",""0308"",""0313"",""0407"",""0408"",""0419"",""0501"",""0504"",""0708"",""0717"",""0819"",""0911"",""1005"",""1022"",""1026"",""1111""],""url"":""https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1/availableunits.aspx""}]",unique_max_target_unit_overlap,https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1/availableunits.aspx,https://thecharlesslc.securecafe.com/onlineleasing/the-charles-1/availableunits.aspx,200,,false,1,30,16,1.0,"[""0227"",""0308"",""0313"",""0407"",""0408"",""0419"",""0501"",""0504"",""0708"",""0717"",""0819"",""0911"",""1005"",""1022"",""1026"",""1111""]"
