result_type,capture_time_utc,capture_date_utc,historical_or_current,property_id,property_name,website,target_unit_id,target_unit_key,july31_rp_date,july31_surgex_date,july31_surgex_provenance,portal_selection_reason,selected_portal_url,selected_portal_status,selected_parser_inventory_units,current_unit_present,current_unit_match_count,current_parser_unit_number,current_raw_source_date,current_raw_date_origin,current_visible_source_date,current_apply_move_in_date,current_normalized_date,current_normalized_provenance,current_source_date_present,current_future_presence,current_explicit_future_recovered,current_vs_rp_comparison,current_minus_rp_days,current_within_one_day_of_rp,failure
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,1084,Black Hawk,https://www.theblackhawkapartments.com/,2824,2824,2026-08-30,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx,200,9,true,1,2824,8/31/2026,apply_move_in_fallback,,8/31/2026,2026-08-31,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,1084,Black Hawk,https://www.theblackhawkapartments.com/,2950,2950,2026-09-10,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://theblackhawkapartments.securecafe.com/onlineleasing/black-hawk-apartments/availableunits.aspx,200,9,true,1,2950,9/11/2026,apply_move_in_fallback,,9/11/2026,2026-09-11,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,14397,Kennedy-Warren (South Wing),https://www.kennedywarren.com/,0921,0921,2026-09-08,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,200,4,true,1,0921,9/9/2026,apply_move_in_fallback,,9/9/2026,2026-09-09,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,14397,Kennedy-Warren (South Wing),https://www.kennedywarren.com/,0930,0930,2026-08-14,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,200,4,true,1,0930,8/15/2026,apply_move_in_fallback,,8/15/2026,2026-08-15,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,14397,Kennedy-Warren (South Wing),https://www.kennedywarren.com/,2307,2307,2026-09-09,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,200,4,true,1,2307,9/16/2026,apply_move_in_fallback,,9/16/2026,2026-09-16,explicit_future,true,true,true,current_other_future,7,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,14397,Kennedy-Warren (South Wing),https://www.kennedywarren.com/,2512,2512,2026-08-26,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://kennedywarren.securecafe.com/onlineleasing/kennedy-warren/availableunits.aspx,200,4,true,1,2512,8/27/2026,apply_move_in_fallback,,8/27/2026,2026-08-27,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16078,San Cervantes,https://www.mark-taylor.com/apartments/az/chandler/san-cervantes/,2001,2001,2026-08-01,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx,200,21,true,1,2001,8/14/2026,apply_move_in_fallback,,8/14/2026,2026-08-14,explicit_future,true,true,true,current_other_future,13,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16078,San Cervantes,https://www.mark-taylor.com/apartments/az/chandler/san-cervantes/,2099,2099,2026-09-22,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://sanpalmasapartmentschandler.securecafe.com/onlineleasing/san-palmas/availableunits.aspx,200,21,true,1,2099,8/11/2026,apply_move_in_fallback,,8/11/2026,2026-08-11,explicit_future,true,true,true,current_other_future,-42,false,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,161,Hickory Mill,https://www.morgan-properties.com/apartments/oh/hilliard/hickory-mill,02572,02572,2026-08-05,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx,200,5,true,1,02572,8/6/2026,apply_move_in_fallback,,8/6/2026,2026-08-06,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,161,Hickory Mill,https://www.morgan-properties.com/apartments/oh/hilliard/hickory-mill,05566,05566,2026-08-05,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx,200,5,true,1,05566,8/6/2026,apply_move_in_fallback,,8/6/2026,2026-08-06,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,161,Hickory Mill,https://www.morgan-properties.com/apartments/oh/hilliard/hickory-mill,05585,05585,2026-08-05,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://hickorymilloh.securecafe.com/onlineleasing/hickory-mill0/availableunits.aspx,200,5,true,1,05585,8/6/2026,apply_move_in_fallback,,8/6/2026,2026-08-06,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,652-2A,652-2A,2026-08-11,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,652-2A,8/12/2026,apply_move_in_fallback,,8/12/2026,2026-08-12,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,682-3A,682-3A,2026-09-03,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,682-3A,9/4/2026,apply_move_in_fallback,,9/4/2026,2026-09-04,explicit_future,true,true,true,current_plus_one_day,1,true,
local_current_live_audit_not_canary,2026-08-01T08:33:17.555214+00:00,2026-08-01,current_live_compared_to_july31_rp,16373,The Villages At Montpelier,https://www.morgan-properties.com/apartments/md/laurel/villages-at-montpelier/,690-3D,690-3D,2026-08-06,2026-07-31,capture_date_default,unique_max_target_unit_overlap,https://villagesofmontpelierapartments.securecafe.com/onlineleasing/villages-at-montpelier-apartment-homes/availableunits.aspx,200,44,true,1,690-3D,8/8/2026,apply_move_in_fallback,,8/8/2026,2026-08-08,explicit_future,true,true,true,current_other_future,2,false,
