finding_id,finding_title,disposition,coverage_mode,property_role,adapter,canonical_id,name,address,city,state,zip,website,acceptance_contract,evidence_file,evidence_line,test_selectors
1,RentCafe Applicant API manufactures availability on inquiry-only plans,confirmed_remediated,explicit_audit_scope,affected,rentcafe_applicant,234581,Georgetown Crossing,100 Georgetown Rd,Mechanicsburg,PA,17050,https://www.triplecrowncorp.com/company/locations/georgetown-crossing/,Inquiry-only plans remain plan-level UNKNOWN and never become available units.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,18,ma_poc/tests/pms/adapters/test_rentcafe_applicant_recovery.py
1,RentCafe Applicant API manufactures availability on inquiry-only plans,confirmed_remediated,explicit_audit_scope,affected,rentcafe_applicant,239094,Zander Place,1300 Main St,Cross Plains,WI,53528,http://www.zanderplace.com/,Inquiry-only plans remain plan-level UNKNOWN and never become available units.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,18,ma_poc/tests/pms/adapters/test_rentcafe_applicant_recovery.py
1,RentCafe Applicant API manufactures availability on inquiry-only plans,confirmed_remediated,explicit_audit_scope,affected,rentcafe_applicant,240595,Stockbridge Trails,319 E Hill Pkwy,Madison,WI,53718,https://www.stockbridgetrailsapartments.com/,Inquiry-only plans remain plan-level UNKNOWN and never become available units.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,18,ma_poc/tests/pms/adapters/test_rentcafe_applicant_recovery.py
2,AvalonBay discards the unique native apartment ID,confirmed_remediated,explicit_audit_scope,affected,avalonbay,26892,Avalon at Arlington Square,2350 26th Ct S,Arlington,VA,22206,https://new.avaloncommunities.com/virginia/arlington-apartments/avalon-at-arlington-square/?utm_source=gmb&utm_medium=organic&utm_campaign=gmblist,Every native Avalon apartment ID survives even when visible unit labels repeat.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,106,ma_poc/tests/pms/adapters/test_avalonbay_html.py
2,AvalonBay discards the unique native apartment ID,confirmed_remediated,explicit_audit_scope,affected,avalonbay,36964,Avalon Meydenbauer,10410 NE 2nd St,Bellevue,WA,98004,https://www.avaloncommunities.com/washington/bellevue-apartments/avalon-meydenbauer,Every native Avalon apartment ID survives even when visible unit labels repeat.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,106,ma_poc/tests/pms/adapters/test_avalonbay_html.py
2,AvalonBay discards the unique native apartment ID,confirmed_remediated,explicit_audit_scope,affected,avalonbay,262540,AvalonBay Montville,85 Old Bloomfield Ave,Pine Brook,NJ,7058,https://www.avaloncommunities.com/new-jersey/montville-apartments/avalon-montville/,Every native Avalon apartment ID survives even when visible unit labels repeat.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,106,ma_poc/tests/pms/adapters/test_avalonbay_html.py
3,Entrata unit cards discard the building/address disambiguator,confirmed_remediated,explicit_audit_scope,affected,entrata,19299,Phoenix Orlando,10801 Heather Ridge Cir,Orlando,FL,32817,https://www.livephoenixorlando.com/,Building/address and native apartment identity disambiguate repeated visible numbers.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,176,ma_poc/tests/pms/adapters/test_entrata_pp_building_identity.py
3,Entrata unit cards discard the building/address disambiguator,confirmed_remediated,explicit_audit_scope,affected,entrata,34482,Abberly Grove,1160 Auston Grove Dr,Raleigh,NC,27610,www.abberlygrove.com,Building/address and native apartment identity disambiguate repeated visible numbers.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,176,ma_poc/tests/pms/adapters/test_entrata_pp_building_identity.py
3,Entrata unit cards discard the building/address disambiguator,confirmed_remediated,explicit_audit_scope,affected,entrata,36173,Wedgewood on the Green,161 Green Moor Way,Henrietta,NY,14467,https://wg.barringtonresidential.com/,Building/address and native apartment identity disambiguate repeated visible numbers.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,176,ma_poc/tests/pms/adapters/test_entrata_pp_building_identity.py
3,Entrata unit cards discard the building/address disambiguator,confirmed_remediated,explicit_audit_scope,affected,entrata,257328,Seasons at Mount Pleasant,4301 Yates Dr,Mt Pleasant,WI,53403,https://www.seasonsmtpleasant.com/,Building/address and native apartment identity disambiguate repeated visible numbers.,investigations/2026-08-01-consolidated-canary/ADAPTER_DATA_QUALITY_FINDINGS.md,176,ma_poc/tests/pms/adapters/test_entrata_pp_building_identity.py
