apartmentid,name,address,city,state,zip,website
540,Bridgepoint I,1500 Monument Rd,Jacksonville,FL,32225,https://www.hgliving.com/apartments/fl/jacksonville/bridgepoint/#/
738,Cross Creek,22 Creek Rd,Irvine,CA,92604,https://www.irvinecompanyapartments.com/communities/cross-creek
1084,Black Hawk,3010 Simcoe Dr,Fort Wayne,IN,46815,https://www.theblackhawkapartments.com/
1156,Northview Southview Apartment Homes,8111 Reseda Blvd,Reseda,CA,91335,https://www.northview-southview.com/
1165,Tustin View,2002 & 2010 N Ponderosa St,Santa Ana,CA,92705,https://www.allenproperties.net/tustin-view-santa-ana-ca/
1740,Camden Fairview,8738 Fairview Rd,Charlotte,NC,28226,https://www.camdenliving.com/apartments/charlotte-nc/camden-fairview?utm_source=gmb&utm_medium=local&utm_campaign=camden-fairview&y_source=1_MTE2Nzc0MTctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
1752,Kensington Park,11651 Norbourne Dr,Forest Park,OH,45240,www.kensingtonparkaptsoh.com
1765,Annaberg,2905 Arrowhead Dr,Augusta,GA,30909,https://www.augustarentalhomes.net/_system/listings/56/2905-Arrowhead-Drive---D3-Augusta-GA-30909-US
1777,Rustic Woods,7901 S Yale Ave,Tulsa,OK,74136,https://www.rusticwoodsapts.com/
1783,Madison at Largo,601 Rosery Rd NE,Largo,FL,33770,https://gscapts.com/apartments/florida/madison-at-largo/
2282,City View,25200 Carlos Bee Blvd,Hayward,CA,94542,https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view
2305,Sun Lake Apartments,420 Sun Lake Cir,Lake Mary,FL,32746,www.livesunlake.com
2405,Foster's Landing,700 Bounty Dr,Foster City,CA,94404,https://www.essexapartmenthomes.com/apartments/foster-city/fosters-landing
2537,Bothell Ridge,19928 Bothell Everett Hwy,Bothell,WA,98012,https://www.essexapartmenthomes.com/apartments/bothell-ridge
2587,The Palms at Laguna Niguel,28188 Moulton Pkwy,Laguna Niguel,CA,92677,https://www.essexapartmenthomes.com/california/orange-county-area-apartments/laguna-niguel-apartments/the-palms-laguna-niguel
2594,The Reserve At Capital Center,3466 Data Dr,Rancho Cordova,CA,95670,https://www.elevatetosequoia.com/apartments/ca/rancho-cordova/reserve-at-capital-center-apartment-homes/
2598,Shore Park at Riverlake,7952 Pocket Rd,Sacramento,CA,95831,https://www.elevatetosequoia.com/apartments/ca/sacramento/shore-park-at-riverlake/
2709,Wellington Place at Olde Town,10303 7th Regiment Dr,Manassas,VA,20110,https://www.udr.com/washington-dc-apartments/manassas/wellington-place-at-olde-town/
2955,2501 Porter Apartments,2501 Porter St NW,Washington,DC,20008,http://www.equityapartments.com/washington-dc/washington-dc-apartments/cleveland-park/2501-porter-apartments.aspx
2957,Arbor Park of Alexandria,6340 Wingate St,Alexandria,VA,22312,http://arborparkofalexandria.com
2958,Newport Village I,4757 W Braddock Rd,Alexandria,VA,22311,https://www.udr.com/washington-dc-apartments/alexandria/newport-village
2982,Cortland on Pike,1850 Columbia Pike,Arlington,VA,22204,https://cortland.com/apartments/cortland-on-pike/
3181,Cortland Mirror Lake,700 Post Lake Pl,Apopka,FL,32703,https://cortland.com/apartments/cortland-mirror-lake/
3379,Atwater Cove,425 Merrimac Way,Costa Mesa,CA,92626,https://www.atwatercove.com/
3535,Aspire Thunderbird,5150 W Eugie Ave,Glendale,AZ,85304,https://www.aspirethunderbird.com/
3748,Brookside Oaks,1651 Belleville Way,Sunnyvale,CA,94087,https://www.essexapartmenthomes.com/apartments/sunnyvale/brookside-oaks
3749,Highlands of Marin,1001 Cresta Way,San Rafael,CA,94903,https://www.udr.com/san-francisco-bay-area-apartments/san-rafael/highlands-of-marin/
3785,Shadowbrook,3852 S 1845 W,West Valley City,UT,84119,http://www.shadowbrookapartments.com/
3811,Vista Del Sol,7100 Louisiana Blvd NE,Albuquerque,NM,87109,www.vista-del-sol.com
4079,The View at Waters Edge,6175 Reflections Blvd,Lantana,FL,33462,https://www.aspensquare.com/apartments/florida/lantana/the-view-at-waters-edge?utm_source=google&utm_medium=referral
4724,MiraBella,40300 Washington St,Bermuda Dunes,CA,92203,www.mirabellalifestyle.com
4752,Regatta Shores,2335 W Seminole Blvd,Sanford,FL,32771,https://www.udr.com/orlando-apartments/north-sanford/regatta-shores/
4904,Saybrooke,100 Old MacDonald Rd,Gaithersburg,MD,20877,https://www.saybrookeapartments.com/
4944,Triangle Place,2800 Bainbridge Dr,Durham,NC,27713,https://www.hgliving.com/apartments/nc/durham/triangle-place/
5119,Embarc at West Jordan,6885 S Redwood Rd,West Jordan,UT,84084,http://www.embarcatwestjordan.com/
5974,Promenade at Aventura Apartments,19680 E Country Club Dr,Aventura,FL,33180,https://www.promenadeataventuraapartments.com/
6194,MAA Rocky Point,3101 N Rocky Point Dr E,Tampa,FL,33607,https://www.maac.com/florida/tampa/maa-rocky-point/
6281,Wildwood,7610 Cameron Rd,Austin,TX,78752,http://www.wildwoodaustin.com/
6526,Southwood Acres,342 Southwick Rd,Westfield,MA,1085,https://www.aspensquare.com/apartments/massachusetts/westfield/southwood-acres
7383,Camden Lakeway,7355 Grant Ranch Blvd,Lakewood,CO,80123,https://www.camdenliving.com/apartments/lakewood-co/camden-lakeway
7797,Village at Del Mar Heights,13138 Kellam Ct,San Diego,CA,92130,https://www.equityapartments.com/san-diego/del-mar/the-village-at-del-mar-heights-apartments
8179,Cambridge Woods,14138 Monterey Pines Dr,Tampa,FL,33613,https://www.udr.com/tampa-apartments/university-center/cambridge-woods/contact-us/
