property_id,property_name,website,evidence_lane,artifact,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation
15014,Wildwood Park,http://www.rentdittmar.com/apartment-communities/wildwood-park,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,11,True,pass_exact_property_native_rows_only,11,11,https://www.rentwwp.com/arlington-vaapartments/wildwood-park/conventional/ | https://www.rentwwp.com/arlington-vaapartments/wildwood-park/floorplans/1x1-modernized-1152758/fp_name/occupancy_type/conventional/,4410006 | 4410199 | 4410227,artifact_backed_no_paid_canary
38107,Fountain Place,https://www.livefountainplaceapts.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,8,True,pass_property_list_membership_and_site_boundary,8,8,https://www.livefountainplaceapts.com/rts/collections/public/1b4904d2/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=0&query=()&language=ENGLISH,4b0339fb-749f-4823-b602-d83fcf8b2adf | b1142b86-5367-4df4-9b1c-4bf0fe737455 | 17ecb0ef-8843-4669-834c-d6fddc8c7f12,artifact_backed_no_paid_canary
46576,Campus Pointe,https://www.proresidential.com/oklahoma-properties/campus-pointe-,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,13,True,pass_property_list_membership_and_site_boundary,13,13,https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=0&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=1&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=2&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=3&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=4&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=5&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=6&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=7&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=8&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=9&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=10&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=11&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=12&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=13&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=14&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=15&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=16&query=()&language=ENGLISH | https://www.proresidential.com/rts/collections/public/08205cf0/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=17&query=()&language=ENGLISH,829f1518-9442-4e0a-8497-d0502e8672bb | ee321e0c-b097-4afe-aa3f-5d81093cb0a3 | ee3eb59e-7764-4951-8587-aa6325fa6a08,artifact_backed_no_paid_canary
55709,Vista Pointe Apartments,https://ridgepointeblueridgeapts.com/en/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,7,True,pass_exact_property_native_rows_only,7,7,https://ares.betternoi.com/api/pub/v1/client/building/unit?client_uuid=54523ff9-0329-43dd-83b4-3066820f136e&is_available=true | https://livevistapointeapts.com/en/floor-plans,8c211d96-4829-4cc5-9da6-6c13f07d29ea | b8c46980-e738-4ef5-a702-e204f065f15d | 02b41d07-a90a-4e9c-84aa-630645619662,artifact_backed_no_paid_canary
60145,Woodmont Mews,https://www.woodmontmewsapartments.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,10,True,pass_exact_property_native_rows_only,10,10,https://www.woodmontmewsapartments.com/ | https://woodmontmewsapartments.securecafe.com/onlineleasing/woodmont-mews/availableunits.aspx?myOlePropertyId=144461&floorPlans=969192 | https://woodmontmewsapartments.securecafe.com/onlineleasing/woodmont-mews/availableunits.aspx?myOlePropertyId=144461&floorPlans=969190 | https://woodmontmewsapartments.securecafe.com/onlineleasing/woodmont-mews/availableunits.aspx?myOlePropertyId=144461&floorPlans=969191 | https://woodmontmewsapartments.securecafe.com/onlineleasing/woodmont-mews/availableunits.aspx?myOlePropertyId=144461&floorPlans=969194,1355415 | 1355404 | 1355324,artifact_backed_no_paid_canary
70255,Coventry Square,https://coventrysquareapartments.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,8,True,pass_exact_property_native_rows_only,8,8,https://clients.spherexx.com/kamson_availability/availability.asp?id=noegpbnd | https://coventrysquareapartments.com/floor-plans/,522319 | 549100 | 555620,artifact_backed_no_paid_canary
78597,Sentral Union Station,https://www.sentral.com/denver/union-station,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,51,True,pass_exact_property_native_rows_only,51,51,https://sentral.com/denver/union-station | https://sentral.securecafe.com/onlineleasing/union-station/availableunits.aspx?myOlePropertyId=1707719 | https://cdn.contentful.com/spaces/ech69gzmnnzr/environments/master/entries/entrataPropertyId-731641,39303746 | 39303786 | 39303434,artifact_backed_no_paid_canary
258661,Banyan on Washington,https://banyanonwashington.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,7,True,pass_exact_property_native_rows_only,7,7,https://api.union.build/api/v1/chat/settings/?property_id=400 | https://banyanonwashington.com/,9686529 | 9686585 | 9686663,artifact_backed_no_paid_canary
260505,Onyx Uptown PHX,https://broadstoneuptownphx.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,15,True,pass_exact_property_native_rows_only,15,15,https://www.onyxuptownphx.com/api/v3/floorplans/all/?api_key=815a9f44797f4889a7669070c4f50a7a762cb7bb | https://www.onyxuptownphx.com/floorplans/,1694133 | 1693993 | 1694109,artifact_backed_no_paid_canary
263498,The Julington,https://risejulington.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,27,True,pass_exact_property_native_rows_only,27,27,https://thejulington.com/floorplans/ | https://thejulington.com/floorplans/the-palm/ | https://thejulington.com/floorplans/the-willow/ | https://thejulington.com/floorplans/the-clover/ | https://thejulington.com/floorplans/the-oaks/ | https://thejulington.com/floorplans/the-iris/ | https://thejulington.com/floorplans/the-poplar-b/ | https://thejulington.com/floorplans/the-sage/ | https://thejulington.com/floorplans/the-savannah/ | https://thejulington.com/floorplans/the-birch/ | https://thejulington.com/floorplans/the-poplar-a/ | https://thejulington.com/floorplans/the-grove/ | https://thejulington.com/floorplans/the-elm/,6524066 | 6524218 | 6524079,artifact_backed_no_paid_canary
282381,Mission Ranch,https://www.missionmanagementlindale.com/,appfolio_generic_current_native_strict,/private/tmp/propai-fnd-vBkmT9/appfolio_generic_lane/evidence_appfolio_generic_current_strict_consolidated.json,10,True,pass_property_list_membership_and_site_boundary,10,10,https://www.missionmanagementlindale.com/rts/collections/public/0854c71d/runtime/collection/appfolio-listings/query-data?pageSize=100&pageNumber=0&query=()&language=ENGLISH,501d3938-dce7-4938-b43b-55bed06c2dd2 | 1125c000-756c-4c99-afb0-10ba022520cd | 3b9898d9-15b5-4873-8983-c0bfebc1192b,artifact_backed_no_paid_canary
