result_type,historical_run_date,denominator_scope,category,property_id,property_name,configured_address,configured_city,configured_state,website,july_rows,july_unit_rows,july_plan_rows,july_capture_date_rows,july_blank_date_rows,july_other_date_rows,july_extraction_tiers,selected_for_current_live_probe
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,4079,The View at Waters Edge,6175 Reflections Blvd,Lantana,FL,https://www.aspensquare.com/apartments/florida/lantana/the-view-at-waters-edge?utm_source=google&utm_medium=referral,31,31,0,31,0,0,TIER_1_KNOCK_API,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,6526,Southwood Acres,342 Southwick Rd,Westfield,MA,https://www.aspensquare.com/apartments/massachusetts/westfield/southwood-acres,15,15,0,15,0,0,TIER_1_API,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,14907,Boca Winds,530 NE 47th St,Boca Raton,FL,https://www.aspensquare.com/apartments/florida/boca-raton/boca-winds?utm_source=google&utm_medium=referral,6,6,0,6,0,0,TIER_1_KNOCK_API,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,14934,Country Manor,59 S Westfield St,Feeding Hills,MA,https://www.aspensquare.com/apartments/massachusetts/feeding-hills/country-manor,3,3,0,3,0,0,TIER_1_KNOCK_API,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,16186,Edgewood Court,649 Prospect St,Chicopee,MA,https://www.aspensquare.com/apartments/massachusetts/chicopee/edgewood-court,2,2,0,0,2,0,TIER_1_API,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,24049,River Bluff of Lexington,300 Palmetto Park Blvd,Lexington,SC,https://www.aspensquare.com/apartments/south-carolina/lexington/river-bluff-of-lexington?utm_source=google&utm_medium=referral,17,17,0,17,0,0,TIER_1_KNOCK_API,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,47710,Adley at 72nd,1214 Applewood Dr,Papillion,NE,https://www.aspensquare.com/apartments/nebraska/papillion/adley-at-72nd?utm_knock=g,7,7,0,7,0,0,TIER_1_KNOCK_API,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ASPENSQUARE_OPERATOR,48514,The Avenue,300 Chapel Ridge Dr,Cabot,AR,https://www.aspensquare.com/apartments/arkansas/cabot/the-avenue,8,8,0,8,0,0,TIER_1_KNOCK_API,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,5252,Shenandoah Ridge,4079 River Watch Pkwy,Martinez,GA,http://www.shenandoahridge.com/,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,5967,Bryan Hill,7204 NW 36th St,Bethany,OK,https://www.bryanhillapartments.com/,3,3,0,3,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,7525,Hunter's Run,5358 Woodruff Farm Rd,Columbus,GA,https://huntersrun.woodruffway.com/,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,12618,Retreat at Peachtree City,1600 Barberry Ln,Peachtree City,GA,http://www.retreatatptc.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,20169,Rivoli Run,200 Charter Ln,Macon,GA,https://www.rivolirunapartments.com/?switch_cls[id]=100991,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,30747,Timber Hollow,201 Parkland Hills Dr,Fairfield,OH,https://www.timberhollowapts.net/,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,37756,Civic Center West,4740 US-51,Southaven,MS,http://www.civiccenterapts.com/,5,5,0,5,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,44157,Quality Hill,1003 Broadway Blvd,Kansas City,MO,http://www.liveatqualityhill.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,46566,College Manor,1216 SW 2nd Ave,Gainesville,FL,www.collegemanor.org,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,49769,Grey Parc Apartments,800 Walker Ave,Rossville,GA,https://www.greyparcofrossville.com/,6,6,0,6,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,62790,Cottonwood Lighthouse Point,4411 N Federal Hwy,Pompano Beach,FL,https://www.cottonwoodlighthousepointapts.com/,6,6,0,6,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,63940,Riverhouse,1200 Brookwood Dr,Little Rock,AR,http://www.riverhouselittlerock.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,67722,North End Vignette,1551 N Water St,Milwaukee,WI,https://thenorthendapartments.com/,15,15,0,15,0,0,TIER_1_API_ENTRATA,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,74119,The Grove,13944 Sandy Hill Loop,Tampa,FL,https://www.mygroveapartments.com/,3,3,0,3,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,78679,Piney Ridge,946-A Marimich Ct,Eldersburg,MD,http://www.pineyridgeapts.com/,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,236587,Williamsburg Manor,1248 Donaldson Dr,Cary,NC,http://www.williamsburgmanorcary.com/,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,239250,Sweetwater,21300 Cotton Creek Dr,Gulf Shores,AL,www.sweetwaterapts.net,4,4,0,4,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,240789,Sawgrass Point,2163 S Veterans Blvd,Gonzales,LA,https://www.sawgrasspoint.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,244349,Albany Landing,416 Hay Dr SW,Decatur,AL,http://albanylandingapts.com/,6,6,0,6,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,246760,Canal 1535,1535 Canal St,New Orleans,LA,http://livecanal1535.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,252534,The Mark at Fishers District,11547 Yard St,Fishers,IN,https://www.themarkatfishersdistrict.com/the-mark-at-fishers-district-fishers-in/,9,9,0,9,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,255881,City Garden Apartments,357 27th St,Ogden,UT,https://www.liveatcitygarden.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,257301,SoNa Lofts,6675 W National Ave,West Allis,WI,https://sonalofts.prospectportal.com/,15,15,0,15,0,0,TIER_1_API_ENTRATA,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,280797,Aspire,6611 Seahurst Dr,Canal Winchester,OH,https://www.aspireapthomes.com/,3,3,0,3,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,293343,Norden Range,1455 Pabst Rd,Oconomowoc,WI,https://nordenrange.com/,15,15,0,15,0,0,TIER_1_API_ENTRATA,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ENTRATA_API,303963,Allure at Edinburgh,249 Allure Ln,Chesapeake,VA,https://www.allurechesapeake.com/,8,8,0,8,0,0,TIER_1_API_ENTRATA,false
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,7886,Azure Place,3896 Chippewa Rd,Memphis,TN,https://www.azureplaceapts.com/,12,12,0,12,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,15079,The Left Bank at River Oaks,5353 Memorial Dr,Houston,TX,http://www.leftbankriveroaks.com/,9,9,0,9,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,25395,Beach Colony,2821 Camino Del Mar,Del Mar,CA,http://www.beachcolonyapts.com/,4,4,0,4,0,0,TIER_1_API_ONESITE,true
historical_2026_07_31_separate_denominator,2026-07-31,separate_no_rp_oracle_573_rows_78_properties,ONESITE_API,76982,The Pointe at Texarkana,2700 Woodland Rd,Texarkana,AR,http://www.pointetexarkana.com/,6,6,0,6,0,0,TIER_1_API_ONESITE,true
