"shard","property_id","proj_name","address","city","state","zip_code","website","verdict_reason","adapter","detected_pms","winning_tier","fetch_outcome","fetch_status","fetch_body_bytes"
0,"231355","Murphy Varnish Lofts","225-239 McWhorter St","Newark","NJ","07105","https://murphyvarnishlofts.com/","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,263542
0,"67598",,,,,,"http://www.loftsatlittlecreek.com/","no extract result",,,,,,
1,"228341","The Commons at Cowan Boulevard","2352 Cowan Blvd","Fredericksburg","VA","22401","http://commonsatcowanboulevard.com/","no records extracted","encoreskyline_template","encoreskyline_template","ENCORESKYLINE_NO_PLAN_LINKS","OK",,126247
2,"257761","The Emory","1345 14th St","Plano","TX","75074","https://www.theemoryplano.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,153408
3,"299847","Mirabella","4224 N McColl Rd","McAllen","TX","78504","https://www.mirabellamcallen.com/","no records extracted","generic","generic_plan_text","GENERIC_VALIDITY_REJECTED","OK",,218073
3,"69912","Creekwood","22294 City Center Dr","Hayward","CA","94541","http://www.creekwoodapartmenthomes.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,156862
4,"37798","Covington Place","1247 Covington Manor Ln","St Louis","MO","63125","http://www.covingtonplace.com/","no records extracted","resman","resman","TIER_1_API_RESMAN_NO_PORTAL","OK",,69993
5,"223248","Royal Oaks","701 Royal Oaks Ct","Monmouth Junction","NJ","08852","http://www.metroplexapts.com","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,1494048
5,"291774","Gallatin Village","20190 Murphy Rd","Bend","OR","97702","https://www.123taylor.com/gallatin-village","no records extracted","onesite","onesite","TIER_1_API_ONESITE_NO_RESPONSE","OK",,213627
5,"60125","Cumberland Links","130 Cumberland Way","Pataskala","OH","43062","https://www.cumberlandlinksapts.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,145484
7,"29970","Delane Glen","1315 Delane Ave","Charlotte","NC","28211","https://www.lernerapartments.com/Delane-Glen-Apartments","no records extracted","generic","generic_plan_text","TIER_1_API","OK",,93300
8,"71345","Westgate Village Townhouses","680 Pinckney Ct","Comstock Park","MI","49321","https://www.westgate-village-townhouses.com/","no records extracted","wix_nopms","wix_nopms","SYNDICATION_ONLY_WIX","OK",,458610
10,"251597",,,,,,"https://www.wyndhamridgecolumbus.com/","no extract result",,,,,,
11,"36530","The Point at Monroe Place","2300 Woodland Crossing Dr","Herndon","VA","20171","https://www.thepointatmonroeplace.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_EMPTY","OK",,167185
12,"18389","Westgate Village","333 Lancaster Ave","Malvern","PA","19355","https://www.fmgnj.com/apartments/pa/malvern/westgate-village/","no records extracted","g5","g5","TIER_1_API_G5_API_ERROR","OK",,352154
12,"71534",,,,,,"https://www.wimmercommunities.com/apartments/menomonee-falls/riverwalk-on-the-falls/","no extract result",,,,,,
13,"42371",,,,,,"http://meetinghouseapartments.com/","no extract result",,,,,,
16,"254973","Oakwood Hills","2451 Oakwood Hills Dr","Mechanicsburg","PA","17055","https://www.oakwoodhillsapts.com/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,147578
19,"247179","Lerner Parc at Gatlin Commons","1900 SW Aledo Ln","Port St Lucie","FL","34953","https://livelerner.com/lerner-parc-at-gatlin-commons/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_SHAPE_REJECTED","OK",,34006
20,"289338","201 Walnut","201 Walnut Ave","Cranford","NJ","07016","https://www.201walnut.com/","no records extracted","rentcafe","rentcafe","TIER_1_API_RENTCAFE_NO_RESPONSE","OK",,163869
21,"246962","Portola Bridge Creek","9211 NE 15th Ave","Vancouver","WA","98665","http://www.bridgecreekapthomes.com/","no records extracted","generic","unknown","TIER_1_API","OK",,25196
21,"25489","Cortland North Dallas","17811 Vail St","Dallas","TX","75287","https://cortland.com/apartments/cortland-north-dallas/","no records extracted","entrata","entrata","TIER_1_API_ENTRATA_NO_RESPONSE","OK",,145385
22,"35347","717 Olympic","717 W Olympic Blvd","Los Angeles","CA","90015","https://www.717olympic.com/","no records extracted","generic_plan_text","generic_plan_text","TIER_1_DOM_GENERIC_PLAN_TEXT","OK",,11846
