"apartmentid","name","address","city","state","zip","website"
"231355","Murphy Varnish Lofts","225-239 McWhorter St","Newark","NJ","07105","https://murphyvarnishlofts.com/"
"67598",,,,,,"http://www.loftsatlittlecreek.com/"
"228341","The Commons at Cowan Boulevard","2352 Cowan Blvd","Fredericksburg","VA","22401","http://commonsatcowanboulevard.com/"
"257761","The Emory","1345 14th St","Plano","TX","75074","https://www.theemoryplano.com/"
"299847","Mirabella","4224 N McColl Rd","McAllen","TX","78504","https://www.mirabellamcallen.com/"
"69912","Creekwood","22294 City Center Dr","Hayward","CA","94541","http://www.creekwoodapartmenthomes.com/"
"37798","Covington Place","1247 Covington Manor Ln","St Louis","MO","63125","http://www.covingtonplace.com/"
"223248","Royal Oaks","701 Royal Oaks Ct","Monmouth Junction","NJ","08852","http://www.metroplexapts.com"
"291774","Gallatin Village","20190 Murphy Rd","Bend","OR","97702","https://www.123taylor.com/gallatin-village"
"60125","Cumberland Links","130 Cumberland Way","Pataskala","OH","43062","https://www.cumberlandlinksapts.com/"
"29970","Delane Glen","1315 Delane Ave","Charlotte","NC","28211","https://www.lernerapartments.com/Delane-Glen-Apartments"
"71345","Westgate Village Townhouses","680 Pinckney Ct","Comstock Park","MI","49321","https://www.westgate-village-townhouses.com/"
"251597",,,,,,"https://www.wyndhamridgecolumbus.com/"
"36530","The Point at Monroe Place","2300 Woodland Crossing Dr","Herndon","VA","20171","https://www.thepointatmonroeplace.com/"
"18389","Westgate Village","333 Lancaster Ave","Malvern","PA","19355","https://www.fmgnj.com/apartments/pa/malvern/westgate-village/"
"71534",,,,,,"https://www.wimmercommunities.com/apartments/menomonee-falls/riverwalk-on-the-falls/"
"42371",,,,,,"http://meetinghouseapartments.com/"
"254973","Oakwood Hills","2451 Oakwood Hills Dr","Mechanicsburg","PA","17055","https://www.oakwoodhillsapts.com/"
"247179","Lerner Parc at Gatlin Commons","1900 SW Aledo Ln","Port St Lucie","FL","34953","https://livelerner.com/lerner-parc-at-gatlin-commons/"
"289338","201 Walnut","201 Walnut Ave","Cranford","NJ","07016","https://www.201walnut.com/"
"246962","Portola Bridge Creek","9211 NE 15th Ave","Vancouver","WA","98665","http://www.bridgecreekapthomes.com/"
"25489","Cortland North Dallas","17811 Vail St","Dallas","TX","75287","https://cortland.com/apartments/cortland-north-dallas/"
"35347","717 Olympic","717 W Olympic Blvd","Los Angeles","CA","90015","https://www.717olympic.com/"
"61979","Villa Milano","13740 Howe Ln","Leawood","KS","66224","https://www.villamilano.us/"
"247119","Riverside Place","2800 NE Green Oaks Blvd","Grand Prairie","TX","75050","https://www.riversidegp.com/"
"218786",,,,,,"https://www.landcoapartments.com/coopers-landing-apartments/"
"40733","Country Club","8400 Country Club Way","Knoxville","TN","37923","https://www.smdproperty.com/resident-properties/country-club-apartments/"
"218378","The Terraces Apartments","1330 Bush St","San Francisco","CA","94109","http://www.equityapartments.com/california/san-francisco-bay-apartments/lower-nob-hill/the-terraces-apartments.aspx"
"32793",,,,,,"https://www.reserveatevanston.com"
"22552",,,,,,"https://www.lavinaapts.com/"
"232583","Custer Crossing Apartments","1763 Carroll St","Dickinson","ND","58601","https://princetonmanagement.com/communities/custer-crossing-apartments/"
"234945","IMT Belasera at Superior","17720 Superior St","Northridge","CA","91325","https://www.imtresidential.com/imtbelaseraatsuperior/"
"52541",,,,,,"https://princetonmanagement.com/communities/woodbridge-manor-apartments/"
"53567","Trafalgar Square Apartments","33210 Trafalgar Square","Westland","MI","48186","https://princetonmanagement.com/communities/trafalgar-square-apartments/"
"60145","Woodmont Mews","1345 Martin Ct","Bethlehem","PA","18018","https://www.woodmontmewsapartments.com/"
"22962","Fox Lane","45600 Fox Ln W","Shelby Township","MI","48317","https://princetonmanagement.com/communities/fox-lane-apartments/"
"52182","Woodside Village Apartments","21821 Woodruff Rd","Rockwood","MI","48173","http://www.woodsideapartments.net"
"240193","Sepulveda Manhattan Apartments","8031 Sepulveda Blvd","Panorama City","CA","91402","http://www.manhattansepulveda.com/"
"258661",,,,,,"https://banyanonwashington.com/"
"34785",,,,,,"http://adaraportal.yottareal.com/pages/HomePage.aspx?Id=55"
"15358","Mountain View","13135 Heacock St","Moreno Valley","CA","92553","http://www.mountainviewapartmenthomes.com/"
"295542","Enclave Crystal Lake","111 E Crystal Lake Ave","Crystal Lake","IL","60014","https://www.liveenclavecrystallake.com/"
"301417","Marlowe Live Oak","5476 Angel Way St","St. Cloud","FL","34771","https://www.marloweliveoak.com/"
"230598","The Ridge","17940 Garden Ln","Hagerstown","MD","21740","https://www.theridgehagerstown.com/"
"24139",,,,,,"https://prometheusapartments.com/ca/santa-clara-apartments/boardwalk/"
"273828",,,,,,"https://www.pointegrandsouthlake.com/"
"32996","TGM Ridge","10901 Wild Ginger Cir","Manassas","VA","20109","https://tgmridge.com/"
"46915","Barberton","605 Barberton Dr","Virginia Beach","VA","23451","https://www.barbertonapt.com/"
"234385","Townhomes at Spring Valley","2149 B Elder St","Reading","PA","19604","http://www.mmgapts.com/spring-valley.htm"
"53932","Misty Hollow","2826 Misty Ln","Bossier City","LA","71111","http://www.landmarkrealty.org/misty-hollow/"
"63191","Avenir on Fifteenth","42 S 15th St","Philadelphia","PA","19102","http://avenirphilly.com/"
"16509",,,,,,"http://brooklawngardensapts.com/property/brooklawn/"
"39995",,,,,,"https://www.southpointehanahan.com/"
"78593","Estes Park","306 Estes Dr Ext","Carrboro","NC","27510","http://www.gscapts.com/apartments/Carrboro_NC/zip_27510/gsc/4510"
"12398",,,,,,"https://www.courtneyparkapthomes.com/"
"1765","Annaberg","2905 Arrowhead Dr","Augusta","GA","30909","https://www.augustarentalhomes.net/_system/listings/56/2905-Arrowhead-Drive---D3-Augusta-GA-30909-US"
"3788",,,,,,"http://www.citadelvillageco.com/"
"540",,,,,,"https://www.hgliving.com/apartments/fl/jacksonville/bridgepoint/#/"
