property_id,property_name,website,source_adapter_0731,current_detected_adapter,evidence_lane,recovery_level,recovered_native_or_plan_row_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,rp_oracle_rows_with_availability_date,quality_caveat
540,,https://www.hgliving.com/apartments/fl/jacksonville/bridgepoint/#/,,knock,other_current_code_e2e_or_archived_replay,unknown,,1,1,1,UI/blank plan names; property-scoped numeric data retained
567,Ridgewood,http://www.ridgewoodgabyelon.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,7,2,7,
2198,Lincoln Green,www.lincolngreenapartments.com,rentmanager,rentmanager,page_local_archived_replay,unknown,,7,7,7,
2948,Crystal Woods of Alexandria,www.crystalwoodsapts.com,encoreskyline_template,realpage_oll,onesite_direct_e2e,unknown,,14,6,14,
3169,Avana Court,https://www.avanacourt.com/,entrata,entrata,entrata_exact_property_e2e,unknown,,60,8,60,
3912,Stratford Village,https://www.stratfordvillageapartments.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,11,9,3,9,
4124,,https://tramor.com/property/tramor-cannon-place/,,unknown,other_current_code_e2e_or_archived_replay,unknown,,3,3,3,UI/blank plan names; property-scoped numeric data retained
4554,,https://www.parkatcanyonridge.com/,,onesite,onesite_direct_e2e,unknown,,14,3,14,
6477,Harbour Pointe,http://www.gscapts.com/apartments/Bradenton_FL/zip_34210/gsc/15388,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,10,12,3,12,
6701,Park on Riley,https://www.theparkonriley.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,0,0,0,
7980,Tesota Morningside,https://www.tesotamorningside.com/,entrata,entrata,entrata_exact_property_e2e,unknown,,11,5,11,
9128,Kingswood,https://www.kingswoodenton.com/,resman,resman,page_local_archived_replay,unknown,,2,2,2,
11543,Westwind Apartments,http://www.leasewestwindapartments.com/,entrata,entrata,entrata_exact_property_e2e,plan,8,9,8,9,
12398,,https://www.courtneyparkapthomes.com/,,onesite,onesite_direct_e2e,unknown,,14,6,14,
12989,,https://www.thegrandatwestchase.com/,,apts247,other_current_code_e2e_or_archived_replay,unknown,,41,10,41,
14295,Timber Ridge Apartment Homes,www.myboulderapartment.com,onesite,onesite,onesite_direct_e2e,unknown,,8,8,8,
15358,Mountain View,http://www.mountainviewapartmenthomes.com/,onesite,onesite,onesite_direct_e2e,unknown,,4,4,4,
16172,,http://www.townecrest.com/,,realpage_oll,onesite_direct_e2e,unknown,,4,4,4,
17586,Natick Park,https://www.natickpark.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,0,0,0,
18194,Parke Place Townhomes,https://www.forestproperties.net/property/availabilities/parke-place-village,realpage_oll,realpage_oll,onesite_direct_e2e,unknown,,7,1,7,
18379,,https://www.lindyproperty.com/property/bromley-house/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,0,0,0,
18736,Central Park,www.centralparkmontgomery.com,onesite,onesite,onesite_direct_e2e,unknown,,16,6,16,
20262,Kings Mill,https://www.pedcorliving.com/apartments/kings-mill-apartment-homes,generic,generic_plan_text,generic_direct_e2e,plan,3,3,3,3,
22934,Westwood Village Galleria,https://westwoodvillagegalleria.bhprop.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,10,3,10,
27125,Tudor Place,https://www.tudorplaceapts.com/,rentcafe,rentcafe_layout_tab,page_local_archived_replay,unknown,,15,1,15,
27349,,https://www.countryvillageapthomes.com/,,unknown,page_local_archived_replay,unknown,,11,11,11,
27594,Midland Falls,https://www.midlandfallsapartments.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,37,11,37,
32134,Crowders View Townhomes,https://crowdersviewtownhomes.com/,rentmanager,rentmanager,page_local_archived_replay,unknown,,3,3,3,
32793,,https://www.reserveatevanston.com,,marketapts,other_current_code_e2e_or_archived_replay,unknown,,10,6,10,
34303,Duke Manor,http://www.gscapts.com/apartments/Durham_NC/zip_27705/gsc/4506,encoreskyline_template,encoreskyline_template,jonah_gsc_or_rentpress_e2e,unit,155,13,4,13,
35590,Stonepost Ranch,https://www.stonepostranchapts.com,rentcafe,knock,rentcafe_direct_e2e,unit,,24,8,24,
35683,Parkcrest at the Lakes,www.parkcrestatthelakesapts.com,entrata,entrata,entrata_exact_property_e2e,plan,3,15,3,15,
38314,Coppermill,https://www.coppermillaptsbytonti.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,2,1,2,
38345,,http://www.monarchatdosvientos.com/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,11,5,11,
38378,Park Northside,https://www.parknorthsiderva.com/,rentmanager,rentmanager,page_local_archived_replay,unknown,,7,3,7,
38797,Peppertree Village Apartments,www.peppertreevillageapartments.com,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,5,1,5,
39995,,https://www.southpointehanahan.com/,,onesite,onesite_direct_e2e,unknown,,2,2,2,
40743,Met Spires,https://www.metspires.com/,rentcafe,repli360,rentcafe_direct_e2e,unit,,13,11,13,
41175,Fusion Encore Hollywood,https://www.fusionencore.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,18,8,18,
42371,,http://meetinghouseapartments.com/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,9,9,9,
43520,Park at Blanding,http://www.parkatblanding.com/,realpage_oll,onesite,onesite_direct_e2e,unknown,,9,9,9,
44513,Tranquility Pointe,https://www.tranquilitypointeapts.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,6,3,6,
45755,The Landings,https://www.pedcorliving.com/apartments/the-landings,generic,generic_plan_text,generic_direct_e2e,plan,2,2,2,2,
47750,,https://www.theridgeatchestnuthillapts.com/,,entrata,other_current_code_e2e_or_archived_replay,unknown,,12,6,12,
49921,Legacy At Abbington Place,https://www.pedcorliving.com/apartments/legacy-at-abbington-place,generic,generic_plan_text,generic_direct_e2e,plan,4,4,3,4,
50172,,https://www.countrysideest.com,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,4,3,4,
55729,Cherry Court,https://www.keystonemanagement.com/apartments/nc/cherry-court-apartments,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,6,2,6,
56182,,https://www.liveatacornacres.com/,,rentvision,other_current_code_e2e_or_archived_replay,unknown,,12,8,12,
58939,,http://www.thelandingsatbrookscity-base.com/,,rentcafe,other_current_code_e2e_or_archived_replay,unknown,,33,8,33,
59649,,https://801polaris.com/,,encoreskyline_template,other_current_code_e2e_or_archived_replay,unknown,,28,10,28,
60125,Cumberland Links,https://www.cumberlandlinksapts.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,2,1,2,
64545,The Lofts at White Furniture,https://www.whitefurniturelofts.com/,entrata,entrata,entrata_exact_property_e2e,unknown,,54,51,54,
64673,River's Edge Apartments,http://riversedgeknox.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,10,3,10,
67598,,http://www.loftsatlittlecreek.com/,,rentvision,other_current_code_e2e_or_archived_replay,unknown,,0,0,0,
67684,,http://twolightkc.com/,,entrata,other_current_code_e2e_or_archived_replay,plan,2,33,8,33,exact embedded floorPlans script; plan-level
67697,Central Island Square,https://www.cr-centralislandsquareapts.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,18,9,18,
68691,The District at Rosemary,https://www.thedistrictatrosemary.com/,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,23,10,23,
68952,,https://www.livewyeast.com/,,entrata,other_current_code_e2e_or_archived_replay,unknown,,10,6,10,
69378,Redwood Akron,https://www.byredwood.com/apartments/oh/akron/redwood-akron/index.aspx,rentcafe,rentcafe,rentcafe_direct_e2e,unit,,2,2,2,
