property_id,property_name,website,source_adapter_0731,current_detected_adapter,exact_entrata_anchor,securecafe_base_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,disposition
228341,The Commons at Cowan Boulevard,http://commonsatcowanboulevard.com/,encoreskyline_template,encoreskyline_template,,0,7,5,residual_unconverted
257761,The Emory,https://www.theemoryplano.com/,entrata,entrata,https://www.theemoryplano.com/plano/the-emory/conventional/,0,270,33,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
299847,Mirabella,https://www.mirabellamcallen.com/,generic,generic_plan_text,,0,5,5,direct_or_archived_lane_exhausted_no_strict_win
69912,Creekwood,http://www.creekwoodapartmenthomes.com/,entrata,entrata,https://www.creekwoodapartmenthomes.com/hayward/creekwood/conventional/,0,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
37798,Covington Place,http://www.covingtonplace.com/,resman,resman,,0,4,4,residual_unconverted
223248,Royal Oaks,http://www.metroplexapts.com,rentcafe,rentcafe,,0,0,0,residual_unconverted
29970,Delane Glen,https://www.lernerapartments.com/Delane-Glen-Apartments,generic,generic_plan_text,,0,3,3,direct_or_archived_lane_exhausted_no_strict_win
71345,Westgate Village Townhouses,https://www.westgate-village-townhouses.com/,wix_nopms,wix_nopms,,0,1,1,direct_or_archived_lane_exhausted_no_strict_win
251597,,https://www.wyndhamridgecolumbus.com/,,unknown,,0,6,2,residual_unconverted
36530,The Point at Monroe Place,https://www.thepointatmonroeplace.com/,entrata,entrata,,0,10,9,residual_unconverted
18389,Westgate Village,https://www.fmgnj.com/apartments/pa/malvern/westgate-village/,g5,g5,,0,6,3,residual_unconverted
71534,,https://www.wimmercommunities.com/apartments/menomonee-falls/riverwalk-on-the-falls/,,rentcafe,,0,6,6,residual_unconverted
254973,Oakwood Hills,https://www.oakwoodhillsapts.com/,entrata,unknown,,0,3,3,residual_unconverted
247179,Lerner Parc at Gatlin Commons,https://livelerner.com/lerner-parc-at-gatlin-commons/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
289338,201 Walnut,https://www.201walnut.com/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
246962,Portola Bridge Creek,http://www.bridgecreekapthomes.com/,generic,unknown,,0,13,9,residual_unconverted
25489,Cortland North Dallas,https://cortland.com/apartments/cortland-north-dallas/,entrata,cortland,,0,0,0,residual_unconverted
35347,717 Olympic,https://www.717olympic.com/,generic_plan_text,generic_plan_text,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
61979,Villa Milano,https://www.villamilano.us/,rentcafe,rentcafe,,1,12,8,securecafe_exact_base_direct_blocked_or_pending_hb
