property_id,property_name,website,evidence_lane,artifact,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation
540,Bridgepoint I,https://www.hgliving.com/apartments/fl/jacksonville/bridgepoint/#/,knock_dynamic_dni_current_source_e2e,/private/tmp/propai-fnd-vBkmT9/encore_knock_lane/knock_agent/evidence_knock_residual6_current_strict.json,1,True,pass_exact_property_native_ids_positive_rents_single_provider_property,1,1,https://doorway-api.knockrentals.com/v1/property/2011814/units,807,artifact_backed_no_paid_canary
567,Ridgewood,http://www.ridgewoodgabyelon.com/,strict99_false_positive_revalidate,/private/tmp/propai-fnd-vBkmT9/evidence_strict99_false_positive50_consolidated.json,7,True,pass_property_scoped_native_identity,7,7,https://ridgewoodgabyelon.securecafe.com/onlineleasing/ridgewood-2/availableunits.aspx,01402 | 01303,artifact_backed_no_paid_canary
1375,Lakewood,http://www.lakewood-apartments.net/,entrata_residual_current_strict,/private/tmp/propai-fnd-vBkmT9/entrata_residual_lane/evidence_entrata_residual_current_strict_consolidated.json,19,True,pass_exact_property_native_ids_positive_rents_no_sibling_contamination,19,19,https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/a1c-28418-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/a2c-28414-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b1c-28407-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b1d-28406-1/ | https://www.lakewood-apartments.net/floorplans/tomball-TX/lakewood-apartments/b2c-28409-1/,1915 | 1916 | 1608 | 1113 | 1205,artifact_backed_no_paid_canary
1765,Annaberg,www.augustarentalhomes.net,annaberg_nesthub_current_configured_e2e,/private/tmp/propai-fnd-vBkmT9/annaberg_nesthub_lane/evidence_annaberg_1765_nesthub_implementation_e2e.json,1,True,pass_exact_same_host_nesthub_community_filter_roster_detail_three_repeats_two_negative_controls,1,1,https://www.augustarentalhomes.net/_system/listings/602/2905-Arrowhead-Drive---E7-Augusta-GA-30909-US,E7,artifact_backed_no_paid_canary
2239,TGM Autumn Woods,http://www.tgmautumnwoods.com,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,50,True,pass_exact_property_native_identity_positive_rent_no_contamination,50,50,https://tgm.mriprospectconnect.com/Search/Index/288034?minbeds=1&maxbeds=2,946:WM1A | 028:WM1A | 052:WM1A | 028:WM3B | 408:WW3A,artifact_backed_no_paid_canary
2282,City View,https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view,vendor_tail_strict,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,18,True,pass_exact_same_host_property_api_no_sibling_roster,18,18,https://www.essexapartmenthomes.com/api/properties/492967/availability?start_date=2026-08-01&end_date=2026-09-30&format=spa,484 | 238,artifact_backed_no_paid_canary
2844,TGM Danada,www.tgmdanada.com,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,40,True,pass_exact_property_native_identity_positive_rent_no_contamination,40,40,https://tgm.mriprospectconnect.com/Search/Index/360002?minbeds=1&maxbeds=3,095:208 | 066:201 | 007:107 | 012:201 | 015:102,artifact_backed_no_paid_canary
2948,Crystal Woods of Alexandria,https://www.crystalwoodsapts.com,onesite_ollr_current_source_full_pipeline,/private/tmp/propai-fnd-vBkmT9/realpage_onesite_residual_lane/evidence_ollr_detector_current_source_full_pipeline9.json,12,True,pass_exact_configured_property_same_origin_published_ollr_sole_site_id_full_pipeline,12,12,https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/4845783/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=<redacted>,57 | 69 | 82 | 59 | 105,artifact_backed_no_paid_canary
3169,Avana Court,https://www.avanacourt.com/,avana_sightmap_current_source_e2e,/private/tmp/propai-fnd-vBkmT9/realpage_onesite_residual_lane/evidence_avana_sightmap_current_e2e.json,58,True,pass_exact_configured_same_origin_sightmap_current_e2e,58,58,https://www.avanacourt.com/ | https://www.avanacourt.com/duluth/avana-court/conventional/ | https://sightmap.com/embed/rxwjj3lyw1e | https://sightmap.com/app/api/v1/gow3zq4zp2m/sightmaps/75290,1010N | 1010E | 1010H | 1010I | 1020D,artifact_backed_no_paid_canary
3912,Stratford Village,https://www.stratfordvillageapartments.com/,strict99_rentcafe,/private/tmp/propai-fnd-vBkmT9/evidence_unit_rentcafe31_tight.json,8,True,pass_property_scoped_native_identity,8,,https://www.stratfordvillageapartments.com/floorplans/london | https://www.stratfordvillageapartments.com/floorplans/nottingham | https://www.stratfordvillageapartments.com/floorplans/oxford,1948 | 1815,artifact_backed_no_paid_canary
