property_id,property_name,website,source_adapter_0731,current_detected_adapter,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,prior_disposition
594,Harbinwood,www.harbinwoodbyelon.com,rentcafe,rentcafe,4,4,securecafe_exact_base_direct_blocked_or_pending_hb
1617,,https://www.crossingatriverlake.com,,unknown,6,3,residual_unconverted
2198,Lincoln Green,www.lincolngreenapartments.com,rentmanager,rentmanager,7,7,strict99_false_positive_reintroduced
3788,,http://www.citadelvillageco.com/,,appfolio,0,0,direct_or_archived_lane_exhausted_no_strict_win
4124,,https://tramor.com/property/tramor-cannon-place/,,unknown,3,3,strict99_false_positive_reintroduced
5782,Springfield,https://www.springfieldrenton.com/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
8740,,https://livebh.com/apartments/parc-plaza-apartments/,,sightmap,19,5,residual_unconverted
8789,,https://livebh.com/apartments/flintridge-apartment-homes/?utm_source=vanity&utm_medium=redirect&utm_campaign=flintridge-apartment-homes&original_referrer=flintridgeapartments.com,,funnel,5,5,residual_unconverted
9128,Kingswood,https://www.kingswoodenton.com/,resman,resman,2,2,strict99_false_positive_reintroduced
14295,Timber Ridge Apartment Homes,www.myboulderapartment.com,onesite,onesite,8,8,strict99_false_positive_reintroduced
16509,,http://brooklawngardensapts.com/property/brooklawn/,,unknown,0,0,residual_unconverted
17186,The Park at Tivoli,https://www.theparkattivoli.com/,rentcafe,rentcafe,0,0,residual_unconverted
17674,Hollywood Terrace,http://hpgmanagement.com/property/6550yucca/,rentcafe,rentcafe,4,4,residual_unconverted
20262,Kings Mill,https://www.pedcorliving.com/apartments/kings-mill-apartment-homes,generic,generic_plan_text,3,3,strict99_false_positive_reintroduced
22382,4418 Spruce Street,https://www.livecampusapts.com/property/4418-spruce-street/?search-parameters=1&start_date=0&end_date=9999999999&price_min=0&price_max=10000,entrata,entrata,0,0,residual_unconverted
22962,Fox Lane,https://princetonmanagement.com/communities/fox-lane-apartments/,generic,unknown,3,3,residual_unconverted
22986,Tuscany Hills,http://www.tuscanyhillsapartments.com/,entrata,entrata,18,8,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
23494,Indian Village,https://indianvillageapt.wixsite.com/home/apartments,wix_nopms,wix_nopms,2,2,direct_or_archived_lane_exhausted_no_strict_win
24337,Colonial House,https://residential.eprodesse.com/colonial-house-apartments/index.aspx,rentcafe,rentcafe,0,0,residual_unconverted
24982,Fisher Building,https://www.cityclubapartments.com/usa/chicago-il/downtown/fisher-building-city-club/?lvcode=890940,generic,unknown,6,4,residual_unconverted
25443,Lee Square,http://www.leesquareapartments.com/,appfolio,appfolio,0,0,direct_or_archived_lane_exhausted_no_strict_win
25489,Cortland North Dallas,https://cortland.com/apartments/cortland-north-dallas/,entrata,cortland,0,0,residual_unconverted
27080,Easton North,http://www.oxfordrealtygroup.com/properties/new-jersey/easton-north/,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
29970,Delane Glen,https://www.lernerapartments.com/Delane-Glen-Apartments,generic,generic_plan_text,3,3,direct_or_archived_lane_exhausted_no_strict_win
32097,Clemmons Trace Village,http://www.clemmonstracevillage.com/,resman,resman,0,0,residual_unconverted
32134,Crowders View Townhomes,https://crowdersviewtownhomes.com/,rentmanager,rentmanager,3,3,strict99_false_positive_reintroduced
32978,Camden Vineyards,https://www.camdenliving.com/apartments/murrieta-ca/camden-vineyards,camden,unknown,0,0,residual_unconverted
33993,City Club Apartments MDA,https://www.cityclubapartments.com/,generic,unknown,0,0,residual_unconverted
34708,Camden Main & Jamboree,https://www.camdenliving.com/apartments/irvine-ca/camden-main-and-jamboree,camden,unknown,0,0,residual_unconverted
