property_id,property_name,website,evidence_lane,artifact,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation
2239,TGM Autumn Woods,http://www.tgmautumnwoods.com,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,50,True,pass_exact_property_no_sibling_contamination,50,50,https://tgm.mriprospectconnect.com/Search/Index/288034?minbeds=1&maxbeds=2,946:WM1A | 028:WM1A | 052:WM1A,artifact_backed_browser_or_live_provider_no_paid_canary
2844,TGM Danada,www.tgmdanada.com,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,40,True,pass_exact_property_no_sibling_contamination,40,40,https://tgm.mriprospectconnect.com/Search/Index/360002?minbeds=1&maxbeds=3,095:208 | 066:201 | 007:107,artifact_backed_browser_or_live_provider_no_paid_canary
4330,Invitational Apartments,https://www.invitationalapartments.com/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,10,True,pass_exact_property_no_sibling_contamination,10,10,https://www.invitationalapartments.com/floorplans/1-bedroom/coral/ | https://www.invitationalapartments.com/floorplans/2-bedroom/pearl/,001-0212 | 001-2221 | 001-1124,artifact_backed_browser_or_live_provider_no_paid_canary
24139,Boardwalk,https://prometheusapartments.com/ca/santa-clara-apartments/boardwalk/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,14,True,pass_exact_property_no_sibling_contamination,14,14,https://prometheusapartments.com/ca/santa-clara-apartments/boardwalk/,0409 | 1109 | 0407,artifact_backed_browser_or_live_provider_no_paid_canary
32996,TGM Ridge,https://tgmridge.com/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,34,True,pass_exact_property_no_sibling_contamination,34,34,https://tgm.mriprospectconnect.com/Search/Index/241007?minbeds=1&maxbeds=2,41Y:101 | 20M:201 | 41Y:301,artifact_backed_browser_or_live_provider_no_paid_canary
51143,Lauderdale Hollows,https://mgmmgmt.net/property-details/?pid=136,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,3,True,pass_exact_property_no_sibling_contamination,3,3,https://mgmmgmt.net/property-details/?pid=136 | https://mgmmgmt.net/unit-details/?uid=7792 | https://mgmmgmt.net/unit-details/?uid=7828 | https://mgmmgmt.net/unit-details/?uid=7874,7792 | 7828 | 7874,artifact_backed_browser_or_live_provider_no_paid_canary
61285,Allez Apartments,http://www.allezliving.com/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,3,True,pass_exact_property_no_sibling_contamination,3,3,https://www.allezliving.com/floorplans/a-1 | https://www.allezliving.com/floorplans/a-7 | https://www.allezliving.com/floorplans/s-1,10904407 | 10904350 | 10904400,artifact_backed_browser_or_live_provider_no_paid_canary
75912,TGM Creekside Village,www.tgmcreeksidevillage.com,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,23,True,pass_exact_property_no_sibling_contamination,23,23,https://tgm.mriprospectconnect.com/Search/Index/294005?minbeds=1&maxbeds=3,309:2I | 309:3D | 305:4H,artifact_backed_browser_or_live_provider_no_paid_canary
251597,Wyndham Ridge,https://www.wyndhamridgecolumbus.com/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,23,True,pass_exact_property_no_sibling_contamination,23,23,https://www.wyndhamridgecolumbus.com/floorplans/meadow/ | https://www.wyndhamridgecolumbus.com/floorplans/orchard/,5400 | 5467 | 5551,artifact_backed_browser_or_live_provider_no_paid_canary
269346,Ashford Apartment Homes,https://rjamesproperties.com/ashford-brook/,unknown49_exact_provider_live,/private/tmp/propai-fnd-vBkmT9/evidence_unknown49_strict.json,3,True,pass_exact_property_no_sibling_contamination,3,3,https://rentpro.rpa5.com/availibility/avapage.a5w?cd=AB,0307 | 0707 | 0801,artifact_backed_browser_or_live_provider_no_paid_canary
