property_id,property_name,website,evidence_lane,artifact,units,property_identity_match,contamination_verdict,native_identity_rows,native_positive_rent_rows,source_urls,sample_native_unit_ids,local_validation
2282,City View,https://www.essexapartmenthomes.com/california/san-francisco-bay-area-apartments/hayward-apartments/city-view,exact_same_host_essex_property_api,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,18,True,pass_exact_same_host_property_api_no_sibling_roster,18,18,https://www.essexapartmenthomes.com/api/properties/492967/availability?start_date=2026-08-01&end_date=2026-09-30&format=spa,484 | 238,artifact_backed_no_paid_canary
6274,The Village at Voorhees,https://www.fmgnj.com/apartments/nj/voorhees/the-village-apartments/,exact_g5_page_embedded_realpage_oll,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,32,True,pass_exact_property_boundary_no_sibling_contamination,32,32,https://www.fmgnj.com/apartments/nj/voorhees/the-village-apartments/floor-plans-apply | https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/1043860/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=d4c71288-bab3-4987-84e1-d9865f206e06,575 | 40 | 183 | 12 | 243,artifact_backed_no_paid_canary
8119,St. Andrews of Palm Aire,https://www.scullycompany.com/apartments/florida/broward-county/pompano-beach/st-andrews-palm-aire/,exact_entrata_detail_pages_one_hyperbrowser_session,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,7,True,pass_exact_property_id_on_every_native_unit_row_no_sibling_inventory,7,7,https://standrews.scullycompany.com/Apartments/module/property_floorplans/property%5Bid%5D/100002888/,2716 | 2623 | 2660 | 2625 | 2576,artifact_backed_no_paid_canary
11089,Village Green of Bear Creek,http://www.villagegreenofbearcreekapts.com/home/,exact_resman_availability_portal,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,20,True,pass_exact_property_boundary_no_sibling_contamination,20,20,https://livenjoy.myresman.com/Portal/Applicants/Availability?a=1588&p=844aaf4f-ea66-4db0-9289-f5297ce3b3de,1232 | 1517 | 1401 | 1508 | 0608,artifact_backed_no_paid_canary
12586,Avondale at Warner Center,https://www.essexapartmenthomes.com/apartments/woodland-hills/avondale-at-warner-center,exact_same_host_essex_property_api,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,18,True,pass_exact_same_host_property_api_no_sibling_roster,18,18,https://www.essexapartmenthomes.com/api/properties/514264/availability?start_date=2026-08-01&end_date=2026-09-30&format=spa,B204 | E118,artifact_backed_no_paid_canary
17984,Alessio,https://www.essexapartmenthomes.com/apartments/los-angeles/alessio,exact_same_host_essex_property_api,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,21,True,pass_exact_same_host_property_api_no_sibling_roster,21,21,https://www.essexapartmenthomes.com/api/properties/510882/availability?start_date=2026-08-01&end_date=2026-09-30&format=spa,2104 | 5102,artifact_backed_no_paid_canary
18389,Westgate Village,https://www.fmgnj.com/apartments/pa/malvern/westgate-village/,exact_g5_page_embedded_realpage_oll,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,6,True,pass_exact_property_boundary_no_sibling_contamination,6,6,https://www.fmgnj.com/apartments/pa/malvern/westgate-village/floor-plans | https://leasing.realpage.com/RP.Leasing.AppService.WebHost/workflowstartup/v1/1046799/English?BpmId=OLL.WorkflowStartUp&BpmSequence=0&LogSequence=3&ClientSessionID=f6d24788-5a4a-5253-aa69-6450ebaff17f,93 | 16 | 44 | 108 | 31,artifact_backed_no_paid_canary
37798,Covington Place,http://www.covingtonplace.com/,exact_resman_availability_portal,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,12,True,pass_exact_property_boundary_no_sibling_contamination,12,12,https://stewart.myresman.com/Portal/Applicants/Availability?a=1041&p=68f5dd84-230b-4dad-9a2e-9d18dfaccdc2,121802 | 127102 | 365507 | 120108 | 125108,artifact_backed_no_paid_canary
72766,Fox Ridge,https://www.liveatfoxridge.com/?utm_source=GBP&utm_medium=organic&utm_knock=gbp,repli360_exact_property_to_sightmap_submap,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,17,True,pass_after_exact_submap_selection_sibling_lakeview_explicitly_excluded,17,17,https://www.liveatfoxridge.com/ | https://sightmap.com/embed/8epm5y46w6d | https://sightmap.com/app/api/v1/yjp248qrvxl/sightmaps/108287,209 | 211 | 311 | 313 | 302,artifact_backed_no_paid_canary
218177,Mill & Main,www.millandmain.com,archived_exact_rentpress_payload,/private/tmp/propai-fnd-vBkmT9/evidence_vendor_tail30_strict.json,10,True,pass_exact_property_boundary_no_sibling_contamination,10,10,https://millandmain.com/apartments/mill-main/,703 | 506 | 609 | 715 | 716,artifact_backed_no_paid_canary
