apartmentid,name,address,city,state,zip,website
218586,Cedar Ridge,4945 Mack Rd,Sacramento,CA,95823,https://cedarridgeapts.rentaladdress.com/
7931,Lamonte Park,3737 Watonga Blvd,Houston,TX,77092,https://www.lamonteparktownhomes.com/
16982,Pleasant View Gardens,258 Carlton Ave,Piscataway,NJ,8854,http://www.pleasantviewgardensnj.com/
16196,Village Square Apartments,12011 Veirs Mill Rd,Wheaton,MD,20906,http://www.villagesquarewheaton.com/Home/Index/36189
285770,The Rise Living Community,2100 W Iris Dr SE,Conyers,GA,30013,https://www.riselivingapts.com/
251190,The Carlaw,1020 R St,Sacramento,CA,95811,https://liveatthecarlaw.com/
3106,Woodhollow,4502 Lake Shore Dr,Waco,TX,76710,http://www.woodhollowwaco.com/
74364,Wilmington Pointe,933 Wilmington Ave,Dayton,OH,45420,www.wilmingtonpointe.com
43551,Willow Trail,1700 Mindanao Dr,Jacksonville,FL,32246,https://www.willowtrailjax.com/contact-us/
77782,Atlantico at Miramar,12121 SW 43rd St,Miramar,FL,33025,http://www.atlanticomiramarfl.com/miramar-fl-apartments.asp
5859,Cypress Winds,6904 Manatee Ave W,Bradenton,FL,34209,https://gscapts.com/apartments/florida/cypress-winds-apartment-homes/?y_source=1_MTUyOTEzMTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
239121,Enclave,1005 W Stassney Ln,Austin,TX,78745,http://www.theenclaveaustin.com/
64955,Dry Creek Ranch,13861 Raceway Dr,Northlake,TX,76262,http://www.liveatdrycreekranch.com/
60939,Greenarch,10 N Greenwood Ave,Tulsa,OK,74120,http://www.greenarchtulsa.com/
274954,Hurston,50 Lago Mar Way,Jacksonville,FL,32258,https://www.hurstonjacksonville.com/
78179,PROSPER Azalea City,1503 E Park Ave,Valdosta,GA,31602,https://www.prosperazaleacity.com/
34523,Constellation Ranch,500 W Loop 820 S,Fort Worth,TX,76108,https://www.constellationranchtx.com/
44163,Wycliff West,10515 Mastin St,Overland Park,KS,66212,https://www.rentwycliffwest.com/
244705,Devine District,2712 Lee St,Columbia,SC,29205,https://devinedistrict.com/
16579,Zura Bay,111 73rd Ave N,St Petersburg,FL,33702,https://www.zurabay.com/
60926,170 Amsterdam,170 Amsterdam Ave,New York,NY,10023,https://www.equityapartments.com/new-york-city/upper-west-side/170-amsterdam-apartments
13942,Iron Horse Flats,1930 W Rundberg Ln,Austin,TX,78758,https://ironhorseflats.com/
42981,Alexander Pointe,2121 Burwick Ave,Orange Park,FL,32073,https://www.livealexanderpointefl.com/
32794,The Majestic,1155 Museum Blvd,Vernon Hills,IL,60061,https://majesticvernonhills.com/
234940,1010 On the Rhine,1010 Walnut St,Cincinnati,OH,45202,http://1010ontherhine.com
118780,The Lofts Hillside at Little Creek I,1315 Creekshire Way,Winston-Salem,NC,27103,https://www.loftsatlittlecreek.com/
34909,Polo Downs,1135 London Cir Ln,Fenton,MO,63026,http://www.polodowns.com/
26278,The Park at Morella,4300 Flat Shoals Rd,Union City,GA,30291,www.theparkatmorella.com
18684,Le Mirage,9777 N Thornydale Rd,Tucson,AZ,85742,https://lemirageapts.managebuilding.com/Resident/public/home
281911,Laurel Glen,1401 E 24th St,Lawrence,KS,66046,https://www.liveatlaurelglen.com/
4709,1020 at Winter Springs,1020 Chatham Pines,Winter Springs,FL,32708,https://www.1020atwinterspringsfl.com/
77558,Arrivé Seattle,2116 4th Ave,Seattle,WA,98121,http://arriveseattle.com/
12967,Luxor Gardens,1201 Heeney Ave,Johnstown,PA,15904,https://www.luxorgardens.com/
247491,Astoria at Celebration,1688 Celebration Blvd,Celebration,FL,34747,https://www.liveastoriaatcelebration.com/
57142,Metro 303,303 Main St,Hempstead,NY,11550,https://www.metro303.com/
1721,Hidden Valley Club,600 Hidden Valley Club Dr,Ann Arbor,MI,48104,https://www.hvca2.com/
27360,Aspen Court,1641 N Kadota Ave,Casa Grande,AZ,85122,www.aspencourtapartmenthomes.com
