apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
98	Bent Oak Apartments	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_DOM	7	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.dbcliving.com/apartment/bent-oak-apartments/
446	Cottages @ Sanford	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	4	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.cottagesatsanford.com/
994	Magnolia Ridge	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	4	0	NEEDS_RENDER	0	0	0	false	render_endpoint_discovery	https://www.liveatmagnoliaridgeapartments.com/
1259	Ashton Parc	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	4	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.ashtonparc.com/
1589	The Hills at North Mesa	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	3	0	NEEDS_RENDER	1	0	0	true	entrata_hb_audited_no_win	http://www.thehillsatnorthmesa.com/
2382	Quincy Ridge	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	9	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://quincyridgeapts.com/
3902	Pelham Apartments	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_PLAN_LEVEL	11	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://pelhamgreenville.com/home
4785	Autumn Creek Apartments	entrata	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	http://www.autumncreekapts.com
4868	Oakstone	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	10	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.sylispm.com/oakstone-apartment-homes/
7837	Cedar Shores	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	6	0	NEEDS_RENDER	1	4	0	true	entrata_hb_audited_no_win	http://www.cedarshoresapts.com/
8079	Aspen Lakes	entrata	SUCCESS_PLAN_LEVEL	TIER_3_DOM	15	0	UNCERTAIN	0	0	0	true	entrata_hb_audited_no_win	https://www.ampresidential.com/aspen-lakes-grand-rapids-mi/contact?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=website_link
8923	Chisholm Trail Townhomes	<blank>	SUCCESS_PLAN_LEVEL		2	0	<none>	0	0	0	false	uncertain_residual	https://npmainc.com/listing/chisholm-trail-townhomes/
12967	Luxor Gardens	apts247	SUCCESS_PLAN_LEVEL	TIER_MERGED_CROSS_PAGE	0	0	<none>	0	0	0	false	apts247_plan_ids_no_physical_roster	https://www.luxorgardens.com/
12991	Preserve at Westchase	apts247	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.thepreserveatwestchase.com/
13189	Briar Glen Village	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	10	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.onmarkliving.com/briar-glen-village/
13341	Heritage Ridge Apartments	equity	SUCCESS_PLAN_LEVEL	TIER_3_DOM	5	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.equityapartments.com/washington/seattle-apartments/lynnwood/heritage-ridge-apartments.aspx
13379	Verde Apartments	equity	SUCCESS_PLAN_LEVEL	TIER_3_DOM	1	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.equityapartments.com/california/san-francisco-bay-apartments/san-jose/verde-apartments.aspx
14198	The Heights by Marston Lake	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_API	6	0	CONFIRMED_NO_DATA	0	0	0	false	confirmed_no_data	https://heightsbymarstonlakeapts.com/
14325	The Berkley	apts247	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.theberkleyatx.com/
14522	The Charles at Bexley	rentmanager	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	5	0	NEEDS_RENDER	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://www.thecharlesatbexley.com/
14943	Estates at Eagle's Pointe	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	12	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://eaglepointestates.com/#floor-plans
14956	Mill Creek	apts247	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.millcreektx.com/
15776	LaSalle Park	rentmanager	FAILED_NO_DATA	TIER_1_API_RENTMANAGER	0	0	EXTRACTION_MISS	0	0	0	false	rentmanager_residual_after_endpoint_sweep	https://jalexrentals.com/property-detail/?propID=61&rmwebsvc_id=61&rmwebsvc_command=PropertyDetail.aspx&rmwebsvc_corpid=jalex&rmwebsvc_location=1&rmwebsvc_mode=javaScript&rmwebsvc_AvailabilityDate=11/18/2019&rmwebsvc_template=default
