property_id,property_name,website,address,city,state,source_adapter_0731,current_detected_adapter,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,prior_disposition,current_status,current_final_url,current_body_bytes,current_body_sha256,current_name_match,current_address_match,current_error
594,Harbinwood,https://www.harbinwoodbyelon.com,1295 Harbins Rd NW,Norcross,GA,rentcafe,rentcafe,4,4,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.harbinwoodbyelon.com/,52887,4763a5ae9eb942fb7280f67a7682f888625f00a15a579ec2e7da3c3ff8ee919e,True,False,
5782,Springfield,https://www.springfieldrenton.com/,10815 SE 184th Ln,Renton,WA,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.springfieldrenton.com/,214639,4c42e578f36eaf24f20bc113e67b4720a9930c96324604041bdce994ebc5d95f,True,True,
17186,The Park at Tivoli,https://www.theparkattivoli.com/,12903 Sugar Ridge Blvd,Stafford,TX,rentcafe,rentcafe,0,0,residual_unconverted,404,https://www.theparkattivoli.com/,128422,452c28f1fcdabf71aa5ac670c302ddc273f15bf8133902b2b6f478c16ac9e97e,True,False,
17674,Hollywood Terrace,http://hpgmanagement.com/property/6550yucca/,6550 Yucca St,Los Angeles,CA,rentcafe,rentcafe,4,4,residual_unconverted,200,http://hpgmanagement.com/property/6550yucca/,28391,327a6af9a3639757c04fef9cd7a70c75d5f8cd3c44a9eb5cec903bbd2e6f85fa,True,True,
24337,Colonial House,https://residential.eprodesse.com/colonial-house-apartments/index.aspx,1560 San Tomas Aquino Rd,San Jose,CA,rentcafe,rentcafe,0,0,residual_unconverted,200,https://residential.eprodesse.com/colonial-house-apartments/index.aspx,108619,b1a91a10864e57fd68d32cb17681f125feab058e93bd113cb66709653c390381,True,True,
27080,Easton North,http://www.oxfordrealtygroup.com/properties/new-jersey/easton-north/,1126 J Easton Ave,Somerset,NJ,rentcafe,rentcafe,0,0,securecafe_exact_base_direct_blocked_or_pending_hb,200,https://www.oxfordrealtygroup.com/communities/easton-north/,63404,ae5881cfa92292106324f37288db8f272cc4985bb0d73d498b84a6920aaa831d,True,False,
29566,Heatherwood I,https://heatherwoodfl.com/,1105 N Hoagland Blvd,Kissimmee,FL,,rentcafe,0,0,residual_unconverted,200,https://heatherwoodfl.com/,425927,ec9c9b67f9304c85cedb2e6f6656daa77befce0d9e222927db13768ec7f40cd2,True,True,
39710,Ashton Judiciary Square,http://www.ashtonjs.com/,750 3rd St NW,Washington,DC,rentcafe,rentcafe,5,3,residual_unconverted,200,https://www.greystar.com/ashton-at-judiciary-square-luxury-apartments-washington-dc/p_13572,304760,9659af529df0d9484105a076da2212f2a251ab96f4fe657b286427ac4c705c21,True,True,
46915,Barberton,https://www.barbertonapt.com/,605 Barberton Dr,Virginia Beach,VA,rentcafe,rentcafe,3,3,residual_unconverted,200,https://www.barbertonapt.com/,100736,61cf9fadfca264fc8ee11f4f2f61993f7221d071eaf4785031be729856e8373a,True,True,
58390,30 Lancaster,https://live30lancaster.com/,30 Lancaster Ave,Wynnewood,PA,,rentcafe,14,7,residual_unconverted,200,https://www.live30lancaster.com/,172876,c138e577fe11a4e65e21cdf8139578d8df681fc5fa6edaeb8a09702f707710ad,True,True,
58546,Lake Park Estates,https://wright-weber.com/property/LakePark,1265 Pershing Rd,De Pere,WI,rentcafe,rentcafe,1,1,residual_unconverted,200,https://wright-weber.com/property/lake-park-estates/,102692,5b4a37c52dc24b58e8ba55070ef69ee788a1a66176b6e668e68c5d73249ad288,True,False,
