stratum,population_count,sample_count,population_share,sample_share
UNATTRIBUTED,186,25,0.03733440,0.02500000
amli,11,11,0.00220795,0.01100000
appfolio,250,34,0.05018065,0.03400000
apts247,144,22,0.02890405,0.02200000
aspensquare,8,8,0.00160578,0.00800000
avalonbay,28,7,0.00562023,0.00700000
betternoi_public,1,1,0.00020072,0.00100000
camden,16,16,0.00321156,0.01600000
cortland,22,7,0.00441590,0.00700000
edificecms,5,5,0.00100361,0.00500000
encoreskyline_template,63,15,0.01264552,0.01500000
entrata,429,59,0.08611000,0.05900000
equity,26,23,0.00521879,0.02300000
essex,27,27,0.00541951,0.02700000
fortresstech,10,10,0.00200723,0.01000000
funnel,88,16,0.01766359,0.01600000
g5,76,14,0.01525492,0.01400000
generic,243,49,0.04877559,0.04900000
generic_plan_text,101,30,0.02027298,0.03000000
imt_spaces,1,1,0.00020072,0.00100000
irvine,13,13,0.00260939,0.01300000
knock,439,68,0.08811722,0.06800000
maac,31,9,0.00622240,0.00900000
marketapts,29,29,0.00582096,0.02900000
mri_prospectconnect,9,4,0.00180650,0.00400000
nesthub_public,1,1,0.00020072,0.00100000
onesite,169,23,0.03392212,0.02300000
onsite_apply,49,42,0.00983541,0.04200000
realpage_cws,36,7,0.00722601,0.00700000
realpage_oll,112,22,0.02248093,0.02200000
rentaladdress,1,1,0.00020072,0.00100000
rentcafe,1842,251,0.36973103,0.25100000
rentcafe_layout_tab,12,12,0.00240867,0.01200000
rentmanager,39,8,0.00782818,0.00800000
rentvision,38,7,0.00762746,0.00700000
repli360,59,14,0.01184263,0.01400000
residentservices365,10,9,0.00200723,0.00900000
resman,78,15,0.01565636,0.01500000
showmojo_public,1,1,0.00020072,0.00100000
sightmap,221,42,0.04435969,0.04200000
spherexx,22,6,0.00441590,0.00600000
squarespace_nopms,6,6,0.00120434,0.00600000
static_residence_table,1,1,0.00020072,0.00100000
thinkreside,2,2,0.00040145,0.00200000
venterra,3,3,0.00060217,0.00300000
wix_floor_plans,3,3,0.00060217,0.00300000
wix_nopms,18,18,0.00361301,0.01800000
yotta,3,3,0.00060217,0.00300000
