Source,Destination,Start,End,Md5,Source Size,Bytes Transferred,Result,Description
gs://jugnu-canary/profiles/strict-v2-fa1afb7/12190.json,gs://jugnu-canary/profiles/strat1000-ff7b377/12190.json,2026-08-02T23:20:56.410240Z,2026-08-02T23:20:56.410434Z,97ps2qlJjsBoKX/5HvkhGw==,3737,3737,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/12350.json,gs://jugnu-canary/profiles/strat1000-ff7b377/12350.json,2026-08-02T23:20:56.416692Z,2026-08-02T23:20:56.416803Z,3K0v9EbgMs2aEYtsmF42Jw==,4043,4043,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/11130.json,gs://jugnu-canary/profiles/strat1000-ff7b377/11130.json,2026-08-02T23:20:56.417416Z,2026-08-02T23:20:56.417611Z,dk7Rk3c3h/FLpV7UxAjmTA==,2975,2975,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/1310.json,gs://jugnu-canary/profiles/strat1000-ff7b377/1310.json,2026-08-02T23:20:56.418506Z,2026-08-02T23:20:56.418540Z,g2ooB1IELIcGfCNlP2R2pQ==,3247,3247,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/11805.json,gs://jugnu-canary/profiles/strat1000-ff7b377/11805.json,2026-08-02T23:20:56.419638Z,2026-08-02T23:20:56.419731Z,dAtMFRG2YuGMhKI2m7E0XA==,3006,3006,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/12557.json,gs://jugnu-canary/profiles/strat1000-ff7b377/12557.json,2026-08-02T23:20:56.419417Z,2026-08-02T23:20:56.419623Z,B9dvSFsnd9aH8iWBzGCJjQ==,4051,4051,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/12260.json,gs://jugnu-canary/profiles/strat1000-ff7b377/12260.json,2026-08-02T23:20:56.420152Z,2026-08-02T23:20:56.420241Z,WRIvYbvn16YhpAgmCAgvHw==,3009,3009,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/1060.json,gs://jugnu-canary/profiles/strat1000-ff7b377/1060.json,2026-08-02T23:20:56.423852Z,2026-08-02T23:20:56.423914Z,JNdhTXzT05mCm6ioJN2UPQ==,3026,3026,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/10343.json,gs://jugnu-canary/profiles/strat1000-ff7b377/10343.json,2026-08-02T23:20:56.424509Z,2026-08-02T23:20:56.424572Z,uwjn4ahQ7wXuqxqAs3G/KA==,4042,4042,OK,
gs://jugnu-canary/profiles/strict-v2-fa1afb7/10629.json,gs://jugnu-canary/profiles/strat1000-ff7b377/10629.json,2026-08-02T23:20:56.424866Z,2026-08-02T23:20:56.425032Z,yg6eCwwFleYF/salGSKgAg==,3678,3678,OK,
