apartmentid,name,address,city,state,zip,website
57761,Bell Knox District,3030 Hester Ave,Dallas,TX,75205,https://www.bellknoxdistrict.com/?utm_source=google+local&utm_medium=organic&utm_campaign=website+link
17362,Congressional Towers,261 Congressional Ln,Rockville,MD,20852,https://www.congressionaltowers.net
46986,Mountain Ridge Manor,820 Monroe Blvd,Ogden,UT,84404,http://www.mountainridgemanor.com
74592,Crosswynde Apartments,1502 Marsh Cove Ct,Tampa,FL,33619,http://www.crosswyndeapts.com/
281751,The Franklin Marlboro,2 Jayden Rd,Marlboro,NJ,7746,https://www.thefranklinmarlboro.com/
12190,Eaves North Dallas,4141 Horizon N Pkwy,Dallas,TX,75287,https://www.wimberlyapthome.com/
68956,266 Lofts,266 S Front St,Memphis,TN,38103,https://www.266lofts.com/
53164,Arbor Pointe Townhomes,420 Arbor Pointe Dr,Battle Creek,MI,49037,www.arborpointe-townhomes.com
64938,Lake Vue,7119 Sand Lake Reserve Dr,Orlando,FL,32819,http://www.lakevueorlando.com/
27950,Marquis Parkside,12820 N Lamar Blvd,Austin,TX,78753,https://www.marquisparkside.com/?utm_medium=organic&utm_source=google&utm_campaign=gbp-website-button
6194,MAA Rocky Point,3101 N Rocky Point Dr E,Tampa,FL,33607,https://www.maac.com/florida/tampa/maa-rocky-point/
267118,The Spoke at McCullough Station,8340 N Tryon St,Charlotte,NC,28262,https://www.thespokemcs.com/
35717,Bridges on Kinsey,4411 Kinsey Dr,Tyler,TX,75703,www.livebridgesonkinsey.com
29154,Cardinal Hill,420 River Rd,Chatham,NJ,7928,https://jcmliving.com/apartment-rentals/nj/chatham/cardinal-hill/
52105,The District,10015 Madison Square Pl,Charlotte,NC,28216,http://www.alapts.com/apartments/nc/charlotte/the-district/
1060,Bolton Estates,5400 Lindbergh Blvd,Columbus,OH,43228,www.boltonestatesapts.com
236598,Vault Apartments,120 Towne St,Stamford,CT,6902,https://www.vaultapts.com/
48177,The Metropolitan,2612 Whitehall Terrace,Louisville,KY,40220,https://venterraliving.com/apartments/the-metropolitan/
97778,Brookview at Navarre Sound,7381 Navarre Pkwy,Navarre,FL,32566,https://www.brookviewatnavarresound.com/
12927,Wyvernwood Garden,2901 E Olympic Blvd,Los Angeles,CA,90023,http://www.wyvernwoodla.com
78693,Cortland Peachtree Corners,510 Guthridge Ct NW,Peachtree Corners,GA,30092,https://cortland.com/apartments/cortland-peachtree-corners/
239369,Easton,714 Due W Ave N,Madison,TN,37115,https://eastonapartmentstn.com/
22383,Curren Terrace,1011 New Hope St,Norristown,PA,19401,https://www.morgan-properties.com/apartments/pa/norristown/curren-terrace/
74523,Charter Club,1040 Windward Dr,London,OH,43140,http://www.charterclubapts.com/
37143,Village of Cross Creek,7536 Hillcrest Dr,Florence,KY,41042,www.villageofcrosscreek.com
34661,San Paloma,1255 Eldridge Pkwy,Houston,TX,77077,www.sanpaloma-houston.com
19713,Elmhurst Terrace,100 Fellows Ct,Elmhurst,IL,60126,https://www.elmhurstterrace.com/
65562,Lantower Waverly,6101 Ardrey Kell Rd,Charlotte,NC,28277,https://www.lantower.com/properties/nc/charlotte/lantower-waverly/
232480,Vintage at 425 Broadway,1455 4th St,Santa Monica,CA,90401,https://www.equityapartments.com/los-angeles/santa-monica/vintage-at-425-broadway-apartments
56903,The Landmark,550 Washington St,Braintree,MA,2184,https://www.fxmessina.com/the-landmark?rq=The%20Landmark
245903,Green Leaf Jasper,5325 N Interstate Ave,Portland,OR,97217,https://www.greenleafjasper.com/
282696,Allen Ranch Estates,1893 SW Hungry Hill Dr,Grants Pass,OR,97527,https://www.ishranchestates.com/allen-ranch
94940,The Liberty Lofts,400 S Culberson,Gainesville,TX,76240,https://www.thelibertyapts.com/
243746,Ventana Hills,1350 Ventana Dr,Coraopolis,PA,15108,https://www.ventanahillsliving.com/
