apartmentid,name,address,city,state,zip,website,prior_adapter,prior_property_type,prior_winning_tier,prior_detected_pms,prior_unit_count,prior_plan_count,selection_layers,finding_ids,finding_adapters,route_coverage_adapters,selection_sha256
57761,Bell Knox District,3030 Hester Ave,Dallas,TX,75205,https://www.bellknoxdistrict.com/?utm_source=google+local&utm_medium=organic&utm_campaign=website+link,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_SECURECAFE,rentcafe,19,0,proportional_adapter_type_fill,,,,22fea4952a5a55827276b8b091d334b334411d1e443e14b1e5a95a78600b4599
17362,Congressional Towers,261 Congressional Ln,Rockville,MD,20852,https://www.congressionaltowers.net,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_SECURECAFE,rentcafe,20,0,proportional_adapter_type_fill,,,,024e94fbee45d62bdbdb7b75f8c6515485ef56a704fc2667b4c386b3ba131e36
46986,Mountain Ridge Manor,820 Monroe Blvd,Ogden,UT,84404,http://www.mountainridgemanor.com,marketapts,SUCCESS,TIER_1_DOM_MARKETAPTS_D_UNIT_LEVEL,marketapts,3,0,finding_evidence_census,40,marketapts,,1f15caef262dd0ef2c91da6ce87408b26d508d0d03a392512a92d3ee033aa132
74592,Crosswynde Apartments,1502 Marsh Cove Ct,Tampa,FL,33619,http://www.crosswyndeapts.com/,sightmap,SUCCESS,TIER_1_API_SIGHTMAP_DIRECT,,24,0,proportional_adapter_type_fill,,,,a586ac4ea4f5861d558f9c9c46d88cd9fb0240e5b0d3304c704e84aba9e4c044
281751,The Franklin Marlboro,2 Jayden Rd,Marlboro,NJ,7746,https://www.thefranklinmarlboro.com/,rentcafe_layout_tab,SUCCESS,TIER_1_DOM_RENTCAFE_LT,rentcafe,2,11,finding_evidence_census,42,rentcafe_layout_tab,,c91ce9f59c44d2670b7da91a9de3260981b2bc9105d058dbd3f4ba587d90c28a
12190,Eaves North Dallas,4141 Horizon N Pkwy,Dallas,TX,75287,https://www.wimberlyapthome.com/,avalonbay,SUCCESS,TIER_1_API_AVALONBAY,avalonbay,20,0,proportional_adapter_type_fill,,,,928653f991f09cd3005a77e5c3246c8f67abf9d6de29f23ecb20a7618282775a
68956,266 Lofts,266 S Front St,Memphis,TN,38103,https://www.266lofts.com/,g5,FAILED_NO_DATA,TIER_1_API_G5_API_ERROR,g5,0,0,observed_adapter_type_stratum,,,,0beceed07a1f92e1f4319e96cf59e3a76549f3ee8156ad0febc942b87f4fbd64
53164,Arbor Pointe Townhomes,420 Arbor Pointe Dr,Battle Creek,MI,49037,www.arborpointe-townhomes.com,rentcafe,SUCCESS,TIER_1_DOM_RENTCAFE_NESTIN,rentcafe,6,0,proportional_adapter_type_fill,,,,53506004de70fc27dc77872655982e3c1fc0cfd0ad5c73578ed9dbf1dafbe7b5
64938,Lake Vue,7119 Sand Lake Reserve Dr,Orlando,FL,32819,http://www.lakevueorlando.com/,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_SECURECAFE,rentcafe,18,0,proportional_adapter_type_fill,,,,49722e61a15b81f8b394a2b5b5d13d9de144e849576a512c8bc41cabb9b9dd34
27950,Marquis Parkside,12820 N Lamar Blvd,Austin,TX,78753,https://www.marquisparkside.com/?utm_medium=organic&utm_source=google&utm_campaign=gbp-website-button,repli360,SUCCESS,TIER_1_API_REPLI360,repli360,50,0,proportional_adapter_type_fill,,,,3c424f04727117f297354927208edc13f478e644a9d58c688f5f334266255739
6194,MAA Rocky Point,3101 N Rocky Point Dr E,Tampa,FL,33607,https://www.maac.com/florida/tampa/maa-rocky-point/,maac,SUCCESS,TIER_1_API_MAAC,maac,79,0,finding_evidence_census,28,maac,,b3b06eb95dc38f8ade492d384aa0f836ed65ebc31ccc3c63f39b3eba7862ad2d
267118,The Spoke at McCullough Station,8340 N Tryon St,Charlotte,NC,28262,https://www.thespokemcs.com/,apts247,SUCCESS,TIER_1_API_APTS247,knock,31,0,proportional_adapter_type_fill,,,,598ca3f9db12049ca4794118a18ab8fb26bb2fa0afdf6c40a6ab7f24663787ea
35717,Bridges on Kinsey,4411 Kinsey Dr,Tyler,TX,75703,www.livebridgesonkinsey.com,rentcafe,SUCCESS,TIER_1_RENTCAFE_SECURECAFE_DIRECT,,17,0,proportional_adapter_type_fill,,,,985086a1018ad2b3b995bd63d8d28eaf807a7a9606ace75b73c44648a5405f53
29154,Cardinal Hill,420 River Rd,Chatham,NJ,7928,https://jcmliving.com/apartment-rentals/nj/chatham/cardinal-hill/,generic,SUCCESS,TIER_1_EMBEDDED_MITS_ILS,generic_plan_text,3,46,proportional_adapter_type_fill,,,,c5dbcc8805776662e28330a97cd42176f3062287b19460baf05329acbb4441d2
52105,The District,10015 Madison Square Pl,Charlotte,NC,28216,http://www.alapts.com/apartments/nc/charlotte/the-district/,knock,SUCCESS,TIER_1_KNOCK_API,knock,20,0,proportional_adapter_type_fill,,,,c07c523f44f72a8b0d25fac348dc6bf3118ff105e509572d87ed175c790007d9
1060,Bolton Estates,5400 Lindbergh Blvd,Columbus,OH,43228,www.boltonestatesapts.com,rentcafe,SUCCESS,TIER_1_DOM_RENTCAFE_AVAILABLEUNITS_ROSTER,rentcafe,6,0,proportional_adapter_type_fill,,,,57516b380dc2f277a1c31292d8a8fceb98ac6ebb90e6236555a8a83c2964e8fe
236598,Vault Apartments,120 Towne St,Stamford,CT,6902,https://www.vaultapts.com/,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_SECURECAFE,knock,11,0,proportional_adapter_type_fill,,,,a774c14c1ac1b91e26b068f034e83b49824a2024e9a9d2583ff3b81927d97a63
48177,The Metropolitan,2612 Whitehall Terrace,Louisville,KY,40220,https://venterraliving.com/apartments/the-metropolitan/,sightmap,SUCCESS,TIER_1_API_SIGHTMAP_DIRECT,sightmap,14,0,finding_evidence_census,7,venterra,,dfb082e6cd0f6dcd6c5598b752ea9681d3e5621d2fb95466ca4cd58867d94d10
97778,Brookview at Navarre Sound,7381 Navarre Pkwy,Navarre,FL,32566,https://www.brookviewatnavarresound.com/,entrata,SUCCESS,TIER_1_DOM_ENTRATA_PP_HYPERBROWSER_UNIT_LEVEL,entrata,9,0,proportional_adapter_type_fill,,,,91b47a45034fe734262ab2469ee3e28e1b7d5aff20714170421c3ba12bc1fc69
12927,Wyvernwood Garden,2901 E Olympic Blvd,Los Angeles,CA,90023,http://www.wyvernwoodla.com,onsite_apply,SUCCESS,TIER_1_API_ONSITE_APPLY,onsite_apply,24,0,finding_evidence_census,32,onsite_apply,,1f7b62edc0566ee36ae05736d11a62ffb45dfc65af9cfc74c51f2189f7007abc
78693,Cortland Peachtree Corners,510 Guthridge Ct NW,Peachtree Corners,GA,30092,https://cortland.com/apartments/cortland-peachtree-corners/,cortland,SUCCESS,TIER_1_API_CORTLAND,cortland,25,0,proportional_adapter_type_fill,,,,65ad04beb32c332bf06670a203a467bc8b6be370f850e9906fc55f29988b4886
239369,Easton,714 Due W Ave N,Madison,TN,37115,https://eastonapartmentstn.com/,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_APPLICANT_FLOORPLANS_V2_HYPERBROWSER,rentcafe,8,1,proportional_adapter_type_fill,,,,b09da586c4c1c5933542535ef07c454d2641214501a091a92f29642d84b79ed3
22383,Curren Terrace,1011 New Hope St,Norristown,PA,19401,https://www.morgan-properties.com/apartments/pa/norristown/curren-terrace/,rentcafe,SUCCESS,TIER_1_API_RENTCAFE_APPLICANT_FLOORPLANS_V2_HYPERBROWSER,rentcafe,14,0,proportional_adapter_type_fill,,,,a24bb9c89fc3e665a1cb2da3236f7be766666e9e684d143b0e1f2aeea7f2037a
