stratum,population_count,sample_count,population_share,sample_share
AK,6,1,0.00120434,0.00100000
AL,53,11,0.01063830,0.01100000
AR,22,4,0.00441590,0.00400000
AZ,176,35,0.03532718,0.03500000
CA,514,105,0.10317142,0.10500000
CO,145,29,0.02910478,0.02900000
CT,35,7,0.00702529,0.00700000
DC,47,9,0.00943396,0.00900000
DE,10,2,0.00200723,0.00200000
FL,381,76,0.07647531,0.07600000
GA,224,45,0.04496186,0.04500000
HI,2,1,0.00040145,0.00100000
IA,27,5,0.00541951,0.00500000
ID,18,4,0.00361301,0.00400000
IL,80,16,0.01605781,0.01600000
IN,91,18,0.01826576,0.01800000
KS,41,8,0.00822963,0.00800000
KY,29,6,0.00582096,0.00600000
LA,46,9,0.00923324,0.00900000
MA,80,16,0.01605781,0.01600000
MD,116,23,0.02328382,0.02300000
ME,5,1,0.00100361,0.00100000
MI,98,20,0.01967081,0.02000000
MN,107,22,0.02147732,0.02200000
MO,62,12,0.01244480,0.01200000
MS,27,5,0.00541951,0.00500000
MT,3,1,0.00060217,0.00100000
NC,232,47,0.04656764,0.04700000
ND,13,3,0.00260939,0.00300000
NE,29,6,0.00582096,0.00600000
NH,13,3,0.00260939,0.00300000
NJ,98,20,0.01967081,0.02000000
NM,28,6,0.00562023,0.00600000
NV,81,16,0.01625853,0.01600000
NY,76,15,0.01525492,0.01500000
OH,150,30,0.03010839,0.03000000
OK,56,11,0.01124047,0.01100000
OR,91,18,0.01826576,0.01800000
PA,127,26,0.02549177,0.02600000
RI,3,1,0.00060217,0.00100000
SC,80,16,0.01605781,0.01600000
SD,11,2,0.00220795,0.00200000
TN,137,28,0.02749900,0.02800000
TX,835,165,0.16760337,0.16500000
UT,61,12,0.01224408,0.01200000
VA,161,32,0.03231634,0.03200000
WA,190,38,0.03813729,0.03800000
WI,61,12,0.01224408,0.01200000
WV,3,1,0.00060217,0.00100000
WY,1,1,0.00020072,0.00100000
