prior_adapter,sample_properties,unit_successes,plan_successes,failed_no_data,other_results,unit_count,synthetic_id_units,unresolved_area_units,rent_range_units,critical_issues,high_issues,observed_winners
UNATTRIBUTED,25,3,2,4,16,474,0,0,0,2,6,"{""UNATTRIBUTED"": 18, ""appfolio"": 1, ""generic"": 1, ""knock"": 1, ""rentcafe"": 2, ""rentmanager"": 2}"
amli,11,11,0,0,0,253,0,0,0,0,0,"{""amli"": 11}"
appfolio,34,31,2,1,0,242,0,1,0,0,0,"{""appfolio"": 34}"
apts247,22,20,2,0,0,414,0,0,143,0,0,"{""apts247"": 22}"
aspensquare,8,8,0,0,0,87,0,0,0,0,0,"{""aspensquare"": 5, ""knock"": 3}"
avalonbay,7,7,0,0,0,247,0,0,0,0,0,"{""avalonbay"": 7}"
betternoi_public,1,1,0,0,0,9,0,0,0,0,0,"{""betternoi_public"": 1}"
camden,16,16,0,0,0,472,0,0,0,0,0,"{""camden"": 14, ""generic"": 2}"
cortland,7,7,0,0,0,191,0,0,0,0,0,"{""cortland"": 7}"
edificecms,5,5,0,0,0,87,0,0,0,0,0,"{""edificecms"": 5}"
encoreskyline_template,15,12,1,1,1,509,0,0,0,1,0,"{""encoreskyline_template"": 11, ""sightmap"": 4}"
entrata,59,48,3,2,6,966,0,0,229,121,3,"{""UNATTRIBUTED"": 6, ""entrata"": 51, ""generic"": 1, ""sightmap"": 1}"
equity,23,20,1,1,1,261,0,0,0,0,0,"{""UNATTRIBUTED"": 1, ""equity"": 21, ""generic"": 1}"
essex,27,21,0,6,0,251,0,0,251,0,0,"{""essex"": 27}"
fortresstech,10,10,0,0,0,170,0,0,0,0,0,"{""fortresstech"": 10}"
funnel,16,14,1,1,0,368,0,0,172,0,0,"{""funnel"": 11, ""rentcafe"": 4, ""sightmap"": 1}"
g5,14,12,0,1,1,222,0,0,0,1,0,"{""g5"": 14}"
generic,49,30,11,2,6,1303,89,23,0,9,100,"{""UNATTRIBUTED"": 1, ""appfolio"": 1, ""equity"": 1, ""generic"": 33, ""generic_plan_text"": 1, ""onsite_apply"": 10, ""resman"": 2}"
generic_plan_text,30,22,7,1,0,660,0,0,44,0,0,"{""generic"": 1, ""generic_plan_text"": 27, ""onsite_apply"": 1, ""rentcafe"": 1}"
imt_spaces,1,0,0,1,0,0,0,0,0,0,0,"{""sightmap"": 1}"
irvine,13,13,0,0,0,595,0,0,0,0,0,"{""irvine"": 13}"
knock,68,65,1,1,1,1674,0,10,0,1,0,"{""knock"": 68}"
maac,9,9,0,0,0,430,0,0,430,0,0,"{""maac"": 9}"
marketapts,29,29,0,0,0,188,0,0,0,0,0,"{""marketapts"": 29}"
mri_prospectconnect,4,4,0,0,0,19,0,0,10,0,0,"{""mri_prospectconnect"": 4}"
nesthub_public,1,1,0,0,0,1,0,0,0,0,0,"{""nesthub_public"": 1}"
onesite,23,20,1,1,1,471,0,3,0,0,0,"{""UNATTRIBUTED"": 1, ""knock"": 1, ""onesite"": 18, ""sightmap"": 3}"
onsite_apply,42,40,0,2,0,367,0,5,0,1,3,"{""UNATTRIBUTED"": 1, ""onsite_apply"": 41}"
realpage_cws,7,7,0,0,0,130,0,0,0,0,0,"{""realpage_cws"": 7}"
realpage_oll,22,18,2,1,1,590,0,0,0,1,0,"{""realpage_cws"": 1, ""realpage_oll"": 21}"
rentaladdress,1,0,1,0,0,0,0,0,0,0,0,"{""rentaladdress"": 1}"
rentcafe,251,239,5,7,0,4988,0,84,2934,0,0,"{""funnel"": 1, ""generic_plan_text"": 1, ""knock"": 4, ""rentcafe"": 234, ""rentcafe_layout_tab"": 1, ""sightmap"": 10}"
rentcafe_layout_tab,12,10,0,2,0,102,0,0,45,1,3,"{""UNATTRIBUTED"": 1, ""generic_plan_text"": 1, ""rentcafe"": 6, ""rentcafe_layout_tab"": 4}"
rentmanager,8,5,1,2,0,87,0,6,60,0,0,"{""rentmanager"": 8}"
rentvision,7,7,0,0,0,67,0,0,0,0,0,"{""knock"": 1, ""rentvision"": 6}"
repli360,14,12,0,1,1,513,0,0,14,1,0,"{""repli360"": 14}"
residentservices365,9,8,1,0,0,109,0,0,0,0,0,"{""residentservices365"": 9}"
resman,15,13,2,0,0,2150,0,0,0,1,3,"{""UNATTRIBUTED"": 1, ""resman"": 14}"
showmojo_public,1,1,0,0,0,13,0,0,0,0,0,"{""showmojo_public"": 1}"
sightmap,42,39,0,2,1,1357,0,2,0,0,0,"{""encoreskyline_template"": 1, ""entrata"": 1, ""equity"": 2, ""rentcafe"": 1, ""sightmap"": 37}"
spherexx,6,5,0,1,0,95,0,38,0,0,0,"{""spherexx"": 6}"
squarespace_nopms,6,6,0,0,0,64,0,8,21,0,17,"{""squarespace_nopms"": 6}"
static_residence_table,1,1,0,0,0,3,0,1,0,0,0,"{""static_residence_table"": 1}"
thinkreside,2,1,1,0,0,46,0,0,0,0,0,"{""thinkreside"": 2}"
venterra,3,3,0,0,0,73,0,0,33,0,0,"{""sightmap"": 1, ""venterra"": 2}"
wix_floor_plans,3,2,1,0,0,21,0,3,0,0,0,"{""wix_floor_plans"": 3}"
wix_nopms,18,9,7,2,0,70,0,0,0,0,0,"{""wix_nopms"": 18}"
yotta,3,3,0,0,0,59,0,0,0,0,0,"{""yotta"": 3}"
