apartment_id,name,state,prior_adapter,prior_property_type,current_adapter,current_verdict,unit_count,plan_count,real_id_units,synthetic_id_units,avoidable_synthetic_id_units,building_id_units,unresolved_area_units,exact_area_units,area_range_units,rent_range_units,prior_future_dates_checked,prior_future_dates_preserved,archive_source_count,archive_snapshot_present,identity_status,critical_issues,high_issues,medium_issues,finding_ids,selection_layers
43,Centennial Place,TX,entrata,SUCCESS,entrata,SUCCESS,15,0,15,0,0,0,0,15,0,0,7,7,2,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
147,West of Eastland,OH,rentcafe,SUCCESS,rentcafe,SUCCESS,6,0,6,0,0,0,6,0,0,0,6,6,0,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
446,Cottages @ Sanford,FL,generic,SUCCESS_PLAN_LEVEL,generic,SUCCESS_PLAN_LEVEL,0,4,0,0,0,0,0,0,0,0,0,0,1,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
486,Rosewood,FL,entrata,SUCCESS,entrata,SUCCESS,6,0,6,0,0,0,0,6,0,0,3,3,2,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
540,Bridgepoint I,FL,mri_prospectconnect,SUCCESS,mri_prospectconnect,SUCCESS,1,0,1,0,0,1,0,1,0,1,0,0,3,1,NOT_RECORDED,0,0,0,41,finding_evidence_census
738,Cross Creek,CA,irvine,SUCCESS,irvine,SUCCESS,3,0,3,0,0,3,0,3,0,0,0,0,2,1,NOT_RECORDED,0,0,0,30,finding_evidence_census
1060,Bolton Estates,OH,rentcafe,SUCCESS,rentcafe,SUCCESS,6,0,6,0,0,0,0,6,0,6,0,0,1,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
1084,Black Hawk,IN,rentcafe_layout_tab,SUCCESS,UNATTRIBUTED,FAILED_NO_DATA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,0,42,finding_evidence_census
1156,Northview Southview Apartment Homes,CA,rentcafe_layout_tab,SUCCESS,rentcafe_layout_tab,SUCCESS,3,0,3,0,0,0,0,3,0,0,0,0,1,1,UNKNOWN,0,0,0,42,finding_evidence_census
1165,Tustin View,CA,onsite_apply,SUCCESS,onsite_apply,SUCCESS,3,0,3,0,0,3,0,3,0,0,2,2,2,1,NOT_RECORDED,0,0,0,32,finding_evidence_census
1310,Green Oaks at Medical,TX,apts247,SUCCESS,apts247,SUCCESS,4,5,4,0,0,0,0,4,0,0,0,0,2,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
1312,Knoll Crest,TX,rentcafe,SUCCESS,rentcafe,SUCCESS,32,0,32,0,0,0,0,32,0,32,0,0,0,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
1340,Waterway Crossing,SC,appfolio,SUCCESS,appfolio,SUCCESS,3,0,3,0,0,0,0,3,0,0,0,0,1,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
1352,Pinebrook,MS,generic,SUCCESS,generic,SUCCESS,41,0,41,0,0,0,0,41,0,0,23,23,2,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
1721,Hidden Valley Club,MI,rentmanager,SUCCESS,rentmanager,SUCCESS,60,0,60,0,0,0,0,60,0,60,10,10,1,1,UNKNOWN,0,0,0,,proportional_adapter_type_fill
1740,Camden Fairview,NC,camden,SUCCESS,camden,SUCCESS,10,0,10,0,0,10,0,10,0,0,0,0,2,1,MATCH,0,0,0,44,finding_evidence_census
1752,Kensington Park,OH,fortresstech,SUCCESS,fortresstech,SUCCESS,3,0,3,0,0,0,0,3,0,0,1,1,2,1,UNKNOWN,0,0,0,35,finding_evidence_census
1765,Annaberg,GA,nesthub_public,SUCCESS,nesthub_public,SUCCESS,1,0,1,0,0,0,0,1,0,0,1,1,1,1,MATCH,0,0,0,49,finding_evidence_census
1767,Waverly Place,SC,realpage_oll,SUCCESS,realpage_oll,SUCCESS,22,0,22,0,0,0,0,22,0,0,0,0,2,1,NOT_RECORDED,0,0,0,,proportional_adapter_type_fill
