prior_property_type,current_verdict,property_count
DEAD_URL,DEAD_URL,9
DEAD_URL,FAILED_NO_DATA,1
FAILED_NO_DATA,FAILED_NO_DATA,28
FAILED_NO_DATA,FAILED_UNREACHABLE,1
FAILED_NO_DATA,SUCCESS,11
FAILED_NO_DATA,SUCCESS_PLAN_LEVEL,5
FAILED_UNREACHABLE,FAILED_NO_DATA,1
FAILED_UNREACHABLE,FAILED_UNREACHABLE,15
FAILED_UNREACHABLE,SUCCESS,3
SUCCESS,FAILED_NO_DATA,8
SUCCESS,FAILED_UNREACHABLE,5
SUCCESS,SUCCESS,835
SUCCESS,SUCCESS_PLAN_LEVEL,3
SUCCESS_NO_DATA_PUBLISHED,SUCCESS_NO_DATA_PUBLISHED,4
SUCCESS_PLAN_LEVEL,FAILED_NO_DATA,5
SUCCESS_PLAN_LEVEL,FAILED_UNREACHABLE,2
SUCCESS_PLAN_LEVEL,SUCCESS,19
SUCCESS_PLAN_LEVEL,SUCCESS_PLAN_LEVEL,45
