apartmentid,name,address,city,state,zip,website
1084,Black Hawk,3010 Simcoe Dr,Fort Wayne,IN,46815,https://www.theblackhawkapartments.com/
2709,Wellington Place at Olde Town,10303 7th Regiment Dr,Manassas,VA,20110,https://www.udr.com/washington-dc-apartments/manassas/wellington-place-at-olde-town/
4170,Beechwood,2700 Cottage Pl,Greensboro,NC,27455,www.beechwoodnc.net
4579,Laurel Crossing,203 Laurie Meadows Dr,San Mateo,CA,94403,https://www.laurelcrossingapthomes.com/en/apartments/floor-plans.html
5091,Rise Broadway,945 W Broadway Rd,Mesa,AZ,85210,https://www.risebroadway.com/
11130,Mercer Park,2014 Remington Dr,Arlington,TX,76010,https://www.mercerparkapts.com/
12566,High Point Crossing,524 Richmond Hill Rd W,Augusta,GA,30906,https://www.highpointcrossingapts.com/index.php
12727,Riverway,1909 Hamman Rd,Bay City,TX,77414,https://riverway.3cmmultifamily.com/
14943,Estates at Eagle's Pointe,2002 Shaw Ave,Peru,IN,46970,https://eaglepointestates.com/#floor-plans
26523,Concierge Apartments,7620 Penn Ave S,Richfield,MN,55423,https://www.theconciergeapartments.com/
27165,Regatta Apartments Homes,1315 E NASA Pkwy,Houston,TX,77058,https://www.regatta-apts.net/
29448,Manor Homes of Fox Crest,3151 NW 90th St,Kansas City,MO,64154,http://www.manorhomesapts.com/
32097,Clemmons Trace Village,114 Willow Trace Cir,Clemmons,NC,27012,http://www.clemmonstracevillage.com/
36168,Bennington Hills,340 Bennington Hills Ct,West Henrietta,NY,14586,http://www.benningtonhillsapartments.com/amenities.html
37065,Pointe Inverness,7051 Pointe Inverness Way,Fort Wayne,IN,46804,https://www.ptinverness.com/
46108,Stratford Mill,110 Stratford Mill Blvd,St. Augustine Beach,FL,32084,http://www.stratfordmill.com/home.html
48052,Summerville Station,1660 Old Trolley Rd,Summerville,SC,29485,https://www.summervillestationapts.com/
48092,Edgewater Village,5500 Weslo Willow Dr,Greensboro,NC,27409,https://www.edgewatervillageapts.com/
52697,Clearview,12100 Clearview Ln,Holland,MI,49424,https://www.liveatclearview.com/
62743,Residences at Falcon North,6416 Honey Grove,Colorado Springs,CO,80923,http://www.residencesatfalconnorth.com/
70238,Grace Apartments,1002 SW Gaines st,Portland,OR,97239,http://www.graceapartmentscr.com/
74528,Grand Oaks,7215 Grand Ritz Ln,Indianapolis,IN,46237,https://grandoaks-apartments.com/
218893,Volta at Voyager I,11275 Nahcolite Pt,Colorado Springs,CO,80921,https://www.voltaatvoyager.com/volta-at-voyager-colorado-springs-colorado/
226992,Forest Ridge,790 S Basswood Dr,Bloomington,IN,47403,https://www.forestridgebloomington.com/forest-ridge-bloomington-in/
241798,Waterford Landings,135 Westfield Ct,Clarksville,TN,37040,https://www.waterfordlandingsapartments.com/
272772,Hawkeye Village,1422 Irish Dr,Waterloo,IA,50701,http://hawkeyevillageapartments.com/
274909,The Sinclair II,414 SW Hayworth Dr,Port Orchard,WA,98367,https://www.thesinclair.com/
280355,Town Center Apartments,4653 S Amherst Hwy,Madison Heights,VA,24572,https://www.mhtowncenter.com/
280797,Aspire,6611 Seahurst Dr,Canal Winchester,OH,43110,https://www.aspireapthomes.com/
