apartmentid,floorplannumber,description,bed,bath,area
43,1,no w/d connections,0,1,400
43,2,1BD/1BR-1,1,1,540
43,3,1BD/1BR-1,1,1,650
43,4,2BD/1BR-2,2,1,800
43,5,2BD/2BR-2,2,2,920
43,6,2BD/2BR-2,2,2,1000
49,1,Washington,1,1,460
49,2,Lee,1,1,580
49,3,Jefferson Townhome,2,2,1050
49,4,Gadsby Townhome,2,2.5,1180
86,1,1x1,1,1,650
86,2,2x1,2,1,900
86,3,House,3,1,1000
98,1,#1,1,1,687
98,2,#3,2,1,863
98,3,#2,1,1,713
98,4,#4,1,1,889
98,5,2x1,2,1,889
107,1,1BD/1BR-1,1,1,569
107,2,1BD/1BR-1,1,1,697
107,3,2BD/2BR-2,2,2,960
107,4,TH,2,2,1082
136,1,Pine,1,1,625
136,2,Maple,1,1,702
136,3,Birch,2,1,900
136,4,Cedar,2,1.5,1052
136,5,Oak,3,1.5,1200
136,6,Ash,3,2,1351
147,2,One Bedroom One Bath,1,1,576
147,4,Studio,0,1,288
147,5,Two Bedroom Two Bath,2,2,864
147,6,Three Bedroom Two Bath,3,2,864
147,7,Two Bedroom One Bath,2,1,864
161,1,Studio S,0,1,288
161,2,One Bed One Bath G,1,1,576
161,3,Two Bed One Bath,2,1,864
161,4,One Bed One Bath S,1,1,576
266,1,The Bristol,0,1,288
266,2,The Hampton,1,1,576
266,3,The Hadley,2,2,864
266,4,The Sterling,2,1,864
342,1,0BD/1BR-E The Cove,0,1,400
342,2,1BD/1BR-1 The Burrow,1,1,650
342,3,2BD/2BR-2 The Lodge,2,2,944
342,4,2BD/1BR-2 The Nest,2,1,800
386,1,Studio,0,1,288
386,2,One Bedroom One Bath,1,1,576
386,3,Two Bedroom Two Bath with Master Bedroom,2,2,864
386,4,One Bedroom One Bath,1,1,576
386,5,Two Bedroom One Bath,2,1,864
446,1,Studio,0,1,288
446,2,Utility Room with W/D connections,1,1,567
446,3,1BD/1BR-1,1,1,564
446,4,2BD/1BR-2,2,1,864
446,5,3BD/2BR-3,3,2,1152
486,1,EFF,0,1,288
486,2,A1,1,1,576
486,3,B1,2,1,858
486,4,A1-R,1,1,576
501,1,Studio Apartment,0,1,288
501,2,One Bedroom One Bath Apartment,1,1,576
501,3,Two Bedroom One Bath Apartment,2,1,864
501,4,Two Bedroom Two Bath with Master Bedroom Apartment,2,2,864
540,1,The Bristol,0,1,288
540,2,The Hampton,1,1,576
540,3,The Sterling,2,1,864
540,4,The Hadley,2,2,864
567,1,One Bed One Bath,1,1,576
567,2,Two Bed One Bath,2,1,864
567,3,Two Bed Two Bath with Master Bedroom,2,2,864
584,1,0BD/1BR-E,0,1,288
584,2,1BD/1BR-1,1,1,576
584,3,2BD/2BR-2,2,2,864
584,4,2BD/1BR-2,2,1,864
594,1,Studio,0,1,288
594,2,One Bed One Bath,1,1,576
594,6,Two Bed Two Bath,2,2,864
594,7,Two Bed One Bath,2,1,864
595,4,1BD/1BR-1,1,1,576
595,5,0BD/1BR-E,0,1,288
595,6,2BD/1BR-2,2,1,864
595,7,2BD/2BR-2,2,2,864
676,1,1BD/1BR-1,1,1,672
676,2,1BD/1BR-1,1,1,855
676,6,2BD/1BR-2,2,1,865
676,7,2BD/1BR-2,2,1,870
676,8,2BD/2BR-2,2,2,1019
676,9,2BD/2BR-2,2,2,1054
676,10,3BD/2BR-3,3,2,1176
677,1,The Bradford,1,1,544
677,2,The Maple,1,1,716
677,3,The Cypress/den,2,1,882
677,4,The Laurel,2,2,808
677,5,The Magnolia,2,2,977
681,1,A1,1,1,584
681,2,A2,1,1,720
681,3,A3,1,1,737
681,4,B1,2,1,1022
681,5,B2,2,2,1073
681,6,B3,2,2,1087
681,7,C1,3,2,1181
720,1,1BR 1BA,1,1,914
720,2,2BD/1BR-2,2,1,953
720,3,2BR 2BA,2,2,1108
720,4,3BR 2BA,3,2,1322
720,5,2BR 1BA,2,1,940
720,6,1BR 1BA,1,1,858
722,2,Rosewood,2,2,1000
722,6,Baywood,1,1,700
722,7,Bayberry,1,1,700
738,1,Plan 1,2,2,953
738,2,Plan 2,3,2,1144
743,1,Northampton,1,1,909
743,2,Boulevard,1,1,978
743,3,Pembroke,2,1.5,1155
743,4,Chesapeake,2,1.5,1224
743,5,Bayside,3,2,1323
743,6,Virginia,3,2,1392
788,2,Alsace,2,1.5,900
788,3,Chateau,2,2.5,1050
788,4,Riviera,3,1.5,1130
788,5,Bordeaux,3,2.5,1280
788,6,Provence,4,2.5,1580
788,7,Villes,1,1,600
788,8,Chambre,1,1,580
794,1,1BD/1BR-1,1,1,900
794,2,2BD/1BR-2,2,1,950
794,3,2BD/2BR-2,2,2,1100
794,4,2BD/2BR-2,2,2,1300
794,5,3BD/2BR-3,3,2,1260
794,6,3BD/2BR-3,3,2,1560
794,7,3BD/2BR-3,3,2,1630
796,1,pearl & schooner,1,1,750
796,2,seafarer,2,1,950
796,3,jetty,2,1,1000
909,1,Acoma,0,1,350
