apartmentid,name,address,city,state,zip,website
67598,Lofts At Little Creek,1315 Creekshire Way,Winston-Salem,NC,27103,http://www.loftsatlittlecreek.com/
45534,Walnut Creek,700 Ryan Ct,Raleigh,NC,27606,https://www.liveatwalnutcreekapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D
77595,Inspire,2656 N Buffalo Dr,Las Vegas,NV,89128,https://ovationco.com/property/inspire/
87590,888 on Main,888 N Main St,Santa Ana,CA,92701,https://www.888onmain.com/
5119,Embarc at West Jordan,6885 S Redwood Rd,West Jordan,UT,84084,http://www.embarcatwestjordan.com/
76405,Lancaster Ridge,800 Hickory Knoll Dr,Canton,GA,30114,http://www.lancasterridgeapts.com
218586,Cedar Ridge,4945 Mack Rd,Sacramento,CA,95823,https://cedarridgeapts.rentaladdress.com/
7931,Lamonte Park,3737 Watonga Blvd,Houston,TX,77092,https://www.lamonteparktownhomes.com/
71345,Westgate Village Townhouses,680 Pinckney Ct,Comstock Park,MI,49321,https://www.westgate-village-townhouses.com/
74592,Crosswynde Apartments,1502 Marsh Cove Ct,Tampa,FL,33619,http://www.crosswyndeapts.com/
24928,Summer Winds,2725 W Wigwam Ave,Las Vegas,NV,89123,https://lasvegasliving.com/properties/summer-winds/
10966,Colonies,2525 Bolton Boone Dr,DeSoto,TX,75115,https://www.thecoloniesapartments.com/
16982,Pleasant View Gardens,258 Carlton Ave,Piscataway,NJ,8854,http://www.pleasantviewgardensnj.com/
31890,The Oaks,101 Arbor Run Dr,Lincolnton,NC,28092,https://www.theoaksapartments.com/
53382,The Martin,2105 5th Ave,Seattle,WA,98121,http://www.themartinseattle.com
16196,Village Square Apartments,12011 Veirs Mill Rd,Wheaton,MD,20906,http://www.villagesquarewheaton.com/Home/Index/36189
74567,Woodland Creek,5216 Penrith Dr,Durham,NC,27713,www.woodlandcreekdurham.com
11797,Wray North Dallas,18749 Marsh Ln,Dallas,TX,75287,https://www.wraynorthdallas.com/wray-north-dallas-tx/
55940,Eleven by Windsor,811 E 11th St,Austin,TX,78702,www.elevenbywindsor.com
285770,The Rise Living Community,2100 W Iris Dr SE,Conyers,GA,30013,https://www.riselivingapts.com/
