apartmentid,name,address,city,state,zip,website
67598,Lofts At Little Creek,1315 Creekshire Way,Winston-Salem,NC,27103,http://www.loftsatlittlecreek.com/
45534,Walnut Creek,700 Ryan Ct,Raleigh,NC,27606,https://www.liveatwalnutcreekapts.com/?rcstdid=Mg%3D%3D-YRjTEizZPgM%3D
77595,Inspire,2656 N Buffalo Dr,Las Vegas,NV,89128,https://ovationco.com/property/inspire/
87590,888 on Main,888 N Main St,Santa Ana,CA,92701,https://www.888onmain.com/
5119,Embarc at West Jordan,6885 S Redwood Rd,West Jordan,UT,84084,http://www.embarcatwestjordan.com/
76405,Lancaster Ridge,800 Hickory Knoll Dr,Canton,GA,30114,http://www.lancasterridgeapts.com
218586,Cedar Ridge,4945 Mack Rd,Sacramento,CA,95823,https://cedarridgeapts.rentaladdress.com/
7931,Lamonte Park,3737 Watonga Blvd,Houston,TX,77092,https://www.lamonteparktownhomes.com/
71345,Westgate Village Townhouses,680 Pinckney Ct,Comstock Park,MI,49321,https://www.westgate-village-townhouses.com/
74592,Crosswynde Apartments,1502 Marsh Cove Ct,Tampa,FL,33619,http://www.crosswyndeapts.com/
24928,Summer Winds,2725 W Wigwam Ave,Las Vegas,NV,89123,https://lasvegasliving.com/properties/summer-winds/
10966,Colonies,2525 Bolton Boone Dr,DeSoto,TX,75115,https://www.thecoloniesapartments.com/
16982,Pleasant View Gardens,258 Carlton Ave,Piscataway,NJ,8854,http://www.pleasantviewgardensnj.com/
31890,The Oaks,101 Arbor Run Dr,Lincolnton,NC,28092,https://www.theoaksapartments.com/
53382,The Martin,2105 5th Ave,Seattle,WA,98121,http://www.themartinseattle.com
16196,Village Square Apartments,12011 Veirs Mill Rd,Wheaton,MD,20906,http://www.villagesquarewheaton.com/Home/Index/36189
74567,Woodland Creek,5216 Penrith Dr,Durham,NC,27713,www.woodlandcreekdurham.com
11797,Wray North Dallas,18749 Marsh Ln,Dallas,TX,75287,https://www.wraynorthdallas.com/wray-north-dallas-tx/
55940,Eleven by Windsor,811 E 11th St,Austin,TX,78702,www.elevenbywindsor.com
285770,The Rise Living Community,2100 W Iris Dr SE,Conyers,GA,30013,https://www.riselivingapts.com/
21997,Roundtree,2835 Roundtree Blvd,Ypsilanti,MI,48197,http://www.mckinley.com/apartments/michigan/ypsilanti/roundtree-apartments#.VQhSL2X4LEE
251190,The Carlaw,1020 R St,Sacramento,CA,95811,https://liveatthecarlaw.com/
3106,Woodhollow,4502 Lake Shore Dr,Waco,TX,76710,http://www.woodhollowwaco.com/
227334,Grand by Gehry,151 S Olive St,Los Angeles,CA,90012,https://www.relatedrentals.com/apartment-rentals/los-angeles/downtown/the-grand-gehry
74364,Wilmington Pointe,933 Wilmington Ave,Dayton,OH,45420,www.wilmingtonpointe.com
16186,Edgewood Court,649 Prospect St,Chicopee,MA,1020,https://www.aspensquare.com/apartments/massachusetts/chicopee/edgewood-court
5785,Grove Parkview,1900 Glenn Club Dr,Stone Mountain,GA,30087,https://www.groveparkview.com/
26151,Madera,2600 S Town Center Dr,Las Vegas,NV,89135,https://lasvegasliving.com/properties/madera/
239937,Aventine at Miramar,2436 Centergate Dr,Miramar,FL,33025,https://www.pacificaresidential-aventine.com/?utm_source=GMB&utm_medium=organic
242945,Elevation Luxury Apartments,5000 N Mall Way,Flagstaff,AZ,86004,www.elevationflagstaff.com
18752,Brookstone Apartments,1401 N Lamb Blvd,Las Vegas,NV,89110,https://www.liveatbrookstoneapartments.com/?utm_source=GMB&utm_medium=organic
238370,Magnolia on the Green,1845 Chelsea Blvd,Allen,TX,75013,https://texas.weidner.com/apartments/tx/allen/magnolia-on-the-green-0/
267802,Tessa Springs,11810 Uptown Walker Pl,Thonotosassa,FL,33592,https://www.livetessasprings.com/
300340,Allora Gainesville,900 Elm Grove Ave,Gainesville,GA,30501,https://alloragainesville.com/
36784,Cypress Grove,6C Cypress Grove Dr,Wilmington,NC,28401,https://www.cypressgroveaptliving.com/
227551,Coulee Ridge East,3009 43rd Ave NE,Bismarck,ND,58503,https://www.immapartments.com/coulee-ridge
71773,Cloister Gardens,845 Dawn Ave,Ephrata,PA,17522,https://www.theapartmentgallery.com/communities/cloister-gardens#k=42298
260546,Park on 20th,10227 20th St SE,Lake Stevens,WA,98258,https://parktwenty.com/
49598,Shelard Village,400420 Ford Rd,St. Louis Park,MN,55426,https://shelardvillage.com/
7165,Tides on 27th,6131 N 27th Ave,Phoenix,AZ,85017,https://www.tideson27th.com/
233188,The Mansions at Sunset Ridge,1440 Carrollton Pkwy,Carrollton,TX,75010,www.mansionsatsunsetridge.com
1258,Crossings at Madison,110 Archwood Pl,Madison,TN,37115,https://www.crossingsmadison.com/
61377,Grant Park Village I - Henshaw,1580 NE 32nd Ave,Portland,OR,97232,https://www.grantparkvillage.com/
261384,OTIS,1661 Roseneath Rd,Richmond,VA,23230,https://liveotis.com/
55954,Waterside Place by Windsor,505 Congress St,Boston,MA,2210,www.watersideplacebywindsor.com
56775,Avalon Hill Country,3499 Ranch Rd 620 S,Austin,TX,78738,https://www.avaloncommunities.com/texas/austin-apartments/avalon-hill-country/
77589,Windsor Sugarloaf,1455 Satellite Blvd,Suwanee,GA,30024,https://www.windsorcommunities.com/properties/windsor-sugarloaf/
43551,Willow Trail,1700 Mindanao Dr,Jacksonville,FL,32246,https://www.willowtrailjax.com/contact-us/
27080,Easton North,1126 J Easton Ave,Somerset,NJ,8873,http://www.oxfordrealtygroup.com/properties/new-jersey/easton-north/
1783,Madison at Largo,601 Rosery Rd NE,Largo,FL,33770,https://gscapts.com/apartments/florida/madison-at-largo/
77782,Atlantico at Miramar,12121 SW 43rd St,Miramar,FL,33025,http://www.atlanticomiramarfl.com/miramar-fl-apartments.asp
238785,The Reserve at Belvedere,200 Reserve Blvd,Charlottesville,VA,22901,www.liveatbelvedere.com
5715,Windsor Westminster,9100 Vance St,Westminster,CO,80021,https://www.windsorwestminster.com/
10993,Hillside Community,1020 Raleigh Dr,Carrollton,TX,75007,http://www.hillsidecarrollton.com
5859,Cypress Winds,6904 Manatee Ave W,Bradenton,FL,34209,https://gscapts.com/apartments/florida/cypress-winds-apartment-homes/?y_source=1_MTUyOTEzMTItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
49726,Landmark of D'Iberville,11059 Lamey Brg Rd,D'Iberville,MS,39540,www.landmarkdiberville.com
241760,888 Bellevue,888 108th Ave NE,Bellevue,WA,98004,https://www.888bellevue.com/
278353,Bexley Clearfork,5555 Edwards Ranch Rd,Fort Worth,TX,76109,https://www.bexleyclearfork.com/
35736,Loch Raven Village,8402 Greenway Rd,Towson,MD,21286,https://www.lochravenapts.com/
217738,The District at Cypress Water (Scotch Creek),3211 Scotch Creek Rd,Coppell,TX,75019,http://www.thedistrictatcypresswaters.com/
239121,Enclave,1005 W Stassney Ln,Austin,TX,78745,http://www.theenclaveaustin.com/
6526,Southwood Acres,342 Southwick Rd,Westfield,MA,1085,https://www.aspensquare.com/apartments/massachusetts/westfield/southwood-acres
244546,Sterlington,4105 Sterlington Dr,Grovetown,GA,30813,https://www.sterlingtonapts.com
261116,Copper Pointe,6410 S New Braunfels Ave,San Antonio,TX,78223,https://copperpointeapts.com/
56182,Acorn Acres,3605 Brandywine Ct,Lafayette,IN,47905,https://www.liveatacornacres.com/
27190,The Park at Palermo,4302 Gunn Hwy,Tampa,FL,33618,https://theparkatpalermo.com/
64955,Dry Creek Ranch,13861 Raceway Dr,Northlake,TX,76262,http://www.liveatdrycreekranch.com/
1777,Rustic Woods,7901 S Yale Ave,Tulsa,OK,74136,https://www.rusticwoodsapts.com/
267937,Elevate,1990 Grande Cir,Fairfield,CA,94533,https://www.elevatesolano.com/
38923,Forest Hills Racquet Club,934 Courtside Dr,Augusta,GA,30909,www.ForestHillsRacquetClub.com
60939,Greenarch,10 N Greenwood Ave,Tulsa,OK,74120,http://www.greenarchtulsa.com/
35534,The Monarch by Windsor,801 W 5th St,Austin,TX,78703,http://www.themonarchbywindsor.com/
225980,Harborview,819 D Ave,National City,CA,91950,www.harborview-apartments.com
119144,Windsor Burnet,10301 Burnet Rd,Austin,TX,78758,https://www.windsorburnet.com/
64195,Windsor West Lemmon,3650 Cedarplaza Ln,Dallas,TX,75209,https://www.windsorcommunities.com/properties/windsor-west-lemmon/
242344,Franklin Flats,3208 W 7th St,Greeley,CO,80634,www.franklinflatsapts.com
